"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1af8a80f-0ce4-4e28-a5dc-92e42fa476b5","","pass","","folder","TRUE","FALSE","FHC-ITP-001 - Clearing & Grubbing"
"b319c6a1-3f6c-4b88-98af-3ac0cf7bff4d","","pass","FHC-ITP-001 - Clearing & Grubbing Rev2","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing & Grubbing","201-0036 - WGS - MCP - Clear and Grub - Lot 1 "
"83c5461c-d2ad-460d-9cc2-f26039bd1783","","pass","FHC-ITP-001 - Clearing & Grubbing Rev2","checklist","FALSE","FALSE","FHC-ITP-001 - Clearing & Grubbing","201-0001 - WGS - WCP - Clearing & Grubbing - Lot 1"
"7830652a-1309-4c70-9421-e803dd974586","","pass","","folder","TRUE","FALSE","FHC-ITP-003 - Subgrade Preparation"
"84f1d02a-a6c2-47c4-b039-e8d37d6480c2","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0037 - WGS - MCP - Sub Grade Preparation - Lot 1 "
"ecebe8aa-3ed0-4f06-9443-1bf25a0ffa80","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0038 - WGS - MCP - Sub Grade Preparation - Lot 2 "
"9ca70c09-9f5a-4c01-a48f-15ba6d5a28fb","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0149 – WGS – MCP – Sub Grade Preparation – Lot 3"
"87e91977-6ff9-4e73-93e9-e4ad767d4450","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0150 – WGS – MCP – Sub Grade Preparation – Lot 4	"
"a66e89b7-5f18-421e-bd8c-2be1d46a7927","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0151 – WGS – MCP – Sub Grade Preparation – Lot 5	"
"9b51a1bd-2512-488d-9206-31ed4286e2d7","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0152 – WGS – MCP – Sub Grade Preparation – Lot 6	"
"dc9aaa83-6ef9-4b99-b31f-a5f86f94f37e","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0153 – WGS – MCP – Sub Grade Preparation – Lot 7"
"f428e30c-9e08-4688-b9da-b54e555a8637","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0154 – WGS – MCP – Sub Grade Preparation – Lot 8	"
"a8b93862-414f-4fd0-bc33-1e05a2ecf70a","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0155 – WGS – MCP – Sub Grade Preparation – Lot 9	"
"b6f4476f-7e51-46da-a98c-1191b73eb33f","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0156 – WGS – MCP – Sub Grade Preparation – Lot 10"
"bb5d815b-6506-41d8-ac8b-2ec08d02dcce","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0157 – WGS – MCP – Sub Grade Preparation – Lot 11"
"55edb02b-3a10-4688-b8d8-7f484414ced0","","pass","FHC-ITP-003 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","FHC-ITP-003 - Subgrade Preparation","201-0158 – WGS – PoT– Sub Grade Preparation - Lot 12"
"2c614987-f2f8-4a66-99e6-1ec328984d0e","","pass","","folder","TRUE","FALSE","FHC-ITP-004 - Type A Fill Placement"
"1e2526f5-8f71-41b1-9a59-d9ad83701f3c","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0067 - WGS - MCP - Type A Fill Placement - Lot 1"
"0d2fb2f2-ffca-4a23-83fa-6bb687d8d690","","pass","FHC-ITP-004 - Type A Fill Placement Rev5","checklist","FALSE","FALSE","FHC-ITP-004 - Type A Fill Placement","201-0068 - WGS - MCP - Type A Fill Placement - Lot 2"
