"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3fa85b04-931f-50cb-aea6-90303af15182","","folder-normal","work-in-progress","","step","TRUE","FALSE","Section 1 Ch3500-4460"
"4b68f968-c346-5d27-b52b-5c1a579b0a9b","","folder-normal","pass","","step","TRUE","FALSE","Section 1 Ch3500-4460","Earthworks and Subgrade"
"b32dee73-1dba-5178-9d94-2640549c8cc1","","checklist-sectioned","pass","ITP - Clearing and Grubbing, Earthworks - Cut, Fill and Subgrade Preparation Rev0","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Earthworks and Subgrade","ITP - Clearing and Grubbing, Earthworks - Cut, Fill and Subgrade Preparation"
"0b4c8cc4-415a-5793-9653-145e78bb68d2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Section 1 Ch3500-4460","Pavement Construction"
"d306f469-0d02-583d-a009-400a7fdfce22","","checklist-sectioned","work-in-progress","ITP - Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Pavement Construction","Base LOT 1 - CH3500 to CH3900"
"5473fc91-ea48-5028-b3ba-10d8f5b95fe5","","checklist-sectioned","work-in-progress","ITP - Unbound Flexible Pavement Construction Rev0","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Pavement Construction","Base LOT 2 - CH3900 to CH4460"
"c5bba1f0-b602-5573-8e3c-cdebae5365b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Section 1 Ch3500-4460","Surfacing"
"662de0fd-430e-5bca-99c5-5647efeaf67c","","checklist-sectioned","work-in-progress","ITP - Surfacing - Asphalt Placement & Spray Sealing Rev1","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Surfacing","Spray Seal - Initial Seal"
"332e1f65-549e-5f7d-b473-e62a55421f82","","folder-normal","pass","","step","TRUE","FALSE","Section 1 Ch3500-4460","Drainage"
"79357060-ce18-5572-a63e-0e09f3f38c61","","checklist-sectioned","pass","ITP - Stormwater and Subsurface Drainage Rev1","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Drainage","ITP - Stormwater and Subsurface Drainage"
"cf8fa2ed-1298-5349-bb75-d665e4b66f9f","","folder-normal","not-started","","step","TRUE","FALSE","Section 1 Ch3500-4460","Linemarking & Road Furniture"
"8667950a-074d-515f-919c-499a362c1aac","","checklist-sectioned","not-started","ITP - Linemarking & RRPM & Road Furniture and Signage Rev0","checklist","FALSE","FALSE","Section 1 Ch3500-4460","Linemarking & Road Furniture","ITP - Linemarking & RRPM & Road Furniture and Signage"
