"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc8f87d6-cf82-4ad4-8828-e7f6a00992cd","","work-in-progress","","folder","TRUE","FALSE","Level 1","109"
"396fd0c0-cde9-4434-84f2-997c0aeb6776","","pass","Penetrations","checklist","FALSE","FALSE","Level 1","109","Penetrations"
"c63d2671-643a-4990-add6-3756c3366952","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 1","109","Inground Drainage"
"6fa16fab-9fb6-4ff8-b5ca-826a1898f5ea","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","109","Drains"
"e542764a-95a2-421e-90f5-d740d38507cb","","not-started","Rough In","checklist","FALSE","FALSE","Level 1","109","Rough In"
"08e39e14-3a27-45fd-b1c8-ed703b05f4c9","","not-started","Corridor","checklist","FALSE","FALSE","Level 1","109","Corridor"
"4c86ae8b-566e-43ab-8421-9aa2d944c08b","","not-started","Fit Off","checklist","FALSE","FALSE","Level 1","109","Fit Off"
"11bdba28-4fb0-41ef-a3e4-06bcb0ab52bb","","not-started","Commisioning","checklist","FALSE","FALSE","Level 1","109","Commisioning"
"fdfe2741-a2a7-4d0e-8ce4-056e468aee63","","work-in-progress","","folder","TRUE","FALSE","Level 1","110"
"be82a1bd-b310-4b9a-91b7-37c3c19b218f","","pass","Penetrations","checklist","FALSE","FALSE","Level 1","110","Penetrations"
"189de602-c023-4d26-92b3-53d799d296eb","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 1","110","Inground Drainage"
"7e2fadd9-a98e-4da1-b86b-162526c4905d","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","110","Drains"
"309825ef-027f-4e73-9986-1151c73ea427","","not-started","Rough In","checklist","FALSE","FALSE","Level 1","110","Rough In"
"be8a6814-179e-457b-a3ef-bc24b02444b4","","not-started","Corridor","checklist","FALSE","FALSE","Level 1","110","Corridor"
"e599ce28-cdbb-4fa6-bd9c-6279de5996e6","","not-started","Fit Off","checklist","FALSE","FALSE","Level 1","110","Fit Off"
"0d64f71d-fde8-4538-85e8-7b2cb0a7754a","","not-started","Commisioning","checklist","FALSE","FALSE","Level 1","110","Commisioning"
"1df744eb-9115-47f2-9704-bf2b200fdd46","","work-in-progress","","folder","TRUE","FALSE","Level 1","111"
"1457302f-1770-4fdf-8bce-7797d23689e2","","pass","Penetrations","checklist","FALSE","FALSE","Level 1","111","Penetrations"
"687fa2e5-9ed9-4cd6-97ea-965cbb070e64","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 1","111","Inground Drainage"
"a9b6799e-e156-43db-88ce-e2ad23fe3f90","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","111","Drains"
"f5e5e27a-eadb-48fc-ab0d-b7a3dac04ee3","","not-started","Rough In","checklist","FALSE","FALSE","Level 1","111","Rough In"
"bf5da0ac-cb2a-4f78-a8b7-2749dd4b5448","","not-started","Corridor","checklist","FALSE","FALSE","Level 1","111","Corridor"
"fdec03d6-8a07-4334-b26f-c110c4ee5646","","not-started","Fit Off","checklist","FALSE","FALSE","Level 1","111","Fit Off"
"47b56d91-94ef-4cdb-95e2-58ae10985ce3","","not-started","Commisioning","checklist","FALSE","FALSE","Level 1","111","Commisioning"
"a3400667-13ca-45fa-a9a9-932a1503e079","","work-in-progress","","folder","TRUE","FALSE","Level 1","112"
"f895e1ee-0ba4-4c0d-bb89-c5c268154956","","pass","Penetrations","checklist","FALSE","FALSE","Level 1","112","Penetrations"
"dd404740-1b18-4950-ac35-4e6e19ed5a62","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 1","112","Inground Drainage"
"a296f177-d90c-4ce7-b1b9-486398a2d058","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","112","Drains"
"ee744c7b-eaa7-490d-8d58-29b59ae1c5e2","","not-started","Rough In","checklist","FALSE","FALSE","Level 1","112","Rough In"
"080c94d3-1468-4dd0-8109-03c14dd91f08","","not-started","Corridor","checklist","FALSE","FALSE","Level 1","112","Corridor"
"d1a70e9d-0801-4532-a18d-65d53d470fc3","","not-started","Fit Off","checklist","FALSE","FALSE","Level 1","112","Fit Off"
"da660068-b170-440c-ab28-a8168ae5bbf2","","not-started","Commisioning","checklist","FALSE","FALSE","Level 1","112","Commisioning"
"1449d69c-d834-4b5f-a93f-ecb7083d2e9e","","work-in-progress","","folder","TRUE","FALSE","Level 1","113"
"ac1ef746-c996-4f7e-bd00-0204e65cd8ba","","pass","Penetrations","checklist","FALSE","FALSE","Level 1","113","Penetrations"
"625bd2dd-8452-4935-83f6-da49ff3457bd","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 1","113","Inground Drainage"
"6627f6ba-2c46-4a33-ad51-0e8bbfbc188e","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 1","113","Drains"
"36c239e8-5a68-47ec-a59b-fd00dbae1f6b","","not-started","Rough In","checklist","FALSE","FALSE","Level 1","113","Rough In"
"2c208a61-8615-486e-b39a-8f9afa6202b0","","not-started","Corridor","checklist","FALSE","FALSE","Level 1","113","Corridor"
"d977de51-87d7-4f28-8432-cabc41ff88a2","","not-started","Fit Off","checklist","FALSE","FALSE","Level 1","113","Fit Off"
"790e702d-cf8f-4a5e-88b7-dc1773e8802d","","not-started","Commisioning","checklist","FALSE","FALSE","Level 1","113","Commisioning"
"362b6f65-4bb6-4eb7-8ef3-9b0297d53d71","","work-in-progress","","folder","TRUE","FALSE","Level 2"
"cdf03771-4b44-4af9-aa7f-473ff7f90e50","","work-in-progress","","folder","TRUE","FALSE","Level 2","201"
"c7140f2d-36b2-4950-8000-8d79365e15c7","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","201","Penetrations"
"74ef97d4-62e6-402f-8a6e-45cc2661fd4a","","not-started","Inground Drainage","checklist","FALSE","FALSE","Level 2","201","Inground Drainage"
"efd277bc-6935-4fa5-a75e-b50de2981d66","","not-started","Drains","checklist","FALSE","FALSE","Level 2","201","Drains"
"f069c141-37ff-483a-b10e-4bc7e2081ea4","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","201","Rough In"
"0da8aa0f-ae22-4665-a3b0-e5196da7925f","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","201","Corridor"
"143f55d9-8535-4422-9847-6c2dafea962a","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","201","Fit Off"
"b63eda62-5755-40a7-9f63-7876c9307aa0","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","201","Commisioning"
"8a72fb31-6a46-47ec-8def-a4ceaac60376","","work-in-progress","","folder","TRUE","FALSE","Level 2","202"
"ddb7aa30-db88-4c18-ac7a-d9799246a64c","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","202","Penetrations"
"c4a9e1e9-85e4-4b65-bc5c-f076eb3a24ef","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 2","202","Inground Drainage"
"17652c48-ec13-4666-8eeb-56c64e0b7d09","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 2","202","Drains"
"8f3d4ff8-ef9e-4f2a-9f27-5358ce900c05","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","202","Rough In"
"16ec9a83-bf37-41e8-b5ad-3c1c023f4294","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","202","Corridor"
"4c12c937-45cf-407f-bbab-a718b02c9b8d","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","202","Fit Off"
"0aadc13d-1561-4bfb-be39-b06a198f8e46","","not-started","Commisioning","checklist","FALSE","FALSE","Level 2","202","Commisioning"
"8a08d2ce-aa89-432b-b5f6-b0e5d510ce67","","work-in-progress","","folder","TRUE","FALSE","Level 2","203"
"ebe37fd6-c7fe-472f-a6a3-e4d2c05b55bf","","pass","Penetrations","checklist","FALSE","FALSE","Level 2","203","Penetrations"
"b0e3a9f2-5164-4ae2-a936-44a8a5156501","","not-applicable","Inground Drainage","checklist","FALSE","FALSE","Level 2","203","Inground Drainage"
"8f1d1e44-dc6c-477a-99ee-f0e5f7a28f74","","work-in-progress","Drains","checklist","FALSE","FALSE","Level 2","203","Drains"
"06f74f40-7bf3-4dbe-91fe-1e81192dcc5d","","not-started","Rough In","checklist","FALSE","FALSE","Level 2","203","Rough In"
"f7e82eea-ae73-4405-b735-7425a94a02c2","","not-started","Corridor","checklist","FALSE","FALSE","Level 2","203","Corridor"
"7d6e1bd1-6801-4ea3-adb0-47f18ced151e","","not-started","Fit Off","checklist","FALSE","FALSE","Level 2","203","Fit Off"
