Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Building 6 - Overall Progress,,,,,,,,
,Scope,,,Site QA,Building 6,,,
,Rows,,,,,,,
,,Building 6 - Smoke Clearance Fans,dynamic,smoke clearance fans,building 6,site qa,,
,,Building 6 - Office Amenities,dynamic,building 6,office amenities,site qa,,
,,Building 6 - Main Office - Stage 1 - Ground Floor,dynamic,ground floor,building 6,stage 1,site qa,main office
,,Building 6 - Main Office - Stage 1 - Level 1 Office,dynamic,building 6,stage 1,site qa,main office,level 1 office
,,Building 6 - Main Office - Stage 1 - Comms Room,dynamic,building 6,stage 1,site qa,comms room,main office
,,Building 6 - Main Office - Stage 2 - Ground Floor,dynamic,ground floor,building 6,site qa,stage 2,main office
,,Building 6 - Main Office - Stage 2 - Level 1 Office,dynamic,building 6,site qa,stage 2,main office,level 1 office
,,Building 6 - Main Office - Stage 2 - Comms Room,dynamic,building 6,site qa,comms room,stage 2,main office
,,Building 6 - Dock Office - Stage 1,dynamic,dock office,building 6,stage 1,site qa,
,,Building 6 - Dock Office - Stage 2,dynamic,dock office,building 6,site qa,stage 2,
,,Building 6 - MSSB,dynamic,building 6,mssb,site qa,,
,,Building 6 - Fire Dampers,dynamic,fire dampers,building 6,site qa,,
,Columns,,,,,,,
,,QA,,Site QA,,,,
,,,,,,,,
Building 7 - Overall Progress,,,,,,,,
,Scope,,,Site QA,Building 7,,,
,Rows,,,,,,,
,,Building 7 - PAC Units,dynamic,site qa,building 7,pac units,,
,,Building 7 - Smoke Clearance Fans,dynamic,smoke clearance fans,site qa,building 7,,
,,Building 7 - Fans,dynamic,site qa,building 7,fans,,
,,Building 7 - Main Office - Stage 1 - Ground Floor,dynamic,ground floor,stage 1,site qa,building 7,main office
,,Building 7 - Main Office - Stage 1 - Comms Room,dynamic,stage 1,site qa,building 7,comms room,main office
,,Building 7 - Main Office - Stage 2 - Ground Floor,dynamic,ground floor,site qa,building 7,stage 2,main office
,,Building 7 - Main Office - Stage 2 - Comms Room,dynamic,site qa,building 7,comms room,stage 2,main office
,,Building 7 - Dock Office - Stage 1,dynamic,dock office,stage 1,site qa,building 7,
,,Building 7 - Dock Office - Stage 2,dynamic,dock office,site qa,building 7,stage 2,
,,Building 7 - MSSB,dynamic,mssb,site qa,building 7,,
,,Building 7 - Variable Speed Drive,dynamic,site qa,building 7,variable speed drive,,
,,Building 7 - Fire Dampers,dynamic,fire dampers,site qa,building 7,,
,Columns,,,,,,,
,,QA,,Site QA,,,,
