Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Stage 5 - Townhouses Progress,,,,,,
,Scope,,,Stage 5 - Townhouses,,
,Rows,,,,,
,,B06 - Townhouses,dynamic,Townhouses,B06,Stage 5 - Townhouses
,,B07 - Townhouses,dynamic,Townhouses,B07,Stage 5 - Townhouses
,,B08 - Townhouses,dynamic,Townhouses,B08,Stage 5 - Townhouses
,,B09 - Townhouses,dynamic,Townhouses,B09,Stage 5 - Townhouses
,,B10 - Townhouses,dynamic,Townhouses,B10,Stage 5 - Townhouses
,,B11 - Townhouses,dynamic,Townhouses,B11,Stage 5 - Townhouses
,,B12 - Townhouses,dynamic,Townhouses,B12,Stage 5 - Townhouses
,Columns,,,,,
,,Gutter,,Gutter,Stage 5 - Townhouses,
,,Downpipe,,Downpipe,Stage 5 - Townhouses,
