resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Soffit Panels,,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 1,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 2,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 3,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 4,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 5,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 6,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 7,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 8,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 9,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 10,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 11,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 12,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 13,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 14,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Soffit 15,,,,,,,
,,,,step,,,Facia Panels,,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 1,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 2,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 3,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 4,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 5,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 6,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 7,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 8,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 9,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 10,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 11,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 12,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 13,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 14,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia 15,,,,,,,
Fabrication Checklist,Receival of Panels Onsite Checklist,Removal of Non-Compliant Cladding Checklist,Installation of Panels Checklist,folder-with-checklists,,,,Facia End Panel,,,,,,,
