"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fb310937-3d80-4c2f-abfc-0ed518701d92","","not-started","","folder","TRUE","FALSE","Building A"
"3e7cba3d-80d5-41a8-a089-3971429819d5","","not-started","","folder","TRUE","FALSE","Building A","LG"
"6f5bf4f8-f68e-498d-9658-84efffd0bc86","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Core A"
"6ac5debb-dfef-47f5-b97c-03254d9dde96","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone A (Corridor)"
"33dcba6e-0135-490b-b241-d6358feb59b6","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone A(Rooms)"
"3f0f604a-9022-4678-b6fd-63975ab7d994","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone B (Corridor)"
"c32273f6-be5d-433b-9ca7-6bf2c4603776","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone B (Rooms)"
"f13bbf7d-3dd1-432b-a237-c7287abbbb19","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone C (Corridor)"
"ec978c77-0a06-46c4-bc5c-7a20c6622be3","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone C (Room)"
"fa54461b-5514-4284-9628-2d6701fc6e64","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone D (Corridor)"
"d9801d04-5948-4fbd-b1a2-4028e134391f","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","LG","Zone D (Room)"
"85c276b6-d005-41cb-9ac6-b0ba1264658d","","not-started","","folder","TRUE","FALSE","Building A","G"
"bc15de1b-6c9a-44dd-8697-e08347539c4c","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","G","A (Lift Lobby)"
"b69ee3fd-6617-4bbb-b04b-bcacfb339523","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","G","A (Corridor)"
"fb45c8bf-9edf-4797-8906-575e59e2d51c","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","G","A (Room)"
"09d46cbf-f8b0-4942-aa48-d360be923998","","not-started","","folder","TRUE","FALSE","Building A","1"
"22f56706-5d4a-4e3c-9343-5eef2a24737b","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","1","A (Lift Lobby)"
"4f8fbfe9-7fea-4184-9824-4c05a6ea519f","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","1","A (Corridor)"
"833ea05c-c979-4967-8b8f-d778a1cfea2a","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building A","1","A (Room)"
"5e19c163-e770-41b8-8dcf-0cf788a05570","","not-started","","folder","TRUE","FALSE","Building B"
"7f3a8497-0e43-487a-908c-f8fa3239e853","","not-started","","folder","TRUE","FALSE","Building B","LG"
"365c3752-cbd7-4ca5-8f82-016d569dcd06","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","LG","A (Lift Lobby)"
"46db174d-b8ef-4dbc-ac20-b225b2f91f6c","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","LG","A (Corridor)"
"13cdd0c3-ccaf-449e-9cda-282d3dc79883","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","LG","A (Room)"
"465f880c-cd1e-4c6a-9dc6-0482a2766da6","","not-started","","folder","TRUE","FALSE","Building B","G"
"1871ff75-7d01-45c8-ac60-89fcb92200d9","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","G","A (Lift Lobby)"
"44bf938c-da1e-46e1-b4c1-30fdddee7579","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","G","A (Corridor)"
"549c9104-4df2-403f-9a6c-22e21739f6ee","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","G","A (Room)"
"cd8f6fc2-bd10-47f7-a4f0-07817d3438c1","","not-started","","folder","TRUE","FALSE","Building B","1"
"ccf4bac1-fb03-42bd-873b-ca8dd748a9a0","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","1","A (Lift Lobby)"
"791d5305-a280-4240-a1f3-5e2ffba59a36","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","1","A (Corridor)"
"a29da8f1-a801-4659-bbd2-f74e33c73981","","not-started","Internal Painting - Room / Corridor / Lift Lobby","checklist","FALSE","FALSE","Building B","1","A (Room)"
