resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,BUILDING A (SUBACUTE),,,,,,,,
,,step,,,,BASEMENT 01,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,GF,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,L01,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,L02,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,L03,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,L04,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 71,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 72,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 73,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 74,,,,,,
Internal Painting,Timberwork Painting,folder-with-checklists,,,,,ZONE 75,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 76,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 77,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 78,,,,,,
Internal Painting,,folder-with-checklists,,,,,ZONE 79,,,,,,
,,step,,,,L05,,,,,,,
Internal Painting,Corridor/Lift Lobby Painting,folder-with-checklists,,,,,ZONE 70,,,,,,
