Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,
d6177f95-4855-5421-8eab-8fb7096d2319,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,PCP to UT1 Cable Run,"PCP POWER– LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
0a8e0479-98ab-55d7-81a6-7812adea9097,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,GHS to UT1 Cable Runs,"GHS Power – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
cf8bccb0-9e6f-5f71-848e-18245f171ab0,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,GHS to UT1 Cable Runs,"GHS UPS (Cable U9) – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
37e74df2-3e3f-59ef-a76d-79f8547a0d95,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,GHS to UT1 Cable Runs,"GHS/4 UPS (U290)– LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
b0aac865-a4c5-50fe-b859-5a284d742f4a,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,VRC to UTI Cable Runs,"VRC POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
6edf8dc9-f9ed-57a5-b9ef-83935d202f04,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,VRC to UTI Cable Runs,"VRC UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
30fa56e0-f72b-525a-b51f-8eeb448982d9,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,OPS to UT1 Cable Runs,"OPS POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
df9b39ee-3f1a-5084-b830-95e6bbe59920,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,OPS to UT1 Cable Runs,"OPS UPS A – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
e9f58bf0-fb7c-5346-944d-dea6a251edc8,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,OPS to UT1 Cable Runs,"OPS UPS B – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
d7489001-949a-55c8-b7d0-80bee3134824,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,MSU to UT1 Cable Runs,"MSU POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
2c07bc9e-08ad-531e-ad78-c9e77a25a5e0,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,MSU to UT1 Cable Runs,"MSU UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
99e2c1a1-9f9b-5fec-9566-624cfc9aa1b2,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,VIS to UT1 Cable Runs,"VIS POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
31be512f-b908-54fd-8ab0-5e4f246ce661,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,VIS to UT1 Cable Runs,"VIS UPS– LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
01a674f7-41a1-52ab-9db6-2163d998b35a,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,DCU to UT1 Cable Runs,"DCU POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
b54ce268-8c2a-51dd-afee-691d8742f4ae,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,DCU to UT1 Cable Runs,"DCU UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
7a7c5db1-1cd6-5f8d-905e-be1319d24ce4,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,SPO to UT1 Cable Runs,"SPO POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
99e74b34-3cd4-5e94-9430-1bb131b18e49,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,SPO to UT1 Cable Runs,"SPO UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
1269e581-87fd-5a06-9b52-9f961494e70a,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO1 to UT1 Cable Runs,"AO1 POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
9c079f19-d501-5735-baa9-0a8dffc171dd,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO2 to UT1 Cable Runs,"AO2 UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
3d790385-61c7-5fbd-9720-6a9966679976,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO2 to UT1 Cable Runs,"AO2 POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
27c6b148-2086-53ae-bdbd-2b77c479f3bf,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO3 to UT1 Cable Runs,"AO3 POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
1991621a-8710-5dad-baf6-11e07bc0ff43,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO4 to UT1 Cable Runs,"AO4 POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
4fe223ec-cb0b-5060-94cc-59b3d0f856bc,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,AO4 to UT1 Cable Runs,"AO4 UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
46be244e-45bc-5baf-8e91-06c7b0c34077,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,Sewer Pump North to UT1 Cable Run,"Sewer Pump North POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
c45f0ccc-17e1-5698-9966-a91c6c44499c,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,STA to UT1 Cable Runs,"STA POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
801190cd-64e4-5ab5-93e9-03efb2213305,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,STA to UT1 Cable Runs,"STA UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
9f39de81-39c5-5ea2-a800-b0b9f7f79b6f,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,FM1 to UT1 Cable Runs,"FM1 POWER – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
58d82dc8-b172-5d09-be75-f88f4cc86d3a,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,FM1 to UT1 Cable Runs,"FM1 UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
e50e4dc1-d807-5089-aa53-c1544bb6afbe,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,TNK to UT1 Cable Runs,"TNK POWER  – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
32134da2-2064-5a79-8735-49a83e743601,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,MH1 to UT1 Cable Runs,"MH1 POWER  – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
011a21fb-c09e-5c3e-b271-305233b1646c,,checkpoint-status,pass,,,TRUE,TRUE,QA - Electrical Inspections ,LV Installation Direct Bury,MH1 to UT1 Cable Runs,"MH1 UPS – LV Cable Install, Terminations & Testing",1.1 RDM & Consent Approval,,,,,
