"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c3011f97-a33d-460d-944c-35eaf2918817","","","","folder","TRUE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU"
"a83950a6-c163-48af-9f2a-2e982cb7bc4c","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","GF.C.024"
"8d285795-02e6-48d0-835c-6c3824d583cc","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","GF.C.043"
"d6df932a-8aa2-4436-8f30-09be3de4a045","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","GF.E.002"
"e55d19e7-1da2-4949-86f2-1a9bfe7d4417","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","GF.E.050"
"d82b0579-fd25-4a6e-92cf-1e9005454220","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","GF.E.051"
"3a741961-99b8-466b-adc0-2321eda13452","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","01.E.013"
"0cf51121-c6b3-4d13-99a0-4ef6553b0f17","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","01.E.014"
"aea056a6-aaf0-4fa9-8257-6cd49a21b8e4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","01.E.015"
"8bf04d53-13b6-4e4a-a29c-8c1ead0585ad","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","01.E.016"
"6e12b656-28c9-472f-8f3d-d08907608384","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","01.E.017"
"6397d70c-61c0-4094-814b-659bdd38c920","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.001"
"866662d8-c829-4370-bb6b-f6c55ace1f85","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.012"
"6baf7429-3e99-44e8-a9be-a93862c296cc","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.013"
"8495ff93-7578-4a85-962d-694600b43aef","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.014"
"c265ff6e-b78b-48a2-a677-4757581372ac","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.015"
"71662d8e-5353-46cf-b038-f9ab23182639","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.016"
"baf80916-dadc-44d2-aade-15657555937d","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.017"
"4939a092-70a5-4409-a57e-5ed820b9fbd4","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.018"
"6d32f071-b456-4f14-aed2-a467a7257d64","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.019"
"af59efb6-2d5b-4726-8d69-794197a44894","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.020"
"8b01f7ec-4a6e-4f0c-91a4-5f183631753e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.024"
"7ecbcd90-ad4d-47fd-bb06-ad7b0ec1a055","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.025"
"58a1de5b-a73d-4a90-8800-5e033b9a6e92","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.028"
"4db7da0d-a66c-4ebc-bfd1-17b7fb82caba","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.029"
"5f843ec7-beb3-4085-8305-1364a97530ed","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.030"
"3c2bc401-7bdf-4c69-96c0-a68c3d47c932","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.031"
"5c9daa12-45e1-4a62-ab1d-9fa268916010","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.033"
"bc191844-9258-4938-aed4-a1b1d0d37a59","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.034"
"26317573-c8e7-4991-bb70-e8756aa44b7e","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.035"
"2bece5b1-5c48-4996-9b9a-661a7d3468ff","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.037"
"bebccc94-58f7-4131-82cf-415706238979","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.038"
"52b7ad03-aa80-4d50-850b-49763a30f5f3","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","02.E.039"
"f55ddf52-ad94-42ea-aba4-e3871341630a","","","ILR Checklist","checklist","FALSE","FALSE","HKI-NFH-ILR-G2-028 Furniture - Chair, 28A - Furniture - Chair A - VU","03.E.013"
