"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e10b8f7a-bd66-4aa7-bfeb-d3fcb305d4b2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"8e42b0cd-4f1e-45fc-abf8-3aaefee7a0dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building A"
"82aef1d4-ca49-4d50-af22-9debe6300f0a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Basement 2"
"c00139c3-c949-4611-83bb-b6f63f538fe4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Basement 1"
"831a8e62-cbf6-40c0-ad0d-5ee85de65fc8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","Ground Floor"
"e30d862b-ac18-4f3d-ab9c-f8e4468d5eae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","1"
"7933b273-6e1c-4ceb-a53d-af8565cb3350","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","2"
"9a342d0d-bd75-4852-81b2-a0098ab385e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","3"
"bb4a0ce1-58ba-454b-8c55-44265a8e59d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","4"
"cceb7eb4-e1bc-4ffd-ae34-ecd8b2aff25c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","5"
"e33215da-bece-4a15-8502-44e7db895db2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","6"
"609ffb2b-72e6-4190-9375-98883981fb23","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","7"
"45535ba9-7e76-4d1c-bb4f-161657cfb65e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","8"
"583b15fd-660a-4fec-9418-769a7502cdd7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","9"
"cd8b4deb-e72d-4995-83e3-16d5b9ccc293","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Building A","10"
