Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
LEVEL 01-04 Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,LEVEL 03 - BUILDING C,grouping,LEVEL 03 - BUILDING C,,,
,,C301,,C301,BUILDING C,LEVEL 03,Site QA
,,C302,,C302,BUILDING C,LEVEL 03,Site QA
,,C303,,C303,BUILDING C,LEVEL 03,Site QA
,,C304,,C304,BUILDING C,LEVEL 03,Site QA
,,C305,,C305,BUILDING C,LEVEL 03,Site QA
,,C306,,C306,BUILDING C,LEVEL 03,Site QA
,,LEVEL 04 - CONCRETE POURS,grouping,LEVEL 04 - CONCRETE POURS,,,
,,Pour 1 A,,Pour 1 A,CONCRETE POURS,LEVEL 04,Site QA
,,Pour 2 B,,Pour 2 B,CONCRETE POURS,LEVEL 04,Site QA
,,Pour 3 BB,,Pour 3 BB,CONCRETE POURS,LEVEL 04,Site QA
,,Pour 4 C,,Pour 4 C,CONCRETE POURS,LEVEL 04,Site QA
,,LEVEL 04 - APARTMENTS,grouping,LEVEL 04 - APARTMENTS,,,
,,APARTMENTS,,LEVEL 04 APARTMENTS,LEVEL 04,Site QA,
,,LEVEL 04 - BUILDING A,grouping,LEVEL 04 - BUILDING A,,,
,,A401,,A401,BUILDING A,LEVEL 04,Site QA
,,A402,,A402,BUILDING A,LEVEL 04,Site QA
,,A403,,A403,BUILDING A,LEVEL 04,Site QA
,,A404,,A404,BUILDING A,LEVEL 04,Site QA
,,A405,,A405,BUILDING A,LEVEL 04,Site QA
,,A406,,A406,BUILDING A,LEVEL 04,Site QA
,,LEVEL 04 - BUILDING B,grouping,LEVEL 04 - BUILDING B,,,
,,B401,,B401,BUILDING B,LEVEL 04,Site QA
,,B402,,B402,BUILDING B,LEVEL 04,Site QA
,,B403,,B403,BUILDING B,LEVEL 04,Site QA
,,B404,,B404,BUILDING B,LEVEL 04,Site QA
,,B405,,B405,BUILDING B,LEVEL 04,Site QA
,,LEVEL 04 - BUILDING BB,grouping,LEVEL 04 - BUILDING BB,,,
