"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"01d366e6-6ccc-4328-9d55-40242a918105","","work-in-progress","f925dcb8ff76129090ab56ec2ce8ac8d6c210b0cd301be4f82bc22b98eabf3ad","checklist","FALSE","FALSE","Site QA","Cast-3 BN13-E and BN13-W ","Byford U-Beam Stage-1 Casting BN13-E"
"1ee72c3e-ce1b-426f-a083-98392cd0a506","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-3 BN13-E and BN13-W ","Byford U-Beam Stage-2 Casting Checklist BN13-E"
"3e5b4104-e3a4-4967-b475-3c049a5fa829","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-3 BN13-E and BN13-W ","Byford U-Beam Stage-1 Casting BN13-W"
"d5fd9f63-0f40-4efe-b851-874cab771d80","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-3 BN13-E and BN13-W ","Byford U-Beam Stage-2 Casting Checklist BN13-W"
"0cb4a068-664b-4e70-8241-91e1c1635ce0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-4 BN04-W and BN04-E"
"8d395b8e-3abd-4265-83ff-70d76ef607df","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-4 BN04-W and BN04-E","Byford U-Beam Stage-1 Casting BN04-W"
"1c0c783e-d24a-4e80-87ab-c9824c9abad0","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-4 BN04-W and BN04-E","Byford U-Beam Stage-2 Casting Checklist BN04-W"
"002a8f07-b588-4937-899a-bf0bdbd24e10","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-4 BN04-W and BN04-E","Byford U-Beam Stage-1 Casting BN04-E"
"126fe8ae-9817-4e67-b952-e413c62516e4","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-4 BN04-W and BN04-E","Byford U-Beam Stage-2 Casting Checklist BN04-E"
"b0ec8524-dce8-46d6-8607-8b62bf6383ba","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-5 BN01-E and BN01-W"
"febfbde7-ae47-49aa-9503-c0bcbc528667","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-5 BN01-E and BN01-W","Byford U-Beam Stage-1 Casting BN01-E"
"3fe75f77-0205-49dd-9f7f-2e0bc7c59952","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-5 BN01-E and BN01-W","Byford U-Beam Stage-2 Casting Checklist BN01-E"
"21ab62ca-e9fe-4486-a0fe-22890d1a2c09","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-5 BN01-E and BN01-W","Byford U-Beam Stage-1 Casting BN01-W"
"8ba2cec9-ec60-402e-a9c0-ecbfb0aac885","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-5 BN01-E and BN01-W","Byford U-Beam Stage-2 Casting Checklist BN01-W"
"75d5f4de-64bb-4a3a-80b3-0148fb6977ec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-6 BN07-W and BN07-E"
"b41ab39a-c8c3-402e-8145-ff38c67dd066","","work-in-progress","4c43c103bda9880f615817748c79ada136d0771ce72ec7f2174c9dc0f937610e","checklist","FALSE","FALSE","Site QA","Cast-6 BN07-W and BN07-E","Byford U-Beam Stage-1 Casting BN07-W"
"632922d7-d4cb-4829-bce0-3a6fe352b87e","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-6 BN07-W and BN07-E","Byford U-Beam Stage-2 Casting Checklist BN07-W"
"a7311f90-3670-4c0a-9d41-394d9dbc72b3","","work-in-progress","f925dcb8ff76129090ab56ec2ce8ac8d6c210b0cd301be4f82bc22b98eabf3ad","checklist","FALSE","FALSE","Site QA","Cast-6 BN07-W and BN07-E","Byford U-Beam Stage-1 Casting BN07-E"
"d5b71eff-3f7e-4873-82f0-2e22857b53e6","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-6 BN07-W and BN07-E","Byford U-Beam Stage-2 Casting Checklist BN07-E"
"b186d603-625d-4b74-8c73-4638b229b711","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-7 BN10-E and BN10-W"
"d5280d0d-546a-432f-be3a-c069e9dacaa1","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-7 BN10-E and BN10-W","Byford U-Beam Stage-1 Casting BN10-E"
"b77236ea-0814-4f5a-87ca-e9422cd41d98","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-7 BN10-E and BN10-W","Byford U-Beam Stage-2 Casting Checklist BN10-E"
"298a57ad-21b8-4074-89ec-39fb091adc35","","work-in-progress","217b6015c252e9869a9c5cdbe780c46482353eadf347c55a62827465f22d570b","checklist","FALSE","FALSE","Site QA","Cast-7 BN10-E and BN10-W","Byford U-Beam Stage-1 Casting BN10-W"
"61cb45d8-220f-45e6-b156-67f50ba49821","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-7 BN10-E and BN10-W","Byford U-Beam Stage-2 Casting Checklist BN10-W"
"1e8d89a2-cd38-4b4a-ae1c-8676254bdb98","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-8 BN33-W and BN33-E"
"175c1b8f-86ae-4400-ac75-049a3030dbff","","work-in-progress","3c69f12d1f4922dc91e598ed395b3f0d5f9438c9496bc2490102c9623590dbf6","checklist","FALSE","FALSE","Site QA","Cast-8 BN33-W and BN33-E","Byford U-Beam Stage-1 Casting BN33-W"
"b6946d03-7a45-4c77-bac4-47e9aa596107","","work-in-progress","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-8 BN33-W and BN33-E","Byford U-Beam Stage-2 Casting Checklist BN33-W"
"bd5c28f9-9917-41ea-9e6e-692659667d8f","","work-in-progress","b537a4dce822092a5bd34d9cf402d8bc7e9d705074b6185916307026b87daf14","checklist","FALSE","FALSE","Site QA","Cast-8 BN33-W and BN33-E","Byford U-Beam Stage-1 Casting BN33-E"
"3774359c-f0b4-41c7-8146-aefaa551b621","","pass","Ω (Deprecated) Byford U-Beam Stage-2 Casting Checklist (old version, v1)","checklist","FALSE","FALSE","Site QA","Cast-8 BN33-W and BN33-E","Byford U-Beam Stage-2 Casting Checklist BN33-E"
"a07e6a4f-264f-4157-a593-d6eb66b37a29","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-9 BN38-E and BN38-W"
