"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cffdf253-dbe7-4e29-960c-06e749d6b6fb","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-23 BN11-W and BN44-W","Byford U-Beam Stage-1 Casting BN11-W"
"ff92a4d5-7dfa-407c-85f5-b3894f44ddac","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-23 BN11-W and BN44-W","Byford U-Beam Stage-2 Casting Checklist BN11-W"
"5c528025-1dbf-4db7-913f-6dbf221b2e85","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-23 BN11-W and BN44-W","Byford U-Beam Stage-1 Casting BN44-W"
"809ee093-78ea-4edd-8eb0-c52ac04e4fbe","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-23 BN11-W and BN44-W","Byford U-Beam Stage-2 Casting Checklist BN44-W"
"ea8190bf-5340-41c1-a29f-4d76fd139294","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-24 BN40-E and BN41-W"
"f418c460-51d9-4101-a6e7-85a081812032","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-24 BN40-E and BN41-W","Byford U-Beam Stage-1 Casting BN40-E"
"885b9bb1-edc0-4f93-923f-9f85641a16d5","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-24 BN40-E and BN41-W","Byford U-Beam Stage-2 Casting Checklist BN40-E"
"5888d1d9-1674-4b7a-a42c-21b080054ffd","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-24 BN40-E and BN41-W","Byford U-Beam Stage-1 Casting BN41-W"
"1541e9ee-d8bc-42d6-be29-f2b0d5b50f82","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-24 BN40-E and BN41-W","Byford U-Beam Stage-2 Casting Checklist BN41-W"
"9c9b09db-1775-4dbf-a4fd-b327cdd5e4db","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-25 BN02-E and BN08-E"
"7afa46c1-2e73-4087-b9aa-8be8e0c0f40b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-25 BN02-E and BN08-E","Byford U-Beam Stage-1 Casting BN02-E"
"91be0d8d-a8fc-4a28-861e-00f5aa87c08b","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-25 BN02-E and BN08-E","Byford U-Beam Stage-2 Casting Checklist BN02-E"
"628effea-2b05-436a-b226-4c0a445d3fa1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-25 BN02-E and BN08-E","Byford U-Beam Stage-1 Casting BN08-E"
"dd576db5-bdd9-47f2-bddd-06f01021b988","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-25 BN02-E and BN08-E","Byford U-Beam Stage-2 Casting Checklist BN08-E"
"ea713f68-e0a3-45db-9096-84023950b13e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-26 BN40-W and BN37-W"
"103c911f-61a6-48bf-ac8e-c5b89644808b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-26 BN40-W and BN37-W","Byford U-Beam Stage-1 Casting BN40-W"
"e258fb71-4e21-4185-9167-24e665b07032","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-26 BN40-W and BN37-W","Byford U-Beam Stage-2 Casting Checklist BN40-W"
"9a941431-9c44-4656-8c93-c7f66eb6a4d1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-26 BN40-W and BN37-W","Byford U-Beam Stage-1 Casting BN37-W"
"b9a59156-a037-4c3d-8f52-7a26118f47e6","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-26 BN40-W and BN37-W","Byford U-Beam Stage-2 Casting Checklist BN37-W"
"7927bb41-fb1e-43f6-a150-4bb471854b95","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-27 BN12-W and BN32-CE"
"69226786-d48a-41b7-97fa-137d33f7a10a","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-27 BN12-W and BN32-CE","Byford U-Beam Stage-1 Casting BN12-W"
"2f4793fe-488e-43fa-bb37-ba690038121c","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-27 BN12-W and BN32-CE","Byford U-Beam Stage-2 Casting Checklist BN12-W"
"65881cce-e594-43bb-89d7-92e5899a0999","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-27 BN12-W and BN32-CE","Byford U-Beam Stage-1 Casting BN32-CE"
"49345cde-88a4-49c5-894d-14f2d3114711","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-27 BN12-W and BN32-CE","Byford U-Beam Stage-2 Casting Checklist BN32-CE"
"2eda0a15-4ce8-448c-8920-58603250a01a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-28 BN11-E and BN32-CW"
"3f1d0cc8-350c-4404-a2d6-90267d2c1351","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-28 BN11-E and BN32-CW","Byford U-Beam Stage-1 Casting BN11-E"
"4476c977-1f0f-4ac4-8dc7-64c582cd1322","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-28 BN11-E and BN32-CW","Byford U-Beam Stage-2 Casting Checklist BN11-E"
"f8698efd-7280-45eb-933d-451962d627c5","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-28 BN11-E and BN32-CW","Byford U-Beam Stage-1 Casting BN32-CW"
"ccf453e0-6d62-4d67-934d-f3fc4a7dfbec","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-28 BN11-E and BN32-CW","Byford U-Beam Stage-2 Casting Checklist BN32-CW"
"0c3d13e8-15a3-4e09-9b64-8586e9c73152","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-29 BN09-E and BN35-W"
"a7feaa04-c6c1-4f39-a4f8-1a0b2af02f33","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-29 BN09-E and BN35-W","Byford U-Beam Stage-1 Casting BN09-E"
"5958e985-68f2-4498-be2a-b5b0cc691570","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-29 BN09-E and BN35-W","Byford U-Beam Stage-2 Casting Checklist BN09-E"
"f811ea07-0339-4d5c-ac47-9c98a27b3670","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-29 BN09-E and BN35-W","Byford U-Beam Stage-1 Casting BN35-W"
"f2c6110f-0e84-45fb-8153-d92776c628c0","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-29 BN09-E and BN35-W","Byford U-Beam Stage-2 Casting Checklist BN35-W"
"7bbb3940-1310-4ffe-8535-e025a7ef41ac","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-30 BN05-E and BN09-W"
"aed99f93-0c49-44ed-a0ef-240e7087f55a","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-30 BN05-E and BN09-W","Byford U-Beam Stage-1 Casting BN05-E"
"ef1e7eca-74cb-4c5d-800e-432f31bbc56d","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-30 BN05-E and BN09-W","Byford U-Beam Stage-2 Casting Checklist BN05-E"
"dc01fe77-3e62-42d1-aa5b-48fb5e7a36b6","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-30 BN05-E and BN09-W","Byford U-Beam Stage-1 Casting BN09-W"
"f8415c9d-0ab7-4298-9fa8-1b3ca1687492","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-30 BN05-E and BN09-W","Byford U-Beam Stage-2 Casting Checklist BN09-W"
"16013ff8-1081-4270-ad4d-015be524c62d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-31 BN37-E and BN41-E"
"0b396e9e-84fc-49c2-9b4d-e1880e3a6616","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-31 BN37-E and BN41-E","Byford U-Beam Stage-1 Casting BN37-E"
"ba89d541-3ddb-48dd-83db-45a7d5b1fc3f","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-31 BN37-E and BN41-E","Byford U-Beam Stage-2 Casting Checklist BN37-E"
"f33bd5c3-b19f-4e5c-af86-1dbcc21afa61","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-31 BN37-E and BN41-E","Byford U-Beam Stage-1 Casting BN41-E"
"6e1bcf56-5d37-4112-bfbb-d21c96fb3a6b","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-31 BN37-E and BN41-E","Byford U-Beam Stage-2 Casting Checklist BN41-E"
"aec839d1-32f4-42bc-ae18-a69eaf7f370f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-32 BN31-W and BN32-W"
"104588e2-7a0d-4ce5-a2a3-7b08928d3d95","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-32 BN31-W and BN32-W","Byford U-Beam Stage-1 Casting BN31-W"
"1cd84f4a-d254-4d62-85ae-bc5cd56d7d3c","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-32 BN31-W and BN32-W","Byford U-Beam Stage-2 Casting Checklist BN31-W"
"38d4a413-104f-42eb-b0b7-4a0609a57d24","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-32 BN31-W and BN32-W","Byford U-Beam Stage-1 Casting BN32-W"
"23528440-4b81-4206-815f-7bb62f137990","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-32 BN31-W and BN32-W","Byford U-Beam Stage-2 Casting Checklist BN32-W"
"8acdde34-db7b-467d-ac5d-aaf0d6b033aa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-33 BN27-W and BN35-CW"
"a7a167d1-ebf0-4057-937f-a41b8c1cf08b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-33 BN27-W and BN35-CW","Byford U-Beam Stage-1 Casting BN27-W"
"26fef334-facf-43ae-9781-5b2cfa4a92bd","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-33 BN27-W and BN35-CW","Byford U-Beam Stage-2 Casting Checklist BN27-W"
"e9fd9ae7-a0df-40b1-8b1a-2e8cf2be7178","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-33 BN27-W and BN35-CW","Byford U-Beam Stage-1 Casting BN35-CW"
"9d1b56e0-17fb-4016-aa39-4e89b4d1e20b","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-33 BN27-W and BN35-CW","Byford U-Beam Stage-2 Casting Checklist BN35-CW"
"815e62fb-cf3f-4b95-bae7-23f38e4b4308","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-34 BN12-E and BN39-W"
"02418113-dcc2-4f85-90bd-b37d32edb78e","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-34 BN12-E and BN39-W","Byford U-Beam Stage-1 Casting BN12-E"
"443ba862-57f1-4e83-99dd-105de13b14c1","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-34 BN12-E and BN39-W","Byford U-Beam Stage-2 Casting Checklist BN12-E"
"f0d3850c-a040-40e4-8a0f-e703893ed2b5","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-34 BN12-E and BN39-W","Byford U-Beam Stage-1 Casting BN39-W"
"0650980a-e8d7-4793-ae8b-1920272a38f8","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-34 BN12-E and BN39-W","Byford U-Beam Stage-2 Casting Checklist BN39-W"
"b0847c47-b988-4e16-9881-20d235fbfd8d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-35 BN14-E and BN39-E"
"1c13e0af-c07d-4b09-88e4-a442bd68bb1b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-35 BN14-E and BN39-E","Byford U-Beam Stage-1 Casting BN14-E"
"5a877807-b6c1-413f-b685-e80ca07b00e2","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-35 BN14-E and BN39-E","Byford U-Beam Stage-2 Casting Checklist BN14-E"
"896c8345-6507-4307-9bdd-4075e4a22f5d","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-35 BN14-E and BN39-E","Byford U-Beam Stage-1 Casting BN39-E"
"c7ac3af7-1aee-4c17-9095-8592433eae9a","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-35 BN14-E and BN39-E","Byford U-Beam Stage-2 Casting Checklist BN39-E"
"6b4e4ba7-12fa-4765-af72-f96183c07a64","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-36 BN19-W and BN19-E"
"1a304d6b-ee9d-4f44-a947-b7085340b93a","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-36 BN19-W and BN19-E","Byford U-Beam Stage-1 Casting BN19-W"
"81e2c809-5c9b-4de3-9aaa-a0bbccf8c1c7","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-36 BN19-W and BN19-E","Byford U-Beam Stage-2 Casting Checklist BN19-W"
"df0c94e0-b200-45e2-81d6-a012047a309a","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-36 BN19-W and BN19-E","Byford U-Beam Stage-1 Casting BN19-E"
"6ef26cbd-3db1-4786-b7f8-8b6d360cb503","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-36 BN19-W and BN19-E","Byford U-Beam Stage-2 Casting Checklist BN19-E"
"05fdf542-081f-4a7b-b58d-427b9a4cfa06","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-37 BN24-W and BN28-W"
"39957137-e722-4f70-ac72-5e509d115cdf","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-37 BN24-W and BN28-W","Byford U-Beam Stage-1 Casting BN24-W"
"39486385-5876-409a-9265-c723ef8bd2b4","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-37 BN24-W and BN28-W","Byford U-Beam Stage-2 Casting Checklist BN24-W"
"7a402aaa-47e4-43e6-887b-106205a8299c","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-37 BN24-W and BN28-W","Byford U-Beam Stage-1 Casting BN28-W"
"19820171-a9ac-40c6-b686-c247498de3a0","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-37 BN24-W and BN28-W","Byford U-Beam Stage-2 Casting Checklist BN28-W"
"71f9c0eb-4d80-47eb-bc04-61a24ac24ef2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-38 BN20-E and BN24-E"
"2af8449e-8c68-47d6-95d9-09b342dba52b","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-38 BN20-E and BN24-E","Byford U-Beam Stage-1 Casting BN20-E"
"80bfb256-3ba3-449c-a989-563596eee69c","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-38 BN20-E and BN24-E","Byford U-Beam Stage-2 Casting Checklist BN20-E"
"97e73ce7-00bd-465c-a002-e9952832c2c8","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-38 BN20-E and BN24-E","Byford U-Beam Stage-1 Casting BN24-E"
"7af2bbfe-1dc1-4a8e-8cf8-1226e227bdbc","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-38 BN20-E and BN24-E","Byford U-Beam Stage-2 Casting Checklist BN24-E"
"03665c7f-53f0-446d-94af-60e376fb837b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-39 BN24-CE and BN20-W"
"05a6e2a9-d1cc-4c5b-aeba-a40e12eb53d8","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-39 BN24-CE and BN20-W","Byford U-Beam Stage-1 Casting BN24-CE"
"86c76735-81db-4ee5-8161-8ff7a2dd04c3","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-39 BN24-CE and BN20-W","Byford U-Beam Stage-2 Casting Checklist BN24-CE"
"70be1b44-d48e-44c9-a5e7-2a5e2cf43592","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-39 BN24-CE and BN20-W","Byford U-Beam Stage-1 Casting BN20-W"
"d51a09ae-29ca-42d1-9d0f-172b66230192","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-39 BN24-CE and BN20-W","Byford U-Beam Stage-2 Casting Checklist BN20-W"
"cdbd060b-00d2-40ac-bb0a-1386e070b8e0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-40 BN23-E and BN23-CE"
"cec1f5cd-0b54-4c30-ba9e-52db41b512f6","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-40 BN23-E and BN23-CE","Byford U-Beam Stage-1 Casting BN23-E"
"3178e6b6-438a-4089-b2e4-5db7e876cb6d","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-40 BN23-E and BN23-CE","Byford U-Beam Stage-2 Casting Checklist BN23-E"
"34234ec0-9db7-4046-b7ed-0d4f9f6ebaf3","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-40 BN23-E and BN23-CE","Byford U-Beam Stage-1 Casting BN23-CE"
"27629f3b-c4f8-49eb-a1dd-766c71e8c38d","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-40 BN23-E and BN23-CE","Byford U-Beam Stage-2 Casting Checklist BN23-CE"
"ccec830c-8b92-4599-b3e9-54c4b843c66d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-41 BN36-E and BN26-CE"
"fa2cf711-a88d-4e42-a3a8-26508b8163ce","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-41 BN36-E and BN26-CE","Byford U-Beam Stage-1 Casting BN36-E"
"3e53e7aa-e120-4441-b21e-c9ccb040b61e","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-41 BN36-E and BN26-CE","Byford U-Beam Stage-2 Casting Checklist BN36-E"
"de77f2a4-0f7f-4378-9f0f-4b64ad23e5a9","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-41 BN36-E and BN26-CE","Byford U-Beam Stage-1 Casting BN26-CE"
"2107a00c-7a30-45f3-a7d9-5b04dd64ce3b","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-41 BN36-E and BN26-CE","Byford U-Beam Stage-2 Casting Checklist BN26-CE"
"13b84f46-74ea-4df5-bf4d-0128fae92e6a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-42 BN21-E and BN21-W"
"c116b081-c84d-42af-90d3-f3419c78851f","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-42 BN21-E and BN21-W","Byford U-Beam Stage-1 Casting BN21-E"
"504b2b94-6c82-4e07-999b-d5e3f26bd9ea","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-42 BN21-E and BN21-W","Byford U-Beam Stage-2 Casting Checklist BN21-E"
"a41a6297-4534-4c29-abe6-8ed2d3dcef76","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-42 BN21-E and BN21-W","Byford U-Beam Stage-1 Casting BN21-W"
"22a66643-9994-4e2d-82e9-4f31f94ecc14","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-42 BN21-E and BN21-W","Byford U-Beam Stage-2 Casting Checklist BN21-W"
"001bb433-b154-4861-8728-e7789022f52b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-43 BN23-W and BN25-W"
"2eb1d373-7787-4175-a484-9560810065e8","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-43 BN23-W and BN25-W","Byford U-Beam Stage-1 Casting BN23-W"
"84180a44-eea3-4240-8a57-b5ad3428924d","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-43 BN23-W and BN25-W","Byford U-Beam Stage-2 Casting Checklist BN23-W"
"d2bb0bf7-bf5f-4c64-8ed8-d049b08ef193","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-43 BN23-W and BN25-W","Byford U-Beam Stage-1 Casting BN25-W"
"c5e0c386-f78c-4535-a064-f34457a448f2","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-43 BN23-W and BN25-W","Byford U-Beam Stage-2 Casting Checklist BN25-W"
"28779bb6-5a47-4b8b-9a91-399c921d4a93","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-44 BN25-E and BN25-CE"
"527f663e-ce55-40e4-b6dd-555576378167","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-44 BN25-E and BN25-CE","Byford U-Beam Stage-1 Casting BN25-E"
"664f5812-9389-4c52-97c5-30a57ee85b9e","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-44 BN25-E and BN25-CE","Byford U-Beam Stage-2 Casting Checklist BN25-E"
"a6ced178-049a-4db0-8843-53e5b6553f4e","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-44 BN25-E and BN25-CE","Byford U-Beam Stage-1 Casting BN25-CE"
"3f1f02e3-5186-45e2-b080-4bc4630e5b30","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-44 BN25-E and BN25-CE","Byford U-Beam Stage-2 Casting Checklist BN25-CE"
"e7f04bdd-190e-47b9-815b-75f21e40fe61","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-45 BN25-CW and BN23-CW"
"e914a550-620b-45a4-867d-d41f7fcd7939","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-45 BN25-CW and BN23-CW","Byford U-Beam Stage-1 Casting BN25-CW"
"fff178d6-0949-4b92-8fb8-6c3023f914fa","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-45 BN25-CW and BN23-CW","Byford U-Beam Stage-2 Casting Checklist BN25-CW"
"47fd471e-2e4d-4f9f-b604-700a6c65cb18","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-45 BN25-CW and BN23-CW","Byford U-Beam Stage-1 Casting BN23-CW"
"4620d398-5e25-4409-b1e7-1e57c1587205","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-45 BN25-CW and BN23-CW","Byford U-Beam Stage-2 Casting Checklist BN23-CW"
"8c4411f0-0e5e-40e9-97be-b20d8dfdba41","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-46 BN24-CW"
"128863f7-3d32-4221-b5e5-c3cb195fa947","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-46 BN24-CW","Byford U-Beam Stage-1 Casting BN24-CW"
"34ffd2e8-e9af-4c99-8f97-b304766b5aea","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-46 BN24-CW","Byford U-Beam Stage-2 Casting Checklist BN24-CW"
"ede40008-1723-4b36-b8da-42b60de7b454","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-47 BN16-E and BN15-E"
"30ef0c1e-91f6-4420-a37c-ac62b2f61141","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-47 BN16-E and BN15-E","Byford U-Beam Stage-1 Casting BN16-E"
"3c39e791-b9a1-4c0f-a424-51cd76e76067","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-47 BN16-E and BN15-E","Byford U-Beam Stage-2 Casting Checklist BN16-E"
"45edf821-4149-4d0a-8f80-4f51bef3b136","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-47 BN16-E and BN15-E","Byford U-Beam Stage-1 Casting BN15-E"
"be9f204d-0cbe-40c6-9806-8a540e4a4067","","work-in-progress","Byford U-Beam Stage-2 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-47 BN16-E and BN15-E","Byford U-Beam Stage-2 Casting Checklist BN15-E"
"4394a9be-2a6d-4141-950d-52ea3dc80fde","","work-in-progress","","folder","TRUE","FALSE","Site QA","Cast-48 BN22-E and BN26-E"
"69f8b64c-c392-4743-91ca-0c76da5e6ae1","","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Cast-48 BN22-E and BN26-E","Byford U-Beam Stage-1 Casting BN22-E"
