Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
Overall Progress,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building North - Fitout - Level 2,dynamic,Level 2,Fitout,Building North,Site QA,,,,,
,,Building North - Fitout - Level 3,dynamic,Level 3,Fitout,Building North,Site QA,,,,,
,,Building North - Fitout - Level 4,grouping,Building North - Fitout - Level 4,,,,,,,,
,,201-400L6 Lobby,,201-400L6 Lobby,Level 4,Fitout,Building North,Site QA,,,,
,,201-400L7 Lobby,,201-400L7 Lobby,Level 4,Fitout,Building North,Site QA,,,,
,,201-460 Riser 7,,201-460 Riser 7,Level 4,Fitout,Building North,Site QA,,,,
,,201-463 Materials Workshop,,201-463 Materials Workshop,Level 4,Fitout,Building North,Site QA,,,,
,,201-478 Riser 9,,201-478 Riser 9,Level 4,Fitout,Building North,Site QA,,,,
,,201-479 Food Tech,,201-479 Food Tech,Level 4,Fitout,Building North,Site QA,,,,
,,201-479B ST,,201-479B ST,Level 4,Fitout,Building North,Site QA,,,,
,,201-496B Riser 8,,201-496B Riser 8,Level 4,Fitout,Building North,Site QA,,,,
,,201-400C10 CIRCULATION,,201-400C10 CIRCULATION,Level 4,Fitout,Building North,Site QA,,,,
,,201-400C11 CIRCULATION,,201-400C11 CIRCULATION,Level 4,Fitout,Building North,Site QA,,,,
,,201-465 Visual Arts & Technology Teaching,,201-465 Visual Arts & Technology Teaching,Level 4,Fitout,Building North,Site QA,,,,
,,201-471 SCI HUB,,201-471 SCI HUB,Level 4,Fitout,Building North,Site QA,,,,
,,201-471A Dry Prep,,201-471A Dry Prep,Level 4,Fitout,Building North,Site QA,,,,
,,201-471B Wet Prep,,201-471B Wet Prep,Level 4,Fitout,Building North,Site QA,,,,
,,201-473 Café BOH,,201-473 Café BOH,Level 4,Fitout,Building North,Site QA,,,,
,,201-473B Office,,201-473B Office,Level 4,Fitout,Building North,Site QA,,,,
,,201-477 Technology Teaching,,201-477 Technology Teaching,Level 4,Fitout,Building North,Site QA,,,,
,,201-479A W/M,,201-479A W/M,Level 4,Fitout,Building North,Site QA,,,,
,,201-479C Pantry,,201-479C Pantry,Level 4,Fitout,Building North,Site QA,,,,
,,201-490 DB,,201-490 DB,Level 4,Fitout,Building North,Site QA,,,,
,,201-490A COMMS,,201-490A COMMS,Level 4,Fitout,Building North,Site QA,,,,
,,201-496A AV C/BD,,201-496A AV C/BD,Level 4,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 4 - Store,dynamic,Store,Level 4,Fitout,Building North,Site QA,,,,
,,Building North - Fitout - Level 5,grouping,Building North - Fitout - Level 5,,,,,,,,
,,201-500C9 Circulation,,201-500C9 Circulation,Level 5,Fitout,Building North,Site QA,,,,
,,201-500L4 Lobby,,201-500L4 Lobby,Level 5,Fitout,Building North,Site QA,,,,
,,201-500L5 Lobby,,201-500L5 Lobby,Level 5,Fitout,Building North,Site QA,,,,
,,201-580 Print,,201-580 Print,Level 5,Fitout,Building North,Site QA,,,,
,,201-598 Waiting,,201-598 Waiting,Level 5,Fitout,Building North,Site QA,,,,
,,201-500C10 Circulation,,201-500C10 Circulation,Level 5,Fitout,Building North,Site QA,,,,
,,201-500C8 Circulation,,201-500C8 Circulation,Level 5,Fitout,Building North,Site QA,,,,
,,201-500S6 Stair 6,,201-500S6 Stair 6,Level 5,Fitout,Building North,Site QA,,,,
,,201-560 Riser 7,,201-560 Riser 7,Level 5,Fitout,Building North,Site QA,,,,
,,201-568 Breakout,,201-568 Breakout,Level 5,Fitout,Building North,Site QA,,,,
,,201-568A Riser 8,,201-568A Riser 8,Level 5,Fitout,Building North,Site QA,,,,
,,201-578 Riser 9,,201-578 Riser 9,Level 5,Fitout,Building North,Site QA,,,,
,,201-581 Store,,201-581 Store,Level 5,Fitout,Building North,Site QA,,,,
,,201-582 One Button,,201-582 One Button,Level 5,Fitout,Building North,Site QA,,,,
,,201-584 PGR,,201-584 PGR,Level 5,Fitout,Building North,Site QA,,,,
