"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Data Outlets","",,,0,"Yes","Data Outlets","216a423f-f3e4-4cc0-a60d-a6e489905437"
"checkpoint-status",,"","checkpoint","Containment Installed"
"checkpoint-status",,"","checkpoint","First Fix Cable Install"
"checkpoint-status",,"","checkpoint","Flushboxes Installed"
"checkpoint-status",,"","checkpoint","Chief Wall Box Installed"
"checkpoint-status",,"","checkpoint","Second Fix Termination"
"checkpoint-status",,"","checkpoint","Faceplates Installed"
"checkpoint-status",,"","checkpoint","Labelled"
"checkpoint-status",,"","checkpoint","Tested"

"checklist-flat",,"","checklist","No QA in this room","",,,2,"Yes","No QA in this room","7ea74ef5-4e13-4717-ad7a-d2f389c38170"
"checkpoint-status",,"","checkpoint","This room does not contain any QA"
"label","57f5e5e3-3088-5fdd-80c4-98eb4bb8024c","","note","Pass this checkpoint when the information below has been completed",,,
"select","0aba4be7-c503-50af-bb33-86678f464e88","DataPoint is missing 'select' values","dropdown","This room does not require any QA",,,
"select","60d09998-559d-5fbc-93e7-044d723ac350","DataPoint is missing 'select' values","dropdown","The QA for this room is captured in another room",,,
"text","34d930b5-30d1-53d1-bbfc-d2a09b1c35bc","","textbox","Enter room number where QA can be located",,,

"checklist-flat",,"","checklist","Backbone Installation","",,,11,"Yes","Backbone Installation","9ba4ebe8-f8e0-49a8-b1ad-8038abd3605d"
"checkpoint-status",,"","checkpoint","Om4 Fiber Installed"
"checkpoint-status",,"","checkpoint","Os2 Fiber Installed"
"checkpoint-status",,"","checkpoint","Cat6A Installed"
"checkpoint-status",,"","checkpoint","Om4 Terminated"
"checkpoint-status",,"","checkpoint","Os2 Terminated"
"checkpoint-status",,"","checkpoint","Cat6A Terminated"
"checkpoint-status",,"","checkpoint","Labelled"
"checkpoint-status",,"","checkpoint","Tested"

"checklist-flat",,"","checklist","Data Cabinets","",,,6,"Yes","Data Cabinets","c939aa02-6a17-4f57-ac13-ea07f42b7443"
"checkpoint-status",,"","checkpoint","Containment Installed"
"checkpoint-status",,"","checkpoint","Comms Room Ready"
"checkpoint-status",,"","checkpoint","Cabinets Built"
"checkpoint-status",,"","checkpoint","Cabinet Vertical Cabinet Tray Installed"
"checkpoint-status",,"","checkpoint","Cabinets Bolted Down"
"checkpoint-status",,"","checkpoint","Seismic Bracing Set Up"
"checkpoint-status",,"","checkpoint","Cabinets Earthed"

"checklist-flat",,"","checklist","AV Equipment","",,,24,"Yes","AV Equipment","e3e3cadd-d772-4c02-b53d-c119be093789"
"checkpoint-status",,"","checkpoint","Bodet Clocks Installed"
"checkpoint-status",,"","checkpoint","Screen Techics Equipment Installed"
"checkpoint-status",,"","checkpoint","Chief Pole Products Installed"
"checkpoint-status",,"","checkpoint","Av Wall Conduits Installed"
"checkpoint-status",,"","checkpoint","Wall Boxes Installed"
"checkpoint-status",,"","checkpoint","Labelled"

"checklist-flat",,"","checklist","Av Data Cabling","",,,238,"Yes","Av Data Cabling","e89613d6-f6de-4509-9aad-ef4913360b3c"
"checkpoint-status",,"","checkpoint","Containment Installed"
"checkpoint-status",,"","checkpoint","First Fix Cable Install"
"checkpoint-status",,"","checkpoint","Flushboxes Installed"
"checkpoint-status",,"","checkpoint","Chief Wall Box Installed"
"checkpoint-status",,"","checkpoint","Second Fix Termination"
"checkpoint-status",,"","checkpoint","Faceplates Installed"
"checkpoint-status",,"","checkpoint","Labelled"
"checkpoint-status",,"","checkpoint","Tested"

"checklist-flat",,"","checklist","","",,,1,"No",,"6009722b2ecc7c2165d2df50834e37d3257f6d3ef8da3aa14975f094bf2ab713"
"checkpoint-status",,"","checkpoint","Pre wired"
"checkpoint-status",,"","checkpoint","Cables Located"
"checkpoint-status",,"","checkpoint","First Fix Complete"
"checkpoint-status",,"","checkpoint","Ready for second fix"
"checkpoint-status",,"","checkpoint","Second Fix complete"
"checkpoint-status",,"","checkpoint","Pre commissioned"
"checkpoint-status",,"","checkpoint","Report sent to client"

