"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Building East","dynamic","delivery qa","building east"
,,"Building North","dynamic","delivery qa","building north"
,,"Atrium","dynamic","atrium","delivery qa"
,"Columns"
,,"AHU",,"ahu"
,,"Fans",,"fans"
,,"FCU",,"fcu"
,,"Chilled Beams",,"chilled beams"
,,"Chiller",,"chiller"
,,"Pump",,"pump"
,,"VRF",,"vrf"
,,"VAV",,"vav"
,,"Fire",,"fire"
,,"Coil",,"coil"
,,"Humid",,"humid"

"Pre-commissioning"
,"Scope",,,"pre-commissioning qa"
,"Rows"
,,"Building East - Level 1 - AHU","dynamic","building east","level 1","pre-commissioning qa","ahu"
,,"Building East - Level 1 - Fans","dynamic","building east","level 1","pre-commissioning qa","fans"
,,"Building East - Level 1 - Chilled Beams","dynamic","building east","chilled beams","level 1","pre-commissioning qa"
,,"Building East - Level 1 - VAV","dynamic","vav","building east","level 1","pre-commissioning qa"
,,"Building East - Level 1 - Pump","dynamic","building east","pump","level 1","pre-commissioning qa"
,,"Building East - Level 1 - VRF","dynamic","building east","vrf","level 1","pre-commissioning qa"
,,"Building East - Level 1 - CAV","dynamic","cav","building east","level 1","pre-commissioning qa"
,,"Building East - Level 2 - Fans","dynamic","building east","pre-commissioning qa","level 2","fans"
,,"Building East - Level 2 - Chilled Beams","dynamic","building east","chilled beams","pre-commissioning qa","level 2"
,,"Building East - Level 2 - VAV","dynamic","vav","building east","pre-commissioning qa","level 2"
,,"Building East - Level 2 - VRF","dynamic","building east","vrf","pre-commissioning qa","level 2"
,,"Building East - Level 2 - CAV","dynamic","cav","building east","pre-commissioning qa","level 2"
,,"Building East - Level 3 - Fans","dynamic","building east","pre-commissioning qa","fans","level 3"
,,"Building East - Level 3 - VAV","dynamic","vav","building east","pre-commissioning qa","level 3"
,,"Building East - Level 3 - VRF","dynamic","building east","vrf","pre-commissioning qa","level 3"
,,"Building East - Level 3 - CAV","dynamic","cav","building east","pre-commissioning qa","level 3"
,,"Building East - Level 4 - Fans","dynamic","level 4","building east","pre-commissioning qa","fans"
,,"Building East - Level 4 - VAV","dynamic","level 4","vav","building east","pre-commissioning qa"
,,"Building East - Level 4 - CAV","dynamic","level 4","cav","building east","pre-commissioning qa"
,,"Building East - Level 4 - VRF","dynamic","level 4","building east","vrf","pre-commissioning qa"
,,"Building East - Level 5 - Fans","dynamic","level 5","building east","pre-commissioning qa","fans"
,,"Building East - Level 5 - Chilled Beams","dynamic","level 5","building east","chilled beams","pre-commissioning qa"
,,"Building East - Level 5 - VAV","dynamic","level 5","vav","building east","pre-commissioning qa"
,,"Building East - Level 5 - Pump","dynamic","level 5","building east","pump","pre-commissioning qa"
,,"Building East - Level 5 - VRF","dynamic","level 5","building east","vrf","pre-commissioning qa"
