Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,
b554f0cf-6012-41f9-a4fb-0c17113e13ca,,checklist-flat,work-in-progress,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 5,Level 5 - Zone A,201-526 MEETING,Data Outlets ( General Data Cables),
1423c497-071b-499d-801d-29d5db43706e,,checklist-flat,work-in-progress,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,201-617 SOP,Data Outlets ( General Data Cables),
8e6cb1ad-2896-4dc5-bb1a-26929e45af3f,,checklist-flat,work-in-progress,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,201-626 Meeting,Data Outlets ( General Data Cables),
bd9c8bc6-9e3e-41f0-ac65-e62dc704c2c8,,checklist-flat,work-in-progress,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,201-630 Meeting,Data Outlets ( General Data Cables),
bf74c19a-6eb9-4bd9-a4d1-ac0191c28f9b,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,201-633 PRINT,Data Outlets ( General Data Cables),
db05e159-7c4d-4d57-93a7-b68b073d1ed3,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-622 Office,Data Outlets ( General Data Cables)
70e4e21d-7cc9-4ec4-a84f-3fdc02bdc83a,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-623 Office,Data Outlets ( General Data Cables)
29b6c56e-4fe0-4f51-996d-be7dbdbc45c6,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-635 Office,Data Outlets ( General Data Cables)
b6f3c491-809b-4a68-8ae0-2a56256ceea7,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-636 Office,Data Outlets ( General Data Cables)
0db37382-aa3f-4790-8cf9-910ed8f1d081,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-637 Office,Data Outlets ( General Data Cables)
f8edd5e5-5417-4f2c-b98b-75e61a0a1231,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-638 Office,Data Outlets ( General Data Cables)
7211ffb5-eba7-4666-9210-3878482993a7,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-639 Office,Data Outlets ( General Data Cables)
ebe13d90-e6fe-48ae-b2a8-82e96dfbe762,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-640 Office,Data Outlets ( General Data Cables)
46f33e54-8993-4184-adec-68d9096ca029,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-641 Office,Data Outlets ( General Data Cables)
702b09e4-089d-4ed7-bdba-7e1f8911afd2,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-642 Office,Data Outlets ( General Data Cables)
7a4e6212-3473-42be-ba9f-9bc62c1ebb1f,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-643 Office,Data Outlets ( General Data Cables)
876d73f6-56b4-4327-b700-24d3dac3aa3c,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-644 Office,Data Outlets ( General Data Cables)
82df4918-3919-4f29-b2a9-814509f7baaf,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-645 Office,Data Outlets ( General Data Cables)
0eed8e60-c88d-4264-8360-b5b90cfead51,,checklist-flat,pass,Av Data Cabling,checklist-flat,FALSE,FALSE,Site QA,Building East,Fitout,Level 6,Level 6 - Zone A,Office,201-646 Office,Data Outlets ( General Data Cables)
