Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
ad21076b-dc35-4720-b185-c2c307750a5d,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,AHUs,CRL-ITR-008 - AHU Installation (AOT-WEL3-ASS-AHU-001),,,,,
9c488cc7-9c85-4732-8490-536a55045470,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEP-FAN-001),,,,,
23d699dd-20a8-45d1-b512-a10349d06a81,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEP-FAN-002),,,,,
549e149b-9c4b-41a9-a6fd-8a3959724b3f,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEB-FAN-001),,,,,
e686d7e9-dbca-48f8-8455-7cc117e056e8,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEB-FAN-002),,,,,
c5ada876-3ed5-49aa-933a-94489cb015d6,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CCRL-ITR-004 - Fans (AOT-WEL3-AEU-FAN-001),,,,,
7f1fb7f6-9c3b-49aa-b01d-e7a4e1b6e1dd,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEU-FAN-002),,,,,
7f140a3a-2890-4b52-9b86-767ee7886ee2,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AET-FAN-001),,,,,
8598295f-ed45-46dc-a193-b3c0c2a37546,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-AEE-FAN-001),,,,,
b8aa82aa-1b01-4b3a-a68d-b7d15df94a34,,checklist-sectioned,not-started,SYS - CRL-ITR-004 - Fans (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L3 Plant,Drawing No. 140739 (Ducting) Zone 11B,Fans,CRL-ITR-004 - Fans (AOT-WEL3-SPR-FAN-001),,,,,
