type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Vapro Shield SA Checklist,,,,,,,
section,Details,,,,,,,
checkpoint,Plans/ Specs followed,,,,,,,
checkpoint,Vapro shield SA wrapped minimum 70mm into each opening,,,,,,,
checkpoint,Cover opening wrap 150mm,,,,,,,
checkpoint,Correct corner overlap,,,,,,,
checkpoint,Correct edge overlap,,,,,,,
checkpoint,Next floor vertically installed minimum 150mm,,,,,,,
checkpoint,Liqui flashing around the opening,,,,,,,
checkpoint,Correct seismic detail,,,,,,,
checkpoint,Finish & handover to next trade,,,,,,,
