"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cad5c2cf-2bbc-471d-9b0f-29c27bd4145e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"22c6b3a4-9a68-4edf-be71-587f5a4ea06f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour1"
"a9330dbb-e680-4be8-af5c-3ee83f4e6f7c","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour1","Suspended Slab"
"1b8384ba-b146-4c7e-845d-6ca0125587bd","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour1","Dincel Walls"
"d5da6fbc-06f6-4f99-bdc6-bd3d9d3a9c36","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour2"
"a01404e1-6d25-487d-8d37-a8778a1db7c8","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour2","Suspended Slab"
"f8f3e84b-1cbe-462c-96d7-bb18e6aff9a6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour2","Dincel Walls"
"e6fca118-5b45-474e-80e1-467e7d1ac1c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour3"
"3376a98b-f2a3-4a66-b7ef-b26f853b5d69","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour3","Suspended Slab"
"f1c53a1e-566b-4c9d-8415-20d136d18639","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour3","Dincel Walls"
"2ef85c05-fc4b-485f-8bc5-2e214fcba749","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour4"
"cabf5485-1d33-447b-948f-1e13ca051761","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour4","Suspended Slab"
"a8ea59db-593e-4aed-a4ae-2ac14bcbe921","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour4","Dincel Walls"
"e2163ba8-86d3-4ad9-8896-e63209a0ac87","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour5"
"79f9b56e-e5f9-4f7f-9c04-f798c2902f04","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour5","Suspended Slab"
"f3a07217-b492-4d7f-908c-389252445510","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour5","Dincel Walls"
"31aaaf29-2897-46b7-8063-c6a0103b0e52","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour6"
"e4ae9ddf-09b7-4c40-9a04-1e13349217af","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour6","Suspended Slab"
"b0f400d1-1cbb-4e6e-9445-c611a5bc28eb","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour6","Dincel Walls"
"7ab0959c-6119-4881-8ab2-129742211af4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour7"
"fff836e6-cb34-4862-9a46-4cd489970187","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour7","Suspended Slab"
"84412382-9dcd-42c9-b8bf-4b6a20e5f9c3","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour7","Dincel Walls"
"e43f415f-375c-48f4-9caf-3a52672c7f09","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour8"
"35bed964-3fb0-4d49-886b-86a0bc852477","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour8","Suspended Slab"
"7b717db8-017a-4ed6-a95c-12f6e61fa2b2","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour8","Dincel Walls"
"a5313524-30ce-4bf3-9958-8f5b8b1f3327","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour9"
"c6e21ef8-8d4f-4215-bf98-12070fcc1e99","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour9","Suspended Slab"
"cdb54748-9d42-4b8f-a720-be7491fd9b5b","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour9","Dincel Walls"
"46418659-280e-41f3-82be-9beb6e2c88ca","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour10"
"39714631-bcdc-4bc9-937f-2641afbd99db","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour10","Suspended Slab"
"45be20a5-e2a8-4fee-86c3-14e880fc67a1","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour10","Dincel Walls"
"6a632445-7844-4b64-8df9-36804565d7a4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour11"
"f0eb6f90-45a8-4f9b-9eed-c8d10b66cf60","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour11","Suspended Slab"
"f0da5b13-8572-4b8c-b400-1d64913ea9a3","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour11","Dincel Walls"
"6674b480-6469-48ad-b696-ddb28040ced1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour12"
"4b5a1d8f-6ca2-4422-8151-0738ed074fcc","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour12","Suspended Slab"
"ebbb473f-18a5-4f3b-8dcd-dbb5a811c933","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour12","Dincel Walls"
"d1db3973-d12b-4751-914c-ecdca3573d79","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pour13"
"13acb805-ff1a-4c61-9e08-1375bf840ff4","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour13","Suspended Slab"
"03d29d09-a02c-4f60-b010-82ea703d30ba","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Pour13","Dincel Walls"
