type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Kitchen Joinery QA,,,,,,
section,Joinery install,,,,,,
checkpoint,Area ready for joinery install,,,,,,
checkpoint,Joinery on site and free from damage,,,,,,
checkpoint,Kitchen install - Area left tidy - Photos,,,,,,
bool,All units installed,,,,,,
bool,No delivery or install damage,,,,,,
checkpoint,Kicks installed and Silicone complete,,,,,,
section,Handover,,,,,,
checkpoint,Final Handover,,,,,,
holdpoint,Final Handover - Request Signoff,,,,,,
,,,,,,,
checklist,Laundry Joinery QA,,,,,,
section,Joinery install,,,,,,
checkpoint,Area ready for joinery install,,,,,,
checkpoint,Joinery on site and free from damage,,,,,,
checkpoint,Laundry install - Area left tidy - Photos,,,,,,
bool,Unit installed,,,,,,
bool,Shelf installed,,,,,,
bool,No delivery or install damage,,,,,,
checkpoint,Kick installed and Silicone complete,,,,,,
section,Handover,,,,,,
checkpoint,Final Handover,,,,,,
holdpoint,Final Handover - Request Signoff,,,,,,
,,,,,,,
,,,,,,,
checklist,Storage and Robe Shelving QA,,,,,,
section,Joinery install,,,,,,
checkpoint,Area ready for joinery install,,,,,,
checkpoint,Joinery on site and free from damage,,,,,,
checkpoint,Storage Shelving install - Area left tidy - Photos,,,,,,
bool,Storage Shelves installed,,,,,,
bool,Robe Shelves installed,,,,,,
bool,No delivery or install damage,,,,,,
checkpoint,Silicone complete,,,,,,
section,Handover,,,,,,
checkpoint,Final Handover,,,,,,
holdpoint,Final Handover - Request Signoff,,,,,,
