"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16a2782d-ee4f-4d33-b468-deb50ecda756","","work-in-progress","","folder","TRUE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks"
"712a7704-72cd-46e7-922a-c3516d45d690","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-001 - Cooling Water Tower"
"ec999a82-d8e9-4307-9556-0e5101a16519","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-002 - R5401/C5401"
"334f911d-5b98-4d43-b84b-0318c5fdf435","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-003 - C5402/C5404"
"6fd34fc2-c748-4218-8e9f-0734ad2e1241","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-004 - PAU01"
"0134062f-6571-441f-9a1f-30e5a6a5495d","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-005 - PAU02"
"556df095-519c-4611-9f1d-89ad02068b63","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-006 - PAU03"
"f9ca61ce-fa49-4580-a5ae-d13fbb0d2f12","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-007 - CWT Stair Case"
"787cfa0a-5892-4612-a132-59e624f055f2","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-008 - PAR01"
"6044d70c-12a6-4252-8531-e583a74aca16","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-009 - PAR02"
"e37b280e-5fa4-4714-b422-69678488180b","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-010 - POC54"
"52d14ed4-c8e8-4b1e-b7a7-0b54fa29eeeb","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-011 - K5401A/B (incl. Lube Oil, Water Console)"
"ac37171f-3abc-4d7f-8119-72fb9ea86ea6","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-012 - PAU-04"
"9fb7eeb3-ef0e-48e5-b81d-24e223c1f56e","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-013 - R5402 & R5404"
"c0383f36-f1a8-43cf-844c-d491c46a8bbf","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-014 - F5451 Pump Footing"
"f38d28a2-3ff1-4855-93b1-5778ab731de8","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-015 - Firewall"
"8ff42d93-fa79-40ec-b8fb-a9e03c30f15a","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-016 - Substation"
"b9556c74-44b2-4c54-952c-fdd33c401e72","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-017 - Pit 101-CB-001"
"f9bc0da8-b605-4d04-9e2f-40b6e7a999e7","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-018 - Pit 101-CB-007"
"83fd8379-68a1-47b3-b0bf-285bec6bdd84","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-019 - 101-CB-003"
"42b057ea-30e5-48a9-b32b-5a538248f714","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-020 - Pit 101-CB-004"
"9f42ad9b-26c8-45b7-b3d2-43029feebf81","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-024 - Pit 101-CB-010"
"94e29ae8-970c-4b00-aaa7-f6fecb3de456","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-025 - East GRE Subgrade"
"1277a7e0-5e8d-4a94-8524-0ce3151c531e","","work-in-progress","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-026 - CWT Pavements Subgrade"
"0f2fae5e-4874-4a07-86e3-6cf4e6163050","","not-started","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-027 - CWA111 - CONCRETE PAVEMENT AREA"
"e151c8b8-83a8-42e1-b8c5-5dd216673caa","","not-started","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-028 - CWA-114 - CONCRETE PAVEMENT AREA"
"101b7979-ed14-4b71-a25d-2265b8435fed","","not-started","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-029 - CWA113 - CONCRETE PAVEMENT AREA"
"544a0d04-b9c6-43d2-a17d-026fb015a145","","not-started","INF-HSEQ CC0398-ITP-002 Bulk Earthworks REV D","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-002 Bulk Earthworks","VIVA-BEW-002-030 - CWA112 - CONCRETE PAVEMENT AREA"
"fc651388-351c-4a91-a2d3-a9d2bb1c206d","","work-in-progress","","folder","TRUE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction"
"e932dd82-f0a5-49ea-ac00-085a9ecbdbbd","","work-in-progress","2b601689dd20acc00fdf54a7bd896d3573e061690635d038b11c372942196739","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-001 - East GRE"
"f6bc5ff4-b71e-46aa-a16c-090274169fe7","","work-in-progress","2b601689dd20acc00fdf54a7bd896d3573e061690635d038b11c372942196739","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-002 - Cooling Water Tower"
"42e5e5e2-f2fb-4446-b5ec-27ada90db423","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-003 - 175mm Pavement - Pour 1"
"61134578-d6b8-4276-b7a7-a40c988b626c","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-004 - 175mm Pavement - Pour 2"
"d7c7a609-0a59-4563-be8e-25006ee6306e","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-005 - 175mm Pavement - Pour 3"
"3560e90f-6c7b-4a3d-85c7-23e2e26bf135","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-006 - 175mm Pavement - Pour 4"
"339fb4be-b3c8-4e51-80fb-0daf14ebeb5e","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-007 - 175mm Pavement - Pour 5"
"de5dd0fc-e5e7-4d07-b632-148032bf2127","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-008 - 175mm Pavement - Pour 6"
"710c076c-602f-4b61-854e-48f1839910b6","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-009 - 175mm Pavement - Pour 7"
"67d2476d-1b60-4ecc-a5f6-959e30e05515","","not-started","INF-HSEQ CC0398-ITP-003 Base Pavement Construction Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-003 Base Pavement Construction","VIVA-BPV-003-010 - 175mm Pavement - Pour 8"
"deda5346-3509-4829-ae32-f7c8573e4797","","work-in-progress","","folder","TRUE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation"
"b5039268-42e5-4fea-a74b-92cfd1e316eb","","work-in-progress","INF-HSEQ CC0398-ITP-014 Electrical Conduit Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation","VIVA-E&I-011-001 - Substation"
"e77cbb46-1b34-42c1-916c-20c9c5bcaa2e","","work-in-progress","INF-HSEQ CC0398-ITP-014 Electrical Conduit Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation","VIVA-E&I-011-002 - CWT E&I"
"3b65b96d-6168-484a-a1f1-973a99ca324c","","work-in-progress","INF-HSEQ CC0398-ITP-014 Electrical Conduit Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation","VIVA-E&I-011-003 - Eastern Combined Trench"
"1a3f018a-37f8-423a-a1ef-511c2be6fee0","","work-in-progress","INF-HSEQ CC0398-ITP-014 Electrical Conduit Installation Rev 1","checklist","FALSE","FALSE","INF-HSEQ CC0398-ITP-011 Electrical Pit and Conduit Installation","VIVA-E&I-011-004 - Duct Bank"
