"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8da3cfc8-c89e-4860-815f-db72f252a215","","folder-normal","","","step","TRUE","FALSE","Site QA"
"fe0379b4-b40e-496f-afe8-13052e07c634","","folder-normal","","","step","TRUE","FALSE","Site QA","Manufacture"
"a38a15a6-3ade-493a-a812-7b98c025cacd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Site QA","Manufacture","LTE Structures-Q006"
"fe860b38-6945-40d0-a2ee-ed39c8236a1f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Site QA","Manufacture","LTE Structures-Q008"
"26c0064f-d7ba-4a46-ac2d-3abd98e869a7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Site QA","Manufacture","LTE Structures-Q009"
"0141895f-602d-4c1e-9c72-2ec489cac042","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Site QA","Manufacture","LTE Structures-Q010"
"8e5db7da-16b8-403c-9416-ec7eb09db5d9","","folder-normal","","","step","TRUE","FALSE","Site QA","Installation"
"9852f56a-fa5e-40a7-8575-d99802ae9c4e","","checklist-sectioned","","Installation Checklist","checklist","FALSE","FALSE","Site QA","Installation","LTE Structures-Q006"
"7a1c5278-33ce-4121-9041-5be74f4a0b50","","checklist-sectioned","","Installation Checklist","checklist","FALSE","FALSE","Site QA","Installation","LTE Structures-Q008"
"5ce584f5-3904-4d45-922a-42a3c85d1eb9","","checklist-sectioned","","Installation Checklist","checklist","FALSE","FALSE","Site QA","Installation","LTE Structures-Q009"
"ac377aba-6ad5-4c1a-b1e5-ca2cee5b09fa","","checklist-sectioned","","Installation Checklist","checklist","FALSE","FALSE","Site QA","Installation","LTE Structures-Q010"
