Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Building North Interior Fitout Progress,,,,,,,,,
,Scope,,,Building North,,,,,
,Rows,,,,,,,,
,,Level 2,grouping,Level 2,,,,,
,,stair 6,,stair 6,Level 2,Internal Fitout,Building North,,
,,plantroom,,plantroom,Level 2,Internal Fitout,Building North,,
,,pool teaching,,pool teaching,Level 2,Internal Fitout,Building North,,
,,Level 3,grouping,Level 3,,,,,
,,CALS Small,,CALS Small,Level 3,Internal Fitout,Building North,,
,,CALS Large x2,,CALS Large x2,Level 3,Internal Fitout,Building North,,
,,Riser 7,,Riser 7,Level 3,Internal Fitout,Building North,,
,,Breakout,,Breakout,Level 3,Internal Fitout,Building North,,
,,Virtual learning,,Virtual learning,Level 3,Internal Fitout,Building North,,
,,Stair 6 + lobby,,Stair 6 + lobby,Level 3,Internal Fitout,Building North,,
,,Comms,,Comms,Level 3,Internal Fitout,Building North,,
,,Riser 9,,Riser 9,Level 3,Internal Fitout,Building North,,
,,Male WC,,Male WC,Level 3,Internal Fitout,Building North,,
,,Female WC,,Female WC,Level 3,Internal Fitout,Building North,,
,,Circulation,,Circulation,Level 3,Internal Fitout,Building North,,
,,Lecture Theatre+comms,,Lecture Theatre+comms,Level 3,Internal Fitout,Building North,,
,,DB,,DB,Level 3,Internal Fitout,Building North,,
,,Level 4,grouping,Level 4,,,,,
,,Circulation,,Circulation,Level 4,Internal Fitout,Building North,,
,,Materials workshop,,Materials workshop,Level 4,Internal Fitout,Building North,,
,,Riser 7,,Riser 7,Level 4,Internal Fitout,Building North,,
,,Store,,Store,Level 4,Internal Fitout,Building North,,
,,Dry prep,,Dry prep,Level 4,Internal Fitout,Building North,,
,,Wet prep,,Wet prep,Level 4,Internal Fitout,Building North,,
,,Riser 8,,Riser 8,Level 4,Internal Fitout,Building North,,
,,Technology teaching,,Technology teaching,Level 4,Internal Fitout,Building North,,
,,Café boh,,Café boh,Level 4,Internal Fitout,Building North,,
,,Food tech,,Food tech,Level 4,Internal Fitout,Building North,,
,,Riser 9,,Riser 9,Level 4,Internal Fitout,Building North,,
,,Comms + db,,Comms + db,Level 4,Internal Fitout,Building North,,
,,Stair 6 + lobby,,Stair 6 + lobby,Level 4,Internal Fitout,Building North,,
,,Visual arts,,Visual arts,Level 4,Internal Fitout,Building North,,
,,East store ,,East store ,Level 4,Internal Fitout,Building North,,
,,Level 5,grouping,Level 5,,,,,
,,201-500C9 Circulation,,201-500C9 Circulation,Level 5,Internal Fitout,Building North,,
,,201-500L4 Lobby,,201-500L4 Lobby,Level 5,Internal Fitout,Building North,,
,,201-580 Print,,201-580 Print,Level 5,Internal Fitout,Building North,,
,,201-598 Waiting,,201-598 Waiting,Level 5,Internal Fitout,Building North,,
,,201-593 Consult,,201-593 Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-594 LRG Consult,,201-594 LRG Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-595 Consult,,201-595 Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-596 LRG Consult,,201-596 LRG Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-597 Consult,,201-597 Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-599 Consult,,201-599 Consult,Consult,Level 5,Internal Fitout,Building North,
,,201-562 Office,,201-562 Office,Office,Level 5,Internal Fitout,Building North,
,,201-564 Office,,201-564 Office,Office,Level 5,Internal Fitout,Building North,
,,201-566 Office,,201-566 Office,Office,Level 5,Internal Fitout,Building North,
,,201-569 Office,,201-569 Office,Office,Level 5,Internal Fitout,Building North,
