"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b0d08a51-94eb-482c-bc6f-30b84cfb01f7","","work-in-progress","","folder","TRUE","FALSE","ZONE 3"
"bb71c109-fcf5-446f-9a8c-1a33a6a22178","","work-in-progress","","folder","TRUE","FALSE","ZONE 3","GF"
"81d902cd-b840-43d5-b007-4e978c5cf552","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","2A-J-08"
"4b9b70ed-7fa8-4a3b-9f33-bc8bd9d33d47","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","2A-J-09"
"0fffe052-9996-4168-aa1b-b7c9076cff07","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","2A-J-10"
"461a56bf-e60c-4feb-97c9-2c232ad807c2","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-01"
"1c34e53b-c744-446e-8d1e-131c50c0dd75","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-02"
"d548152c-8b16-45ff-ac92-d194fe4d5e3a","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-03"
"c57dbe0b-0494-4ca7-a592-000fc6f25f6a","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-04"
"9ee1f0b2-ea05-40ca-896f-5a2984c9f673","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-05"
"82d0a6a2-79bb-41d3-b75c-25b1d22604e2","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-06"
"c5d7cb9d-c089-41b3-8066-a963b3c578b7","","pass","193acc0440fc868f0965bb40fbd479ec9e0cc832a6ffc735ef7f414d67538247","checklist","FALSE","FALSE","ZONE 1","UNIT A","3A-J-07"
