"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fbb766cd-5af2-4bb3-99a2-30a573ba4c06","","not-started","","folder","TRUE","FALSE","Site QA Drainage"
"34daa6bd-2988-41a5-9ffb-67b6751ecfa7","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L"
"3c499ca6-9a88-492c-919a-dfbe4751201f","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 813"
"88ec78aa-c9a3-47b7-b7ce-abba3e8e4da1","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 813","Drainage"
"a52ba582-e31c-4a75-b557-22bc30a78f8f","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 813","Drainage","SD Install Sewer/Stormwater Drainage"
"92e5ec7a-30e0-417f-854a-b442957642cf","","not-started","SD Install Sewer/Stormwater Drainage","checklist","FALSE","FALSE","Site QA Drainage","Block L","Lot 813","Drainage","SD Install Sewer/Stormwater Drainage","SD Install Sewer/Stormwater Drainage"
"0240b19b-6dfe-4c1b-b8d1-5c81d61f2d87","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 813","Drainage","TST Test Sewer/Stormwater Drainage"
"16b0bcda-6687-4994-8fcb-63c428521cc9","","not-started","TST Test Sewer/Stormwater Drainage","checklist","FALSE","FALSE","Site QA Drainage","Block L","Lot 813","Drainage","TST Test Sewer/Stormwater Drainage","TST Test Sewer/Stormwater Drainage"
"be252a2b-d323-4ed5-9947-9973b8d5d606","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 814"
"18a6105e-73d9-41e0-9daa-723be0640ff0","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 814","Drainage"
"bb98438c-9d99-497d-a829-0e68e0aaf65f","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 814","Drainage","SD Install Sewer/Stormwater Drainage"
"67daf695-f0e7-46f9-8320-6e84322132e3","","not-started","SD Install Sewer/Stormwater Drainage","checklist","FALSE","FALSE","Site QA Drainage","Block L","Lot 814","Drainage","SD Install Sewer/Stormwater Drainage","SD Install Sewer/Stormwater Drainage"
"9a35dbdc-4b42-4721-8dd2-b4714738803a","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 814","Drainage","TST Test Sewer/Stormwater Drainage"
"343c4914-aa62-4ed0-8802-31bb689c0e52","","not-started","TST Test Sewer/Stormwater Drainage","checklist","FALSE","FALSE","Site QA Drainage","Block L","Lot 814","Drainage","TST Test Sewer/Stormwater Drainage","TST Test Sewer/Stormwater Drainage"
"012c7ab2-847a-4dce-93f2-eea77eb6f9cf","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 815"
"39441750-91f5-4879-a446-2c99d95341b6","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 815","Drainage"
"5f3e1b02-1e19-4d54-940d-5f56aabbeff8","","not-started","","folder","TRUE","FALSE","Site QA Drainage","Block L","Lot 815","Drainage","SD Install Sewer/Stormwater Drainage"
"7f175b6a-55ef-49a6-8895-0527537faec4","","not-started","SD Install Sewer/Stormwater Drainage","checklist","FALSE","FALSE","Site QA Drainage","Block L","Lot 815","Drainage","SD Install Sewer/Stormwater Drainage","SD Install Sewer/Stormwater Drainage"
