"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc7a24ab-0454-450c-9f26-732c52b85902","","folder-normal","not-started","","step","TRUE","FALSE","Emergency Lighting Test Results"
"98266093-82e2-4a55-8ffd-63ee1583e7c2","","checklist-flat","not-started","Emergency Lighting Testing Evidence","checklist-flat","FALSE","FALSE","Emergency Lighting Test Results","Emergency Lighting Testing Evidence"
"01955848-30ea-4ba9-880d-35df932878f7","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's"
"1ba555dc-dc07-4dd5-b6c0-feb94dc81838","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Install Checklist"
"ce82128d-7d96-46a8-86e5-c4e3ce04e374","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-1"
"0ab56594-746d-461a-8130-b6495e666a67","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-2"
"bf3138e6-8e7e-4f4b-bc50-a3ca875aba9c","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-3"
"2022d31c-ca73-4164-bae1-e7731b2b8bd1","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-4"
"f5e7953c-251a-4c58-b442-92be3bbbcabe","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-5"
"5cf73990-85b7-44de-adf0-f983adfab9fe","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-6"
"60e2ee65-1365-4cdc-b613-0fa2984383ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Monthly Testing"
"31321722-35aa-476d-8e88-fd949074b8dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Variations"
"b287a8fb-f099-4df9-a53b-13c8f04cc27a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Test & Tag"
"6a311af8-0e4e-4860-b96b-4adf31afa59b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks"
"6de3d352-fe8d-492d-95ec-740da73eeccc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Weekly Toolbox Talks"
"481c2799-6aa0-4eb4-8125-611081a3a109","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Daily Pre-start Toolbox Talks"
"2e0ee190-75fc-4c78-b299-204ae1c222dd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
