type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Site Works - Main Earth,,,,,,Site Works - Main Earth
checkpoint,EARTH RODS INSTALLED,,,,,,
checkpoint,EARTH PITS INSTALLED,,,,,,
checkpoint,MAIN EARTH CABLING INSTALLED AND TIED BACK TO MSB,,,,,,
checkpoint,MAIN EARTH CABLING TERMINATED AT RODS AND LABELLED,,,,,,
,,,,,,,
checklist-flat,Site Works - Underground Services,,,,,,Site Works - Underground Services
checkpoint,POWER DUCTING INSTALLED INCL MAG SLAB AND DANGER TAPE,,,,,,
checkpoint,COMMS DUCTING INSTALLED INCL DANGER TAPE,,,,,,
checkpoint,"UNDERGROUND PITS INSTALLED, LEVELLED AND DUCTING SEALED",,,,,,
checkpoint,DRAW TAPE INSTALLED AS REQUIRED,,,,,,
,,,,,,,
checklist-flat,Exterior Building - Lighting,,,,,,Exterior Building - Lighting
checkpoint,CANOPY LIGHTING PREWIRED - INCL DALI,,,,,,
checkpoint,CANOPY LIGHTING INSTALLED AND CONNECTED,,,,,,
checkpoint,EMERGENCY LIGHTING PREWIRED,,,,,,
checkpoint,EMERGENCY LIGHTING INSTALLED,,,,,,
checkpoint,FLOOD LIGHTING PREWIRED,,,,,,
checkpoint,FLOOD LIGHTING INSTALLED,,,,,,
checkpoint,LIGHTING CONTROL PREWIRED,,,,,,
checkpoint,LIGHTING CONTROL INSTALLED,,,,,,
checkpoint,SIGNAGE LIGHTING PREWIRED,,,,,,
checkpoint,SIGNAGE LIGHTING CONNECTED AND TESTED,,,,,,
,,,,,,,
checklist-flat,Security Cabling,,,,,,Security Cabling
checkpoint,SUBCONTRACTOR PREWIRE COMPLETED,,,,,,
checkpoint,CABLING IN FINAL LOCATIONS READY FOR INCUMBANT CONTRACTOR TERMINATION,,,,,,
,,,,,,,
checklist-flat,Interior - Warehouse,,,,,,Interior - Warehouse
checkpoint,CABLE TRAY INSTALLED AT HIGH LEVEL,,,,,,
checkpoint,CABLE BASKET INSTALLED AT HIGH LEVEL,,,,,,
checkpoint,CABLE TRAY DROPPERS INSTALLED ON WALL,,,,,,
checkpoint,CABLE BASKET DROPPERS INSTALLED ON WALL,,,,,,
checkpoint,BONDING COMPLETED AND CONNECTED,,,,,,
,,,,,,,
checklist-flat,Interior - Ground Floor,,,,,,Interior - Ground Floor
checkpoint,CATENARY WIRES INSTALLED,,,,,,
checkpoint,CATENARY CORRECTLY SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS TAPED AND SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS CABLE TIED AND SUPPORTED,,,,,,
checkpoint,TWIN CHANNEL TRUNKING INSTALLED,,,,,,
checkpoint,TRUNKING BONDING COMPLETED,,,,,,
,,,,,,,
checklist-flat,Interior - First Floor/Sales,,,,,,Interior - First Floor/Sales
checkpoint,CATENARY WIRES INSTALLED,,,,,,
checkpoint,CATENARY CORRECTLY SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS TAPED AND SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS CABLE TIED AND SUPPORTED,,,,,,
,,,,,,,
checklist-flat,Interior - MDF,,,,,,Interior - MDF
checkpoint,CABLE TRAY INSTALLED AT HIGH LEVEL,,,,,,
checkpoint,CABLE BASKET INSTALLED AT HIGH LEVEL,,,,,,
checkpoint,CABLE TRAY DROPPERS INSTALLED ON WALL,,,,,,
checkpoint,CABLE BASKET DROPPERS INSTALLED ON WALL,,,,,,
checkpoint,BONDING COMPLETED AND CONNECTED,,,,,,
checkpoint,CATENARY WIRES INSTALLED,,,,,,
checkpoint,CATENARY CORRECTLY SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS TAPED AND SUPPORTED,,,,,,
checkpoint,SUBCIRCUITS CABLE TIED AND SUPPORTED,,,,,,
,,,,,,,
checklist-flat,Distribution - Main Switchboard,,,,,,Distribution - Main Switchboard
checkpoint,INSTALLATION COMPLETED AND SECURELY MOUNTED,,,,,,
checkpoint,SUBMAINS TERMINATED,,,,,,
checkpoint,SUBCIRCUITS TERMINATED INCLUDING LABELLING/FERRULES TO ALL CORES,,,,,,
checkpoint,EARTHING/BONDING TERMINATED,,,,,,
checkpoint,DB SCHEDULE COMPLETED,,,,,,
checkpoint,MSB TEST SHEET COMPLETED,,,,,,
checkpoint,MAIN EARTHING TEST SHEET COMPLETED,,,,,,
checkpoint,DISTRIBUTION BOARD TEST SHEET COMPLETED,,,,,,
checkpoint,DB SCHEDULE INSTALLED,,,,,,
checkpoint,CLEAN OF ALL DEBRI AND MARKS,,,,,,
,,,,,,,
checklist-flat,Distribution - Generator,,,,,,Distribution - Generator
checkpoint,INSTALLATION COMPLETED AND SECURELY MOUNTED,,,,,,
checkpoint,SUBMAINS TERMINATED,,,,,,
checkpoint,EARTHING/BONDING TERMINATED,,,,,,
checkpoint,DISTRIBUTION BOARD TEST SHEET COMPLETED,,,,,,
checkpoint,DB SCHEDULE INSTALLED,,,,,,
checkpoint,CLEAN OF ALL DEBRI AND MARKS,,,,,,
,,,,,,,
checklist-flat,Distribution Board General,,,,,,Distribution Board General
checkpoint,INSTALLATION COMPLETED AND SECURELY MOUNTED,,,,,,
checkpoint,SUBMAINS TERMINATED,,,,,,
checkpoint,SUBCIRCUITS TERMINATED INCLUDING LABELLING/FERRULES TO ALL CORES,,,,,,
checkpoint,EARTHING/BONDING TERMINATED,,,,,,
checkpoint,DB SCHEDULE COMPLETED,,,,,,
checkpoint,DISTRIBUTION BOARD TEST SHEET COMPLETED,,,,,,
checkpoint,DB SCHEDULE INSTALLED,,,,,,
checkpoint,CLEAN OF ALL DEBRI AND MARKS,,,,,,
,,,,,,,
checklist-flat,Distribution Board Short,,,,,,Distribution Board Short
checkpoint,SUBMAINS TERMINATED,,,,,,
checkpoint,CLEAN OF ALL DEBRI AND MARKS,,,,,,
,,,,,,,
checklist-flat,Warehouse - Lighting,,,,,,Warehouse - Lighting
checkpoint,HIGHBAY LIGHTING PREWIRED - INCL DALI,,,,,,
checkpoint,HIGHBAY LIGHTING INSTALLED AND CONNECTED,,,,,,
checkpoint,EMERGENCY LIGHTING PREWIRED,,,,,,
checkpoint,EMERGENCY LIGHTING INSTALLED,,,,,,
checkpoint,EXIT LIGHTING PREWIRED,,,,,,
checkpoint,EXIT LIGHTING INSTALLED,,,,,,
,,,,,,,
checklist-flat,Warehouse - Lighting Controls,,,,,,Warehouse - Lighting Controls
checkpoint,KNX CABLING COMPLETED BETWEEN DB'S,,,,,,
checkpoint,KNX CABLING TERMINATED AND TESTED,,,,,,
checkpoint,KNX SENSORS PREWIRED,,,,,,
checkpoint,KNX SENSORS INSTALLED,,,,,,
,,,,,,,
checklist-flat,Warehouse - Power,,,,,,Warehouse - Power
checkpoint,SUBCIRCUITS PREWIRED AND TIED BACK TO DB,,,,,,
checkpoint,CONDUIT INSTALLED WHERE REQUIRED,,,,,,
checkpoint,SUBCIRCUITS TERMINATED AT DB,,,,,,
checkpoint,POWER OUTLETS ISOLATORS TERMINATED,,,,,,
checkpoint,FIXED WIRED APPLIANCES CONNECTED AND BONDED ACCORDINGLY,,,,,,
,,,,,,,
checklist-flat,Warehouse - Underslab,,,,,,Warehouse - Underslab
checkpoint,DUCTING INSTALLED INCL MAG SLAB AND DANGER TAPE,,,,,,
checkpoint,"UNDERGROUND PITS INSTALLED, LEVELLED AND DUCTING SEALED",,,,,,
checkpoint,DRAW TAPE INSTALLED AS REQUIRED,,,,,,
,,,,,,,
checklist-flat,Warehouse - Structured Cabling,,,,,,Warehouse - Structured Cabling
checkpoint,SUBCONTRACTOR PREWIRE COMPLETED,,,,,,
checkpoint,SUBCONTRACTOR OUTLETS IN CORRECT LOCATION,,,,,,
checkpoint,SUBCONTRACTOR TERMINATIONS COMPLETED,,,,,,
,,,,,,,
checklist-flat,Warehouse - Metering,,,,,,Warehouse - Metering
checkpoint,POWER METERS PREWIRED AND TIED BACK,,,,,,
checkpoint,WATER METERS PREWIRED AND TIED BACK,,,,,,
checkpoint,METERING TERMINATIONS COMPLETE AND READY FOR QUASAR,,,,,,
,,,,,,,
checklist-flat,Warehouse - Busduct,,,,,,Warehouse - Busduct
checkpoint,SUBCIRCUITS PREWIRED AND TIED BACK TO DB,,,,,,
checkpoint,BUSDUCT INSTALLED,,,,,,
checkpoint,BUSDUCT SUBMAINS TERMINATED AND BONDED ACCORDINGLY,,,,,,
checkpoint,FIXED WIRED OUTLETS INSTALLED ONTO BUSDUCT ,,,,,,
,,,,,,,
checklist-flat,Ground Floor - Lighting,,,,,,Ground Floor - Lighting
checkpoint,LIGHTING PREWIRED - INCL DALI,,,,,,
checkpoint,LIGHTING INSTALLED AND CONNECTED,,,,,,
checkpoint,EMERGENCY/EXIT LIGHTING PREWIRED,,,,,,
checkpoint,EMERGENCY/EXIT LIGHTING INSTALLED,,,,,,
checkpoint,FEATURE LIGHTING PREWIRED - INCL DALI,,,,,,
checkpoint,FEATURE LIGHTING INSTALLED AND CONNECTED,,,,,,
,,,,,,,
checklist-flat,Ground Floor - Lighting Control,,,,,,Ground Floor - Lighting Control
checkpoint,KNX CABLING COMPLETED BETWEEN DB'S,,,,,,
checkpoint,KNX CABLING TERMINATED AND TESTED BETWEEN DB'S,,,,,,
checkpoint,KNX SENSORS PREWIRED,,,,,,
checkpoint,KNX SENSORS INSTALLED,,,,,,
checkpoint,KNX INTELLIGENT SWITCHES PREWIRED,,,,,,
