resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Fitoff ITP - STANDARD EQUIPMENT Fit off,checklist,,,,,VRF-1 CONDENSING UNIT,,,,,,
Fitoff ITP - STANDARD EQUIPMENT Fit off,checklist,,,,,AC-7 COMMS ROOM SPLIT,,,,,,
,step,,,,PRE-ENERGISATION TESTS,,,,,,,
,step,,,,,AS3000 VERIFICATION TESTING DOCUMENT,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,PRSAF-1 PLANTROOM SUPPLY FAN,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,PREF-1 PLANTROOM EXHAUST FAN,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,SREF-1 STOCKROOM EXHAUST FAN 1,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,SREF-2 STOCKROOM EXHAUST FAN 2,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,OAF-1 GENERAL OFFICE,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,OAF-2 PRODUCE PREP,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,TEF-1 AMENITIES,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-1 GENERAL OFFICE,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-2 PLANNING ROOM,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-3 LOCKERES,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-4 TEAM ROOM,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-5 CASHIER OFFICE,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-6 MULTIPURPOSE ROOM,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,VRF-1 CONDENSING UNIT,,,,,,
AS3000 MANDATORY TESTS,checklist,,,,,AC-7 COMMS ROOM SPLIT,,,,,,
,step,,,,ENERGISATION/TESTING,,,,,,,
Energisation ITP - Energisation and Testing from Switchboard,checklist,,,,,PRSAF-1 PLANTROOM SUPPLY FAN,,,,,,
Energisation ITP - Energisation and Testing from Switchboard,checklist,,,,,PREF-1 PLANTROOM EXHAUST FAN,,,,,,
Energisation ITP - Energisation and Testing from Switchboard,checklist,,,,,SREF-1 STOCKROOM EXHAUST FAN 1,,,,,,
Energisation ITP - Energisation and Testing from Switchboard,checklist,,,,,SREF-2 STOCKROOM EXHAUST FAN 2,,,,,,
Energisation ITP - Energisation and Testing from Switchboard,checklist,,,,,OAF-1 GENERAL OFFICE,,,,,,
