"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status",,"","checkpoint","Install Colorcote Magnaflow Roofing (Smokey)"
"checkpoint-status",,"","checkpoint","Up Turn Stop Ends"
"checkpoint-status",,"","checkpoint","40mm Between Sheets at Ridge"
"checkpoint-status",,"","checkpoint","Install Ridge Vent RV10DT"
"checkpoint-status",,"","checkpoint","Install Ridge Flashing - 10mm Gap from Roof"
"checkpoint-status",,"","checkpoint","Type 17 14G x 140mm Timbertite Screws"
"checkpoint-status",,"","checkpoint","125mm Box Colorcote Gutter on External Brackets 10mm Gap"

"checklist-flat",,"","checklist","Phase 2 Block N &K - Lower Roof","",,,1,"Yes","Phase 2 Block N &K - Lower Roof","5daf359f-3560-40a2-be82-0e4a2d571c98"
"checkpoint-status",,"","checkpoint","Delap photos"
"checkpoint-status",,"","checkpoint","Clean Roof"
"checkpoint-status",,"","checkpoint","Remove existing cap flashings"
"checkpoint-status",,"","checkpoint","Remove skylights"
"checkpoint-status",,"","checkpoint","Install screws to substrate"
"checkpoint-status",,"","checkpoint","Install Trough Infill PIR"
"checkpoint-status",,"","checkpoint","New Vapour Barrier"
"checkpoint-status",,"","checkpoint","New 40mm PIR"
"checkpoint-status",,"","checkpoint","New Fibretite Membrane"
"checkpoint-status",,"","checkpoint","New Fascias"
"checkpoint-status",,"","checkpoint","Parapet flashing"
"checkpoint-status",,"","checkpoint","Gutters and Down pipes"

"checklist-flat",,"","checklist","Phase 3 Block N&K","",,,1,"Yes","Stage 3 Extension Block K&i","62412db1-11a1-4761-9a58-c702eb27dd2f"
"checkpoint-status",,"","checkpoint","Remove Existing Membrane roof"
"checkpoint-status",,"","checkpoint","Delap photos"
"checkpoint-status",,"","checkpoint","Clean roof"
"checkpoint-status",,"","checkpoint","Remove Existing cap flashing"
"checkpoint-status",,"","checkpoint","Install screws to substrate"
"checkpoint-status",,"","checkpoint","Install through infill PIR"
"checkpoint-status",,"","checkpoint","New Vapour Barrier"
"checkpoint-status",,"","checkpoint","New 40mm PIR"
"checkpoint-status",,"","checkpoint","New Fibertite Membrane"
"checkpoint-status",,"","checkpoint","New Fascias"
"checkpoint-status",,"","checkpoint","Frame Parapet"
"checkpoint-status",,"","checkpoint","Parapet flashing"
"checkpoint-status",,"","checkpoint","Gutters and Down pipies"

"checklist-flat",,"","checklist","Phase 2 Block N &K - Cladding","",,,2,"Yes","Phase 2 Block N &K - Cladding","65c58dc3-88c1-4f31-bd03-921be42c7bac"
"checkpoint-status",,"","checkpoint","Remove Asbestos"
"checkpoint-status",,"","checkpoint","Inspect timber framing"
"checkpoint-status",,"","checkpoint","Install Rigid Wall Underlay"
"checkpoint-status",,"","checkpoint","Membrane upstand"
"checkpoint-status",,"","checkpoint","Install Cavity Battens"
"checkpoint-status",,"","checkpoint","Install 9mm Fibre Cement board"
"checkpoint-status",,"","checkpoint","Install Trims"
"checkpoint-status",,"","checkpoint","Paint"

"checklist-flat",,"","checklist","Roof","",,,1,"Yes","Stage 4 - Roof","6d9ce565-415f-4b22-9161-42ac6d8dde10"
"checkpoint-status",,"","checkpoint","Remove Roof Iron"
"checkpoint-status",,"","checkpoint","Clean and encapsulate asbestos"
"checkpoint-status",,"","checkpoint","New 140mm Rafters 600mm ctrs"
"checkpoint-status",,"","checkpoint","New 140mm Outriggers"
"checkpoint-status",,"","checkpoint","New 90x45 props to end of rafters"
"checkpoint-status",,"","checkpoint","New 90x45 Mid span props"
"checkpoint-status",,"","checkpoint","Extend wall to support 140mm rafters."
"checkpoint-status",,"","checkpoint","2/90 x 3.15 skew nails + 2 wire dogs"
"checkpoint-status",,"","checkpoint","Insulation"
"checkpoint-status",,"","checkpoint","Intello to seal exterior"
"checkpoint-status",,"","checkpoint","Roof bracing straps"
"checkpoint-status",,"","checkpoint","Additonal purlins"
"checkpoint-status",,"","checkpoint","Purlin Fixings Bugle 14 Guage"
"checkpoint-status",,"","checkpoint","Fascia installed"
"checkpoint-status",,"","checkpoint","Fascia painted - all four sides"
"checkpoint-status",,"","checkpoint","0.9BMT Colorcote Alugard eaves"
"checkpoint-status",,"","checkpoint","Wire Netting"
"checkpoint-status",,"","checkpoint","Vent Eave Combs Filler - G1275"
"checkpoint-status",,"","checkpoint","Magnaflow 0.55 BMT Roofing"
"checkpoint-status",,"","checkpoint","Vent Back Flashings"
"checkpoint-status",,"","checkpoint","Apron Flashings"
"checkpoint-status",,"","checkpoint","300mm Box Gutter"
"checkpoint-status",,"","checkpoint","Downpipes - brackets @800mm Crs"

"checklist-flat",,"","checklist","Stage 3 - Library Interior -Careers Room","",,,1,"Yes","Stage 3 - Library Interior -Careers Room","75579881-0cd0-4b00-a2d6-4ebeeaebf602"
"checkpoint-status",,"","checkpoint","Remove Windows"
