"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"077f2ccb-a3dc-44af-bf6c-ce18695deb51","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A69","Split HW"
"cb8b7ed0-49cb-494e-ad4e-975d2dda34e4","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A69","Extract Fan"
"90edac7f-ed56-468f-ac86-227a68951154","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A69","Kitchen Ext"
"2e5fb310-14ae-4882-b9ee-715de83ff04f","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Residential Areas","Apartment A70"
"f1c255b8-40a3-4910-8e1d-cbb4526c08fb","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A70","Split HW"
"0b923414-b86c-4b3d-b197-3bde9fe052e9","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A70","Extract Fan"
"f5d6ced0-4f4f-4d4b-90a6-0933be05e333","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A70","Kitchen Ext"
"d2bb6935-712b-4ea1-a138-3c6542b35ad5","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Residential Areas","Apartment A71"
"860bbce5-9182-43c9-9764-afff407320e5","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A71","Split HW"
"893a197d-0bf8-4386-89a6-c5bfe7f5cb1a","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A71","Extract Fan"
"d28b6e52-a8ba-482d-899f-4ce65c057c2e","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A71","Kitchen Ext"
"0e0335dc-f45d-4d9d-a39c-6e3990cf6eac","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Residential Areas","Apartment A72"
"59e1dbb1-d24c-4a54-88d6-55132fd6606e","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A72","Split HW"
"a4913a8c-1afb-45c7-84f1-e2392f41a9b0","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A72","Extract Fan"
"60a596a7-b0a9-4072-ad91-d48911abf4ce","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Apartment A72","Kitchen Ext"
"40ce047a-6822-4ff5-b693-a15abb42d602","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Residential Areas","Comms Room"
"ecf5f31a-551f-497b-8743-1d16c50ef781","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 1","Residential Areas","Comms Room","Split HW"
"e0dfe8f5-2605-4af3-b2c2-c77d586dae82","","pass","","folder","TRUE","FALSE","Site QA","Level 1","Corridors"
"e0066204-c753-453e-b4c3-7c7eb5f71803","","pass","SA Fan","checklist","FALSE","FALSE","Site QA","Level 1","Corridors","SF 1.1"
"3f886390-387d-428b-aaef-227c71fb0fcd","","pass","","folder","TRUE","FALSE","Site QA","Level 2"
"26822423-05a9-45ed-95f2-ec5547be32b3","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas"
"171fd9ab-939b-4ab5-860a-d84618e23409","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B65"
"5218dabf-8f3b-4c1b-b750-f488fe8c6a02","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B65","Split HW"
"2dba2b6e-d9e8-47cd-afc9-a5116367bfe0","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B65","Extract Fan"
"abe0aad7-c758-446c-aeeb-cf6a8d6296a8","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B65","Kitchen Ext"
"47788b3c-514f-4959-ae42-82328e1936f5","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B66"
"d1ad58eb-db03-419e-a89e-a4ba679a3e14","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B66","Split HW"
"92d3c300-4772-4823-8eed-9e46e04ae17a","","pass","Extract Fan","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B66","Extract Fan"
"72f29c9a-dea3-4a92-b1df-fd8b933920fc","","pass","Kitch Ext","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B66","Kitchen Ext"
"0d6e6913-34c6-44fb-8ac6-dbb7943379ad","","pass","","folder","TRUE","FALSE","Site QA","Level 2","Residential Areas","Apartment B67"
"2a34df66-39c9-49ca-afd5-ff06e10915f8","","pass","Split HW","checklist","FALSE","FALSE","Site QA","Level 2","Residential Areas","Apartment B67","Split HW"
