"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11575fbd-fb37-4101-95b2-5f94ee9db64f","","pass","","folder","TRUE","FALSE","B01"
"36dd4ee4-bf50-4489-a832-a86dff5633ac","","pass","","folder","TRUE","FALSE","B01","A/C"
"abc052bf-268a-4e86-8d42-81b80ca85d77","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level"
"98e0f203-c5d9-4d47-a0c6-cf45bab7cfdd","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.01 ALS Room"
"6ef5b9a1-c95b-4801-9b7d-a1be0116c0eb","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.01 ALS Room","VRV High Wall"
"5acb2d87-2dad-4665-b78a-cde183857650","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.01 ALS Room","Extract Fan"
"93517f4e-d923-4bc8-8eb9-8a39751108ba","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.02 ALS Room"
"8043c5a5-3f90-46c2-8fc5-bd0f5b01b9c7","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.02 ALS Room","VRV High Wall"
"42056e5b-957d-431f-beb9-9ace0bd08a94","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.02 ALS Room","Extract Fan"
"23378cd2-3ffd-4de8-8b0a-13334cf7139c","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.03 ALS Room"
"420f99b7-50eb-4501-9b31-120db8603a52","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.03 ALS Room","VRV High Wall"
"0cc3e433-3256-49a7-9d99-bbe24c8d27ec","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.03 ALS Room","Extract Fan"
"069804c9-a9f9-4654-b82b-f689c2c0b4bb","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.04 ALS Room"
"5ecf8821-8226-4243-88a1-2f97c1ee9411","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.04 ALS Room","VRV High Wall"
"49178a5e-ee65-410d-82b4-56019a2655fd","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.04 ALS Room","Extract Fan"
"252b1de2-dcf1-42eb-88a2-44fa89a668eb","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.05 ALS Room"
"6779b50e-0fdb-4d3d-b88b-d453a5be72ec","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.05 ALS Room","VRV High Wall"
"27532fe0-158a-46e6-a712-166ac6a460c5","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.05 ALS Room","Extract Fan"
"919386eb-f85e-4c9b-aa1a-b3f80034103f","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.06 ALS Room"
"9db0f1cd-6647-4582-9b89-1b0d1718cc19","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.06 ALS Room","VRV High Wall"
"205bd982-7d12-4e3c-be40-ef31d7201ffe","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.06 ALS Room","Extract Fan"
"25402e26-ed0c-44ab-be5a-96323fbb9a56","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.07 ALS Room"
"2987d55a-f832-4317-a2dd-e4886eb3aceb","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.07 ALS Room","VRV High Wall"
"1c338415-4baa-469a-9f5a-1ecca7f93539","","pass","B01 - Extract Fan","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.07 ALS Room","Extract Fan"
"bfad9bd7-3fc2-4058-a5dd-d1705a07f237","","pass","","folder","TRUE","FALSE","B01","A/C","Ground Level","AC 0.08 ALS Room"
"c7b77a55-246e-4292-b9df-d8c537e67085","","pass","VRV High Wall","checklist","FALSE","FALSE","B01","A/C","Ground Level","AC 0.08 ALS Room","VRV High Wall"
