"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f4f406b6-da69-4e4b-b20f-a46c1cf42102","","folder-normal","work-in-progress","","step","TRUE","FALSE","CVSC"
"ef94650b-6f1f-4e8c-b483-f641e4cd0e4b","","checklist-sectioned","work-in-progress","DG-OWR-CVSC-ITP001_v1 - Earthworks for CVSC","checklist","FALSE","FALSE","CVSC","DG-OWR-CVSC-ITP001_v1 - Earthworks for CVSC"
"f97beee3-15f7-4521-a9b5-2c13591915d9","","checklist-sectioned","work-in-progress","DG-OWR-CVSC-ITP004_v1 - 3 Waters for CVSC","checklist","FALSE","FALSE","CVSC","DG-OWR-CVSC-ITP004_v1 - 3 Waters for CVSC"
"8958edad-7fed-44a4-9f7d-e0c8b0c58354","","folder-normal","not-started","","step","TRUE","FALSE","WIM Site - North"
"ff982cfc-45be-40ff-9249-df18a5aeaf04","","checklist-sectioned","not-started","DG-OWR-CVSC-ITP001_v1 - Earthworks for CVSC","checklist","FALSE","FALSE","WIM Site - North","DG-OWR-CVSC-ITP001_v1 - Earthworks for CVSC"
"adfc1212-0dbd-4650-9cf0-7d9ba0c23c1b","","checklist-sectioned","not-started","DG-OWR-CVSC-ITP002_v1 - Kerb and Channel Footpath for CVSC","checklist","FALSE","FALSE","WIM Site - North","DG-OWR-CVSC-ITP002_v1 - Kerb and Channel Footpath for CVSC"
"6d791a63-83f0-4ad2-9dcc-e9690480c87e","","folder-normal","not-started","","step","TRUE","FALSE","WIM Site - South"
"d11f9449-fc68-4e97-a497-e314e84fd8eb","","checklist-sectioned","not-started","DG-OWR-CVSC-ITP002_v1 - Kerb and Channel Footpath for CVSC","checklist","FALSE","FALSE","WIM Site - South","DG-OWR-CVSC-ITP002_v1 - Kerb and Channel Footpath for CVSC"
"56cdf646-955c-4817-8def-5432e0f0f556","","folder-normal","not-started","","step","TRUE","FALSE","VMS - South"
"842a0d2c-b0de-409d-b2e1-4fd1d4bef516","","checklist-sectioned","not-started","DG-OWR-VMS-ITP-001_v1 - Variable Messaging Sign (VMS) Site","checklist","FALSE","FALSE","VMS - South","DG-OWR-VMS-ITP-001_v1 - Variable Messaging Sign (VMS) Site"
"7a688a9a-eaeb-4131-889e-8d46f5b001cf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","VMS - North"
