"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2a5b876d-7999-4a61-a74c-fd96b8586c34","","folder-normal","fail","","step","TRUE","FALSE","Civil / Drainage (underground)"
"65fa1239-4ad3-462c-9323-2fab73efc3a6","","folder-normal","fail","","step","TRUE","FALSE","Civil / Drainage (underground)","Pits"
"a0e20e84-2e19-4465-a133-b7b6be6cfc2e","","checklist-sectioned","pass","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Pits","Pit 1"
"342ce6b6-bb7f-484f-81d5-76101788b3d7","","checklist-sectioned","pass","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Pits","Pit 2"
"927a198c-efec-45c3-843c-3e341509a289","","checklist-sectioned","work-in-progress","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Pits","Pit 3"
"797dfc0c-f09d-4a45-abca-3e52d029330c","","checklist-sectioned","fail","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Pits","Pit 4"
"7f2ebc93-4358-4c66-8203-e3a38b54009d","","checklist-sectioned","not-started","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Pits","Pit 5"
"a39fac2a-621e-4309-afb0-2ca42dccee97","","folder-normal","fail","","step","TRUE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts"
"9279b2b6-179f-4b4f-bcb4-fbc8613314fb","","checklist-sectioned","pass","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts","Box Culvert 1"
"01a258c2-26b3-4a1d-9927-0b08cc876ac9","","checklist-sectioned","pass","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts","Box Culvert 2"
"3bd6f377-137b-4005-9c5c-1ccf315e1709","","checklist-sectioned","work-in-progress","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts","Box Culvert 3"
"f57da42d-92ff-444d-8da0-ffb70bbadf84","","checklist-sectioned","fail","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts","Box Culvert 4"
"93fc0d81-2a25-4095-9a28-78acae972c1c","","checklist-sectioned","not-started","Civil (Below Ground) ITP","checklist","FALSE","FALSE","Civil / Drainage (underground)","Inverted Box Culverts","Box Culvert 5"
"396c7167-84c3-4e7f-94b8-843b373aaf3a","","folder-normal","fail","","step","TRUE","FALSE","Infrastructure"
"3e006472-69f8-444e-990b-7b2c6bb43ade","","folder-normal","fail","","step","TRUE","FALSE","Infrastructure","Beams"
"2de5466d-d639-4fc1-9475-a50c2c541e46","","checklist-sectioned","pass","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Beams","Beam 1"
"7b7b342a-bcb9-4800-be94-96b1b74325e9","","checklist-sectioned","pass","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Beams","Beam 2"
"a2ccb5db-7f81-4643-a0e6-d2a0a6cf243f","","checklist-sectioned","work-in-progress","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Beams","Beam 3"
"35d23122-feec-492f-9c73-c66abc40b9f6","","checklist-sectioned","fail","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Beams","Beam 4"
"95ea300d-1afb-40c0-9dbc-f3e67cf5a725","","checklist-sectioned","not-started","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Beams","Beam 5"
"a8f67278-895b-4593-9d42-0688b4118db4","","folder-normal","fail","","step","TRUE","FALSE","Infrastructure","Viaducts"
"32d1ddaa-209c-4c48-bccf-a39e631c6f1a","","checklist-sectioned","pass","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Viaducts","Viaduct 1"
"1cc6e828-818e-4b33-8adb-3ee09f4a27d7","","checklist-sectioned","pass","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Viaducts","Viaduct 2"
"83704c84-3a64-4a31-b7ca-72a51397115c","","checklist-sectioned","work-in-progress","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Viaducts","Viaduct 3"
"0349d471-37f6-490e-b6ed-99bd4a5480df","","checklist-sectioned","fail","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Viaducts","Viaduct 4"
"22353426-1dc6-48cf-a011-562bda9ef407","","checklist-sectioned","not-started","Infrastructure Casting ITP","checklist","FALSE","FALSE","Infrastructure","Viaducts","Viaduct 5"
"ff46e52b-cd70-47a1-a56f-ad9112eb7d54","","folder-normal","fail","","step","TRUE","FALSE","Building Precast"
"dc092c6c-e16d-4d7e-8a67-c6f27712592e","","folder-normal","fail","","step","TRUE","FALSE","Building Precast","Level 1"
"2644cca8-7dec-4524-8161-1b1336b43c22","","folder-normal","fail","","step","TRUE","FALSE","Building Precast","Level 1","Column"
"ef3dfe06-88b3-47c1-b155-e1de0fb6843a","","checklist-sectioned","pass","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Column","Column 1"
"e88272ce-a405-4d93-acd8-d2adc687c249","","checklist-sectioned","pass","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Column","Column 2"
"0c7b4a43-4cd4-4bae-a4b3-f6c10facce0e","","checklist-sectioned","work-in-progress","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Column","Column 3"
"83a60e84-8ba3-4153-a952-828f9f558eb9","","checklist-sectioned","fail","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Column","Column 4"
"4c8e016f-1091-45da-8ae0-a5f1e65f1768","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Column","Column 5"
"b60b4c03-3ec4-44af-a9ac-dc722c544268","","folder-normal","fail","","step","TRUE","FALSE","Building Precast","Level 1","Panel"
"8a05a9f6-15f7-4e72-b940-5eb466fd9cfc","","checklist-sectioned","pass","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Panel","P1"
"e437749e-af6c-4376-87b9-8e0671383a72","","checklist-sectioned","pass","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Panel","P2"
"399c5708-fca6-4745-9fac-59938c11c116","","checklist-sectioned","work-in-progress","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Panel","P3"
"dba5678e-b430-4019-8d20-a9c1d68d9e06","","checklist-sectioned","fail","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 1","Panel","P4"
"e78b75f9-1d27-4db3-9b37-6e5a9c3c7909","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 2"
"d311162e-4341-4aa7-8d60-80d0f4942681","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 2","Panel"
"d7fcc1da-65df-4614-834c-cce4e80b7e7c","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Panel","P1"
"a374e232-2737-4e37-a87a-38d542a1c234","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Panel","P2"
"f0f9868d-2b8b-4bad-89d7-755bcf3367eb","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Panel","P3"
"d0c501e6-9677-4442-b3cc-19ff5a8bfb13","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Panel","P4"
"a77487f4-7b08-4d3f-b8b2-90a4a9d4945d","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 2","Balustrade"
"dbfcdb9e-59c9-4952-b13c-1473c2ff6e4c","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Balustrade","B1"
"e03a7cb0-f39d-4e7f-a086-acc24bbca1c9","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Balustrade","B2"
"37c6888a-7658-423d-bf7d-aad2dd888f6f","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Balustrade","B3"
"61f5ab36-855c-40af-abe2-ebc1351ebdb1","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 2","Balustrade","B4"
"d0109a24-1274-4b0a-8495-616040464975","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 3"
"a81d4121-b060-4042-b172-f19b9eb98f1b","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 3","Panel"
"3fbd0588-ff92-40ad-a203-286a72ab84ee","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 3","Panel","P1"
"d880c171-236b-4f85-af96-4c04f4d21167","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 3","Panel","P2"
"c1ddc08d-816b-4be5-bd7e-4f6c1a526c03","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 3","Panel","P3"
"26999f23-270e-4192-ad51-feb927f82289","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 3","Panel","P4"
"befe701f-aa54-4fc7-a569-12043efa6e54","","folder-normal","not-started","","step","TRUE","FALSE","Building Precast","Level 3","Balustrade"
"1035fd91-cad0-4e62-88ea-dc8d98b6b2f8","","checklist-sectioned","not-started","4377bbffd10d70a121eb676b84e91676344af268c539e673c6b8037e0a983f48","checklist","FALSE","FALSE","Building Precast","Level 3","Balustrade","B1"
