"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f147dfd6-a381-4fba-97b9-7c67f4fe61ce","","checklist-flat","pass","145daa2aaf83ce100e03308fa2592b119272de55359c236a0b0a3350dee5e8a6","checklist-flat","FALSE","FALSE","Job Details"
"94ce98e5-a867-4ada-b391-02e136f8c7e0","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"96769386-9642-4f7c-be51-990972a7c573","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"26277f99-20b7-4284-bce9-22042914d1be","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"c9fcf721-cac2-4cff-9251-265e363bdb5c","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"74c29787-8e40-4f70-a896-1d81cd950249","","checkpoint-status","not-applicable","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"ac9e926c-ed8b-47db-b6b5-e3c8ed28a901","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"a8db910d-3a3d-4821-9c08-54b80b25c2b7","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","West Teaching Building"
"334e5b35-b0ee-43dc-ac41-b58aa7918623","","folder-normal","pass","","step","TRUE","FALSE","QA","West Teaching Building","MSR roofing Grids 1 through 3"
"b8253113-5cfb-420a-a5af-7052a337c820","Child Signoffs(fe223916-6ff6-4cbd-8a8f-5c3ddfc34eee) -- Area Complete (Request MC Signoff)(6d75959f-6bef-4d2b-8083-5573eaabed44): Signoff Request Signoff(995730e7-1190-4c79-acf8-9fa613be7c9a) must be dependant","checklist-sectioned","pass","Add MSR Checklist","checklist","FALSE","FALSE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3"
"da52ae39-a9a6-4054-9d7e-43930746cb36","","checkpoint-group","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Pre Start"
"d068f089-2814-44bc-acc9-64f34473d465","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Pre Start","Area Accessible"
"599c21ca-718e-4db6-b7c4-f74ff3cf3ef6","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Pre Start","Edge protection and safety installed"
"16dbb50b-4d40-4447-a6f6-2d979a928fe7","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Pre Start","Substrate complete and ready for SWP (purlins/ply) "
"a324c7fd-ee9d-4a02-bef0-27f20aab174a","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Pre Start","Perimeter support installed installed if metal deck substrate"
"c0fc20d5-1b4d-45fe-ad9d-c49e26100a2a","","checkpoint-group","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Metal Deck"
"dec2375c-b4c2-43f5-8c43-24b16ce99947","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Metal Deck","Timber to have separation barrier"
"4f7918ff-227a-44c1-acce-3c2ffc2f18c8","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Metal Deck","Base deck screwed down in every pan"
"8dfe71a5-dbe8-4253-810f-ebb9e810685f","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Metal Deck","Sheet edges stiched together at 300mm centres"
"eb8ec23c-0eba-4223-a046-9e2fad6b3356","","checkpoint-group","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Vapour Control Layer"
"04d39c52-afa9-45f2-84fb-afb4f0a11fe9","","checkpoint-status","pass","","","TRUE","TRUE","QA","West Teaching Building","MSR roofing Grids 1 through 3","MSR roofing Grids 1 through 3","Vapour Control Layer","Is the substrate clean, dry and clear of swarf"
