"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b950436b-1110-48e4-a952-2a490ff715e4","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"acdcd209-c6d9-54b4-90d0-5d085b0abd12","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Site Info"
"60a8863e-f5c5-5b88-a9a3-dbb2ca15d014","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Latest Drawings"
"92cab47e-e57e-5fc5-9263-0bdff9ab1127","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"d6888186-df6b-524d-b292-d34a7caf94f3","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"65b000b9-71f9-58b4-89a9-969208aae60b","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Fixing Plan Attached"
"521cf11c-8727-4c66-8b07-8eb1c86ec2a0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA"
"e8ffd50e-ed13-4bb0-8e82-eb17babb321a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations"
"3d4f811c-740e-4213-bc10-fb422cbf9cf1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Defects"
