"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b0116afd-2063-464a-ad57-d9a1fda8cd16","","checklist-flat","pass","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"169d770a-e5ab-5a67-abb9-cc2cfe98b35f","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"eaa054d3-2a4f-5457-b868-d8b4639ad4c8","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"44f5f1e6-72ca-50d4-bf9c-94c55fcb231a","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"22dbecb8-33e6-5fdc-a4ba-377c9c1dad3b","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"c5f5da4a-e8a4-56e4-93df-5b534a63ad40","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"f3b30a86-c17c-46d6-9177-7c8bc4372e37","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA"
"e2286278-ac9e-414d-a39d-c5eecb0e0507","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA","MSR Roofing"
"9cbd4e9c-d07b-4f67-b9ee-09eba9c63c3f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA","Fibertite Membrane "
"df25970e-4515-4890-b806-7329fb8624f8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA","Day Works"
