"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"af3f5fec-170d-4281-9815-0715cda8d0d9","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"d853695a-7716-5a8b-a2c9-c0b72e8f9888","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Site Info"
"7a535158-2853-55ad-8810-776377224d61","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Latest Drawings"
"e6d34d16-9f59-525d-ae86-7d4b4f1d1bc8","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"420b0fbd-60a7-57c6-ba53-90db2a6780ba","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"e355640f-436e-584d-96b3-1793ef0dede5","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Fixing Plan Attached"
"ca90737f-2384-40d8-8859-d836742f56e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","QA"
"827369b1-0ac6-4fb0-bc55-74df8c8a5fd7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations"
"67c3f7c0-0cab-407e-806f-8f76fd39776b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Defects"
