Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Rough In Progress,,,,,,,
,Scope,,,Rough In,,,
,Rows,,,,,,
,,Chiller Install (Roof Plant Room),,Chiller Install (Roof Plant Room),Rough In,Site QA,
,,Condensor Units,,Condensor Units,Rough In,Site QA,
,,Cooling Tower,,Cooling Tower,Rough In,Site QA,
,,Pumps,,Pumps,Rough In,Site QA,
,,DUCT INSTALL,grouping,DUCT INSTALL,,,
,,Duct Install - Ground Floor,dynamic,Ground Floor,Duct Install,Rough In,Site QA
,,Duct Install - Level 1,dynamic,Level 1,Duct Install,Rough In,Site QA
,,Duct Install - Level 2,dynamic,Level 2,Duct Install,Rough In,Site QA
,,FCU INSTALL,grouping,FCU INSTALL,,,
,,FCU Install - Ground Floor,dynamic,Ground Floor,FCU Install,Rough In,Site QA
,,FCU Install - Level 1,dynamic,Level 1,FCU Install,Rough In,Site QA
,,FCU Install - Level 2,dynamic,Level 2,FCU Install,Rough In,Site QA
,,MECH PIPE INSTALL,grouping,MECH PIPE INSTALL,,,
,,Mech Pipe Install - Ground Floor,dynamic,Ground Floor,Mech Pipe Install,Rough In,Site QA
,,Mech Pipe Install - Level 1,dynamic,Level 1,Mech Pipe Install,Rough In,Site QA
,,Mech Pipe Install - Level 2,dynamic,Level 2,Mech Pipe Install,Rough In,Site QA
,,FAN INSTALL,grouping,FAN INSTALL,,,
,,Fan Install - Ground Floor,dynamic,Ground Floor,Fan Install,Rough In,Site QA
,,Fan Install - Level 1,dynamic,Level 1,Fan Install,Rough In,Site QA
,,Fan Install - Level 2,dynamic,Level 2,Fan Install,Rough In,Site QA
,,MECH ELEC INSTALL,grouping,MECH ELEC INSTALL,,,
,,Mech Elec - Ground Floor,dynamic,Ground Floor,Mech Elec,Rough In,Site QA
,,Mech Elec - Level 1,dynamic,Level 1,Mech Elec,Rough In,Site QA
,,Mech Elec - Level 2,dynamic,Level 2,Mech Elec,Rough In,Site QA
,,BMS INSTALL,grouping,BMS INSTALL,,,
,,BMS - Ground Floor,dynamic,Ground Floor,BMS,Rough In,Site QA
,,BMS - Level 1,dynamic,Level 1,BMS,Rough In,Site QA
,,BMS - Level 2,dynamic,Level 2,BMS,Rough In,Site QA
,Columns,,,,,,
,,Work area accesible & tidy,,Work area accesible & tidy,,,
,,Subcontractor ITP attached,,Subcontractor ITP attached,,,
,,,,,,,
Fit Off Progress,,,,,,,
,Scope,,,Fit Off,,,
,Rows,,,,,,
,,Chiller Install (Roof Plant Room),,Chiller Install (Roof Plant Room),Fit Off,Site QA,
,,Condensor Units,,Condensor Units,Fit Off,Site QA,
,,Cooling Tower,,Cooling Tower,Fit Off,Site QA,
,,Pumps,,Pumps,Fit Off,Site QA,
,,DUCT INSTALL,grouping,DUCT INSTALL,,,
,,Duct Install - Ground Floor,dynamic,Ground Floor,Duct Install,Fit Off,Site QA
,,Duct Install - Level 1,dynamic,Level 1,Duct Install,Fit Off,Site QA
,,Duct Install - Level 2,dynamic,Level 2,Duct Install,Fit Off,Site QA
,,FCU INSTALL,grouping,FCU INSTALL,,,
,,FCU Install - Ground Floor,dynamic,Ground Floor,FCU Install,Fit Off,Site QA
,,FCU Install - Level 1,dynamic,Level 1,FCU Install,Fit Off,Site QA
,,FCU Install - Level 2,dynamic,Level 2,FCU Install,Fit Off,Site QA
,,MECH PIPE INSTALL,grouping,MECH PIPE INSTALL,,,
,,Mech Pipe Install - Ground Floor,dynamic,Ground Floor,Mech Pipe Install,Fit Off,Site QA
,,Mech Pipe Install - Level 1,dynamic,Level 1,Mech Pipe Install,Fit Off,Site QA
,,Mech Pipe Install - Level 2,dynamic,Level 2,Mech Pipe Install,Fit Off,Site QA
,,FAN INSTALL,grouping,FAN INSTALL,,,
,,Fan Install - Ground Floor,dynamic,Ground Floor,Fan Install,Fit Off,Site QA
,,Fan Install - Level 1,dynamic,Level 1,Fan Install,Fit Off,Site QA
,,Fan Install - Level 2,dynamic,Level 2,Fan Install,Fit Off,Site QA
,,MECH ELEC INSTALL,grouping,MECH ELEC INSTALL,,,
,,Mech Elec - Ground Floor,dynamic,Ground Floor,Mech Elec,Fit Off,Site QA
,,Mech Elec - Level 1,dynamic,Level 1,Mech Elec,Fit Off,Site QA
,,Mech Elec - Level 2,dynamic,Level 2,Mech Elec,Fit Off,Site QA
,,BMS INSTALL,grouping,BMS INSTALL,,,
,,BMS - Ground Floor,dynamic,Ground Floor,BMS,Fit Off,Site QA
,,BMS - Level 1,dynamic,Level 1,BMS,Fit Off,Site QA
,,BMS - Level 2,dynamic,Level 2,BMS,Fit Off,Site QA
,Columns,,,,,,
,,Work area accesible & tidy,,Work area accesible & tidy,,,
,,Subcontractor ITP attached,,Subcontractor ITP attached,,,
,,,,,,,
Commissioning Progress,,,,,,,
,Scope,,,Commissioning,,,
,Rows,,,,,,
,,Chiller Install (Roof Plant Room),,Chiller Install (Roof Plant Room),Commissioning,Site QA,
,,Condensor Units,,Condensor Units,Commissioning,Site QA,
,,Cooling Tower,,Cooling Tower,Commissioning,Site QA,
,,Pumps,,Pumps,Commissioning,Site QA,
,,FCU INSTALL,grouping,FCU INSTALL,,,
,,FCU Install - Ground Floor,dynamic,Ground Floor,FCU Install,Commissioning,Site QA
,,FCU Install - Level 1,dynamic,Level 1,FCU Install,Commissioning,Site QA
,,FCU Install - Level 2,dynamic,Level 2,FCU Install,Commissioning,Site QA
,,MECH PIPE INSTALL,grouping,MECH PIPE INSTALL,,,
,,Mech Pipe Install - Ground Floor,dynamic,Ground Floor,Mech Pipe Install,Commissioning,Site QA
,,Mech Pipe Install - Level 1,dynamic,Level 1,Mech Pipe Install,Commissioning,Site QA
,,Mech Pipe Install - Level 2,dynamic,Level 2,Mech Pipe Install,Commissioning,Site QA
,,FAN INSTALL,grouping,FAN INSTALL,,,
,,Fan Install - Ground Floor,dynamic,Ground Floor,Fan Install,Commissioning,Site QA
,,Fan Install - Level 1,dynamic,Level 1,Fan Install,Commissioning,Site QA
,,Fan Install - Level 2,dynamic,Level 2,Fan Install,Commissioning,Site QA
,,MECH ELEC INSTALL,grouping,MECH ELEC INSTALL,,,
,,Mech Elec - Ground Floor,dynamic,Ground Floor,Mech Elec,Commissioning,Site QA
,,Mech Elec - Level 1,dynamic,Level 1,Mech Elec,Commissioning,Site QA
,,Mech Elec - Level 2,dynamic,Level 2,Mech Elec,Commissioning,Site QA
,,BMS INSTALL,grouping,BMS INSTALL,,,
,,BMS - Ground Floor,dynamic,Ground Floor,BMS,Commissioning,Site QA
,,BMS - Level 1,dynamic,Level 1,BMS,Commissioning,Site QA
,,BMS - Level 2,dynamic,Level 2,BMS,Commissioning,Site QA
,Columns,,,,,,
,,Work area accesible & tidy,,Work area accesible & tidy,,,
,,Subcontractor ITP attached,,Subcontractor ITP attached,,,
