"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checkpoint-status","b32d2e1f-d49a-427a-823a-9a1b8f15feaf","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","dc137093-9b86-41c1-a8e4-2c35abfcfd31","","checkpoint","Installed / Fixed as per Shop Drawings"
"checkpoint-status","17f8e7f8-8049-41d3-adef-04a62a6f1d3b","","checkpoint","Panel installed and working . Locking correctly"
"checkpoint-status","3a9e89b5-c1ea-4782-9257-b561e80e35af","","checkpoint","Airseals Completed"
"checkpoint-status","4e505b60-5416-4c8b-9781-078bf5eae88c","","checkpoint","Site Glazing Completed"
"checkpoint-status","1f65bb44-b968-4786-924c-2ebb0a2787c7","","checkpoint","External Flashings / Weather Seals (provide photo reference)"
"checkpoint-status","0b236eb3-126f-41bf-9956-e7052c31f0b9","","checkpoint","Trade Clean"
"checkpoint-status","6ecc1479-5d0b-4cec-9986-5848eee8385c","","checkpoint","Wights - Sign Off"

"checklist-flat","03e7869b-9bab-496e-a3fb-5c73c237eddb","","checklist","Thermal Heart Suite","",,,0,"Yes","Thermal Heart Suite","33f33de4-ca7e-451c-94d7-a8c831a478b0"
"checkpoint-status","623725a6-214b-4784-b799-913e2ebb33c9","","checkpoint","Opening Wraped & Prepared Correctly"
"checkpoint-status","dbf28996-b62a-40aa-b8f6-d17712bdb978","","checkpoint","External Flashings / Weather Seals As Per Shop Drawing (provide photo reference)"
"checkpoint-status","fc71c907-aacc-4bd1-aa35-c8cbf092536a","","checkpoint","Installed / Fixed As Per Shop Drawings"
"checkpoint-status","df2b7277-5eac-4e61-84bb-5b3981309804","","checkpoint","Airseals Completed"
"checkpoint-status","e2069ca0-a5a1-454b-8f82-ca7a492882de","","checkpoint","Site Glazing Completed"
"checkpoint-status","6d17e5bd-4023-4858-832d-7e56b1634ae9","","checkpoint","Trade Clean"
"checkpoint-status","d8fc1fb3-f852-444c-834c-4b1dd9820b76","","checkpoint","Wights - Sign Off"

"checklist-flat","36fffbb5-70fc-4992-85c6-311a0ac9829e","","checklist","Seismic Suite (Structurally Glazed Curtain Wall)","",,,0,"Yes","Seismic Suite (Structurally Glazed Curtain Wall)","4bf24e32-9e16-49f3-92f9-bac8af24b0f9"
"checkpoint-status","a24baee4-0457-4808-837d-82128bdfccee","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","272113e3-fa6a-4082-98e8-7b8bde35cb25","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","df25f391-b481-4e1e-a128-0f8ba84ba251","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","a742ea08-001b-4221-9af4-08af9d39b80f","","checkpoint","DL Brackets Fitted & Installed correct location"
"checkpoint-status","98d79b6f-829d-4db0-b0b0-a07e553a38c9","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","e1bc97cc-1d13-496a-9e04-d457a59ba91f","","checkpoint","Splicers, Soakers, Gussets & Fixings Sealed (provide photo reference)"
"checkpoint-status","740f9d63-cfe7-4001-a01e-99cb62fab9f0","","checkpoint","Airseal and Internal Flashings (photo)"
"checkpoint-status","25a17316-2181-498c-aed5-51be202abc55","","checkpoint","Smoke Seal Complete (photo)"
"checkpoint-status","3cd4563b-7959-4c99-bd2a-4fd1e45ebaf2","","checkpoint","External Flashings / Weather Seals/Drainage"
"checkpoint-status","001398db-99a4-4882-8f7b-696878f5a1a1","","checkpoint","Trade Clean & Sign Off"
"checkpoint-status","6caa89c9-4e44-4dac-9ac4-963c8808350d","","checkpoint","Wights - Sign Off"

"checklist-flat","745989cb-3b35-47bb-a0ee-db4bafe26fd0","","checklist","Commercial/Domestic","",,,0,"Yes","Commercial/Domestic","4c4db346-334d-4678-b152-a09625c32e53"
"checkpoint-status","954a0555-8748-460e-9d37-b435818d3de8","","checkpoint","Opening Wraped & Prepared Correctly"
"checkpoint-status","7dadf559-0d9d-49a6-af05-485cd91d65e0","","checkpoint","Installed / Fixed As Per Shop Drawings"
"checkpoint-status","f36b2840-f1cb-4cf8-a4cf-545350ebae60","","checkpoint","External Flashings / Weather Seals As Per Shop Drawing"
"checkpoint-status","0e1dda24-71d9-4548-a71c-c4c8d386c694","","checkpoint","Airseals Completed (photo)"
"checkpoint-status","3240c729-e44a-4888-b20e-2e022e239c56","","checkpoint","Glass - Frame Glazed"
"checkpoint-status","b45c9237-c557-4f9b-9a24-de54e05d219f","","checkpoint","Glass - Glazing Rubbered and Complete"
"checkpoint-status","3498b4ad-c49a-4ba9-85e6-df4773ee9d20","","checkpoint","Trade Clean & Sign off"
