"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"North - Level 1","grouping","north - level 1"
,,"W1.02",,"w1.02","level 1","north"
,,"W1.03",,"w1.03","level 1","north"
,,"W1.06",,"w1.06","level 1","north"
,,"W1.07",,"w1.07","level 1","north"
,,"W1.01",,"level 1","w1.01","north"
,,"W1.08",,"level 1","w1.08","north"
,,"W1.04",,"level 1","w1.04","north"
,,"W1.05",,"level 1","w1.05","north"
,,"North - Level 3","grouping","north - level 3"
,,"W3.30",,"w3.30","level 3","north"
,,"W3.31",,"w3.31","level 3","north"
,,"W3.01",,"w3.01","level 3","north"
,,"W3.02",,"w3.02","level 3","north"
,,"W3.03",,"w3.03","level 3","north"
,,"W3.04",,"w3.04","level 3","north"
,,"W3.05",,"w3.05","level 3","north"
,,"W3.06",,"w3.06","level 3","north"
,,"W3.07",,"w3.07","level 3","north"
,,"North - Level 4","grouping","north - level 4"
,,"W4.30",,"level 4","w4.30","north"
,,"W4.31",,"level 4","w4.31","north"
,,"W4.01",,"level 4","w4.01","north"
,,"W4.02",,"level 4","w4.02","north"
,,"W4.03",,"level 4","w4.03","north"
,,"W4.04",,"w4.04","level 4","north"
,,"W4.05",,"level 4","w4.05","north"
,,"W4.06",,"level 4","w4.06","north"
,,"W4.07",,"level 4","w4.07","north"
,,"North - Level 5","grouping","north - level 5"
,,"W5.30",,"w5.30","level 5","north"
,,"W5.31",,"level 5","w5.31","north"
,,"W5.01",,"w5.01","level 5","north"
,,"W5.02",,"level 5","w5.02","north"
,,"W5.03",,"level 5","w5.03","north"
,,"W5.04",,"w5.04","level 5","north"
,,"W5.05",,"w5.05","level 5","north"
,,"W5.06",,"level 5","w5.06","north"
,,"W5.07",,"level 5","w5.07","north"
,,"North - Level 6","grouping","north - level 6"
,,"W6.30",,"w6.30","level 6","north"
,,"W6.31",,"level 6","w6.31","north"
,,"W6.01",,"w6.01","level 6","north"
,,"W6.02",,"level 6","w6.02","north"
,,"W6.03",,"w6.03","level 6","north"
,,"W6.04",,"w6.04","level 6","north"
,,"W6.05",,"w6.05","level 6","north"
,,"W6.06",,"level 6","w6.06","north"
,,"W6.07",,"w6.07","level 6","north"
,,"North - Level 7","grouping","north - level 7"
,,"W7.30",,"w7.30","level 7","north"
,,"W7.31",,"w7.31","level 7","north"
,,"W7.01",,"w7.01","level 7","north"
,,"W7.02",,"w7.02","level 7","north"
,,"W7.03",,"w7.03","level 7","north"
,,"W7.04",,"w7.04","level 7","north"
,,"W7.05",,"w7.05","level 7","north"
,,"W7.06",,"w7.06","level 7","north"
,,"W7.07",,"w7.07","level 7","north"
,,"North - Level 8","grouping","north - level 8"
,,"W8.30",,"level 8","w8.30","north"
,,"W8.31",,"w8.31","level 8","north"
,,"W8.01",,"level 8","w8.01","north"
,,"W8.02",,"w8.02","level 8","north"
,,"W8.03",,"level 8","w8.03","north"
,,"W8.04",,"level 8","w8.04","north"
,,"W8.05",,"level 8","w8.05","north"
,,"W8.06",,"w8.06","level 8","north"
,,"W8.07",,"level 8","w8.07","north"
,,"North - Level 9","grouping","north - level 9"
,,"W9.30",,"level 9","w9.30","north"
,,"W9.31",,"w9.31","level 9","north"
,,"W9.01",,"level 9","w9.01","north"
,,"W9.02",,"w9.02","level 9","north"
,,"W9.03",,"w9.03","level 9","north"
,,"W9.04",,"level 9","w9.04","north"
,,"W9.05",,"level 9","w9.05","north"
,,"W9.06",,"w9.06","level 9","north"
,,"W9.07",,"w9.07","level 9","north"
,,"South - Ground Level","grouping","south - ground level"
,,"D0.01",,"d0.01","south","ground level"
,,"South - Level 1","grouping","south - level 1"
,,"W1.21",,"w1.21","level 1","south"
,,"W1.22",,"level 1","south","w1.22"
,,"W1.23",,"level 1","south","w1.23"
,,"W1.24",,"w1.24","level 1","south"
,,"W1.25",,"w1.25","level 1","south"
,,"W1.26",,"level 1","south","w1.26"
,,"W1.27",,"level 1","south","w1.27"
,,"W1.28",,"w1.28","level 1","south"
,,"W1.29",,"w1.29","level 1","south"
,,"W1.20",,"w1.20","level 1","south"
,,"W1.30",,"level 1","south","w1.30"
,,"South - Level 3","grouping","south - level 3"
,,"W3.15",,"south","w3.15","level 3"
,,"W3.16",,"south","w3.16","level 3"
,,"W3.17",,"w3.17","south","level 3"
,,"W3.18",,"w3.18","south","level 3"
,,"W3.19",,"south","w3.19","level 3"
,,"W3.20",,"w3.20","south","level 3"
,,"W3.21",,"w3.21","south","level 3"
,,"W3.34",,"south","w3.34","level 3"
,,"W3.35",,"w3.35","south","level 3"
,,"South - Level 4","grouping","south - level 4"
,,"W4.15",,"w4.15","level 4","south"
,,"W4.16",,"level 4","south","w4.16"
,,"W4.17",,"level 4","south","w4.17"
,,"W4.18",,"level 4","w4.18","south"
,,"W4.19",,"w4.19","level 4","south"
,,"W4.20",,"level 4","south","w4.20"
,,"W4.21",,"level 4","w4.21","south"
,,"W4.34",,"level 4","south","w4.34"
,,"W4.35",,"level 4","south","w4.35"
,,"South - Level 5","grouping","south - level 5"
,,"W5.15",,"w5.15","level 5","south"
,,"W5.16",,"w5.16","level 5","south"
,,"W5.17",,"level 5","south","w5.17"
,,"W5.18",,"level 5","south","w5.18"
,,"W5.19",,"w5.19","level 5","south"
,,"W5.20",,"level 5","south","w5.20"
,,"W5.21",,"level 5","south","w5.21"
,,"W5.34",,"w5.34","level 5","south"
,,"W5.35",,"level 5","south","w5.35"
,,"South - Level 6","grouping","south - level 6"
,,"W6.15",,"w6.15","south","level 6"
,,"W6.16",,"south","w6.16","level 6"
,,"W6.17",,"south","level 6","w6.17"
,,"W6.18",,"w6.18","south","level 6"
,,"W6.19",,"w6.19","south","level 6"
,,"W6.20",,"south","level 6","w6.20"
,,"W6.21",,"w6.21","south","level 6"
,,"W6.34",,"south","w6.34","level 6"
,,"W6.35",,"south","level 6","w6.35"
,,"South - Level 7","grouping","south - level 7"
,,"W7.15",,"w7.15","south","level 7"
,,"W7.16",,"w7.16","south","level 7"
,,"W7.17",,"south","w7.17","level 7"
