"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"39d1bbb9-cf5e-402c-bc98-86a7c34ebb15","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"fc1ad667-04b9-4e75-8c9b-429ce28c1b30","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"62abad37-7d66-4d3e-bdae-349fda024afd","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Brackets"
"89a4ea85-e4de-4f75-af61-84c1f2d630ec","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Panels"
"39f9c7c0-a089-4720-9329-19fc477e920b","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Ground","Smoke Seal"
"4f8ffa49-ea5b-4227-a03c-9d70f3ed3a2d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"47011f6b-c8f7-47b8-adb9-9c0dfed468f7","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Brackets"
"f070ca98-e56f-499b-becf-ab45edd02971","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Panels"
"b7fa37e4-e3e6-4e8f-8916-f519204ba3fd","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Smoke Seal"
"ad822b84-a3a8-4600-823d-1b488d9bfabc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"d05fe3ca-5d41-4a9d-88d7-ae6275c9e82c","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Brackets"
"53a82c78-a32f-4871-a6ed-0f18567060dc","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Panels"
"5d93e0e1-590e-4c85-8b70-9b202ec98902","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Smoke Seal"
"3eff2cc2-71cc-40db-8f53-87b8357b24a0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"c38823c0-9862-4893-9c9e-b02062f57848","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Brackets"
"e8c75e80-a0c3-4d1c-b6cc-8af6816a0750","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Panels"
"40ff5fb7-1460-4e49-ae1e-a9d022c2dd67","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Smoke Seal"
"7e0d86ed-e44d-42e8-8a17-293f48a8e848","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"f7c5bf55-799b-4215-81ed-591ebfc9b194","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Brackets"
"65c55010-cd75-49c7-8136-57a24af0fce7","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Panels"
"fd78a38a-3428-4a3e-ac31-52225680e0d5","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Smoke Seal"
"49f1ec4e-2770-4476-9921-4532df992239","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"e3485857-691a-4627-8137-c1c57e8430df","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Brackets"
"2903e0c3-fc9c-48eb-baee-40f48c76fd61","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Panels"
"b910350b-7cc0-4a77-81f8-456bf380485f","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Smoke Seal"
"67d8a932-f5e9-4dfb-bfe0-d594f1f8c192","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"d44052ab-5adc-4992-b6fc-4f19b86b38eb","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 6","Brackets"
"0a3d7fc7-8bb4-4242-b806-7613d669216d","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 6","Panels"
"86c679fb-b017-47e7-9c32-5b6005bda0b2","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 6","Smoke Seal"
"f581edc4-a789-4f48-bbd5-a5119f16a969","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"1c85a1ac-f408-4c7d-8ecb-c0ac40208130","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 7","Brackets"
"6a9bb32b-675b-4ba2-b09d-654c7cba7c61","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 7","Panels"
