"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"39d1bbb9-cf5e-402c-bc98-86a7c34ebb15","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"fc1ad667-04b9-4e75-8c9b-429ce28c1b30","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"a83cd877-5f64-43f9-85b7-cba21400fbab","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 7","Smoke Seal"
"a02b27b4-fefb-4f51-9a97-8c65a57a8418","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"c4552a76-6790-4fae-a911-3dc11b84b80c","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 8","Brackets"
"95ffae27-8a95-4c1c-b1c2-fa6424de8e55","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 8","Panels"
"f4d92f09-eac9-4abd-8fbc-a14631ff5215","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 8","Smoke Seal"
"c8d8c827-bf23-406b-89a1-1028976ba8db","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 9"
"0fd0f33a-bc7a-4dcf-8dfb-999b0fe2b627","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 9","Brackets"
"312251d2-6206-4b34-bae2-a73b6853adb8","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 9","Panels"
"e3771386-f700-42b3-afe0-937d60d23d28","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 9","Smoke Seal"
"8a52d55d-44fa-41c1-a146-9f3d45cb7a28","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10"
"7c3febb7-02d2-4bf6-a58d-b8940c4970bf","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 10","Brackets"
"b0e7933c-3e4f-4349-94c3-7339f72c0ee7","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 10","Panels"
"38cc28e9-90e8-4f05-b90d-d0680124f184","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 10","Smoke Seal"
"1425a9c0-c3c0-4ab8-be18-3a157c13a110","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 11"
"cceeb4d7-955c-4e71-9b9f-15f93df95ac5","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 11","Brackets"
"8bdf6455-a9e0-40bc-913a-5002e2203ed4","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 11","Panels"
"f043c672-25f9-49f0-9812-7da591d0a441","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 11","Smoke Seal"
"00d1dc8b-2eca-43c9-b41c-6b8ecbea4feb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 12"
"771f540c-750f-4860-a081-25284bde0c7a","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 12","Brackets"
"61284b3f-9fc7-4ea0-8147-0462a7e4f5ac","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 12","Panels"
"8cc19de9-ed5f-422e-b62e-db06a579a674","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 12","Smoke Seal"
"f9ca621e-ba01-4de5-9a37-ba2d00be7db3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 13"
"7e9d1e1e-cdae-478a-9fe8-41375565e4f8","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 13","Brackets"
"0b2f3903-f422-49b1-81c3-e7420c242098","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 13","Panels"
"e6f98951-b605-47bd-a213-861300ada354","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 13","Smoke Seal"
"2ccac85b-9c8f-453b-ab51-bb21c718243b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 14"
"7562b61b-8bc9-4aa7-bf3b-5284ff723f9a","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 14","Brackets"
"b0e54795-ff65-4170-ab55-fff714a23614","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 14","Panels"
"76de9b42-27c4-4e11-a558-8050e64b849e","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 14","Smoke Seal"
"dc1a9df5-0475-4069-8959-63e9c49d764b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 15"
"d5dbf0d8-9b55-4d69-85f6-6380785e52e6","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 15","Brackets"
"f6aa0631-0298-4b0d-8e2a-397cd9fbfcd0","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 15","Panels"
"4c35ea4d-cb56-400e-a84a-795fcb8164fe","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 15","Smoke Seal"
"823be30f-d45f-4f3a-b478-fa6101b6eca5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 16"
"b9661abd-ea54-455e-a25f-4a86ab5e6f3b","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 16","Brackets"
"cfeaac1c-f3b9-48bc-b8bd-5776b5523388","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 16","Panels"
"585d8148-7a20-4f34-90aa-b91a8e0e65b4","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 16","Smoke Seal"
"6c466892-514a-4d83-8bd4-75478a409810","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 17"
"e89c17cc-7206-4687-ba02-3a4e70626a74","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 17","Brackets"
"31949fdf-f5f7-44c9-b3c9-edd26e61dbe4","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 17","Panels"
"4d473931-4973-4611-83b1-43a8ea475de5","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 17","Smoke Seal"
"164fdf74-3d89-4922-ae5c-3e1d52edd513","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 18"
"63568a6e-aa03-4493-b524-c2c736abc9b8","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 18","Brackets"
"acad4356-ef3d-4ad0-bb63-129666300d16","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 18","Panels"
"eaef9e32-a7a2-4289-9dee-ee4ce09a9512","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 18","Smoke Seal"
"41ee2cba-89fe-4a3e-92d1-6fe45a8d9c71","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 19"
"18f8aff6-53a3-412f-81c2-b47a1b774152","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 19","Brackets"
"74930026-5332-4b03-8363-13194bc9dbbf","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 19","Panels"
"80183ac5-f0cd-45dc-93d0-44de4cb54148","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 19","Smoke Seal"
"bf92eb7e-3943-4f8f-9691-fb204ca55557","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 20"
"de02f948-0dd4-4eb6-b645-86d1fd0e91d8","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 20","Brackets"
"45542c63-cff5-436e-b004-c44d344f3c11","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Level 20","Panels"
"924a2218-0d65-476f-959a-ff7c58808d67","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Level 20","Smoke Seal"
"1a14fc94-de87-4383-85d4-1afe34917cf6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"febd7f3e-1c20-47bd-af35-8cd335f34f81","","checklist-flat","not-started","Brackets Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Roof","Brackets"
"3b4c8f86-f6d8-4a3c-a1e5-426c139224bb","","checklist-flat","not-started","Panel Installation ITP","checklist-flat","FALSE","FALSE","Site QA","Roof","Panels"
"ebac02ae-c466-4882-bd3d-95cda145811c","","checklist-flat","not-started","Smoke & Acoustic Flashings ITP","checklist-flat","FALSE","FALSE","Site QA","Roof","Smoke Seal"
"38ed8717-3ff2-4217-902d-c0111a6e49d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Deliveries"
