Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Building C and Courtyard - Overall Progress,,,,,,
,Scope,,,Building C and Courtyard,,
,Rows,,,,,
,,Ground Floor - Common Areas,dynamic,Building C and Courtyard,Ground Floor,Common Areas
,,Ground Floor - Residential Areas,dynamic,Building C and Courtyard,Ground Floor,Residential Areas
,,Ground Floor - Repeaters,dynamic,Building C and Courtyard,Ground Floor,Repeaters
,,Cameras - Ground Floor,dynamic,Building C and Courtyard,Cameras,Ground Floor
,,Level 1 - Common Areas,dynamic,Building C and Courtyard,Level 1,Common Areas
,,Level 1 - Residential Areas,dynamic,Building C and Courtyard,Level 1,Residential Areas
,,Level 1 - Courtyard Wing - Residential Apartments,dynamic,Building C and Courtyard,Level 1,Courtyard Wing - Residential Apartments
,,Level 1 - Repeaters,dynamic,Building C and Courtyard,Level 1,Repeaters
,,Cameras - Level 1,dynamic,Building C and Courtyard,Cameras,Level 1
,,Level 2 - Common Areas,dynamic,Building C and Courtyard,Level 2,Common Areas
,,Level 2 - Residential Areas,dynamic,Building C and Courtyard,Level 2,Residential Areas
,,Level 2 - Repeaters,dynamic,Building C and Courtyard,Level 2,Repeaters
,,Cameras - Level 2,dynamic,Building C and Courtyard,Cameras,Level 2
,,Level 3 - Common Areas,dynamic,Building C and Courtyard,Level 3,Common Areas
,,Level 3 - Residential Areas,dynamic,Building C and Courtyard,Level 3,Residential Areas
,,Level 3 - Repeaters,dynamic,Building C and Courtyard,Level 3,Repeaters
,,Cameras - Level 3,dynamic,Building C and Courtyard,Cameras,Level 3
,,Cameras - Reception,dynamic,Building C and Courtyard,Cameras,Reception
,Columns,,,,,
,,Pre Wire,,Pre Wire,,
,,Pre-Wire Only,,Pre-Wire Only,,
,,Terminated & Tested,,Terminated & Tested,,
,,Fit off,,Fit off,,
