"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c971e699-6d36-5825-af73-0935ac35db5e","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:f1395031-71d6-5468-bf80-c760a6ab6370","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.5 - Soaked CBR"
"73bb0b7b-fae0-5b8b-a20b-519f89f32f29","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:f1395031-71d6-5468-bf80-c760a6ab6370:931a1aa8-1380-5a21-bb4d-7282459c2c4a","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"0e5636df-9670-5c2e-844d-0ddf62eb39f6","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:51757bfb-8689-56b5-85cc-9ee5c479f783","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.6 - Solid Density"
"e60378dd-ac73-58bd-81c0-f910146bce9d","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:51757bfb-8689-56b5-85cc-9ee5c479f783:4ff72493-ec09-5550-980d-b8ce9f81958c","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"3df64a0e-da25-5d33-bfe9-4b239b6b03e8","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:f3c7ffc2-519c-5933-8152-8d50f951f298","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.2.7 - Crushing Resistance"
"5ae5ecbf-fa9e-517a-8809-b3f2cf16ef9a","","pass","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:f3c7ffc2-519c-5933-8152-8d50f951f298:18198a09-45c8-58df-b28e-13ce7c3dc8f8","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"4d124ad8-4e5c-5453-bca8-bf0530690f95","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:d14ec928-f5ca-5c95-8a07-42e01557e8ce","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.3.1 - Particle Size Distribution"
"9567fc9d-e753-508a-bb5f-70bf9d6fbc88","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:d14ec928-f5ca-5c95-8a07-42e01557e8ce:3e090f90-6d14-5042-ae03-d0f85981b5d0","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
"99a93582-98ac-5a6f-a82b-426487dbd1f6","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:33862698-337a-599f-92ba-d701669d85d9","checkpoint","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","1.3.2 - Maximum Dry Density and Optimum Water Content"
"18b73c85-9c28-57da-939f-1f1bc0e480c4","","not-applicable","DN1210-003 ITP Earthworks Rev IFC5:8508ff53-5f3a-5f4c-8d26-a8afd00d3eae:33862698-337a-599f-92ba-d701669d85d9:a211f4ec-e2a7-5d58-86a4-27239dd6b739","signoff","TRUE","TRUE","SP1","Zone 1 North","EAR-DN1210-003-LOT-001-Zone 1 North-A","SECTION 1 – PRE-CONSTRUCTION HOLD POINTS","AUTHORITY HOLDPOINT"
