Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Standard uPVC,,,,,Yes,Standard uPVC,e064a72a-8341-4cee-91f9-c2f1b27bf53e
checkpoint-status,,,checkpoint,Fixings,,,,,,,
checkpoint-status,,,checkpoint,Proclima taped,,,,,,,
checkpoint-status,,,checkpoint,Site Glazing,,,,,,,
checkpoint-status,,,checkpoint,Reveals fitted,,,,,,,
checkpoint-status,,,checkpoint,Flashings fitted,,,,,,,
checkpoint-status,,,checkpoint,Sash functioning correctly / needs adjustment,,,,,,,
checkpoint-status,,,checkpoint,Head flashing end cap fitted,,,,,,,
checkpoint-status,,,checkpoint,Cavity end caps fitted to head flashing,,,,,,,
checkpoint-status,,,checkpoint,Glazing seals uniform,,,,,,,
checkpoint-status,,,checkpoint,Checked for damages,,,,,,,
checkpoint-status,,,checkpoint,Trade Cleaned,,,,,,,
