Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Precast Installation - Overall Progress,,,,,,,,,,
,Scope,,,Precast Panels,,,,,,
,Rows,,,,,,,,,
,,Zone A - B4 Core - L2,dynamic,L2,B4 Core,Zone A,Precast Panels,,,
,,Zone A - B4 Core - L3,dynamic,L3,B4 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - GF,dynamic,GF,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - L1,dynamic,L1,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - L2,dynamic,L2,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - L3,dynamic,L3,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - L4,dynamic,L4,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B5 Core - L5,dynamic,L5,B5 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - LG,dynamic,LG,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - GF,dynamic,GF,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - L1,dynamic,L1,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - L2,dynamic,L2,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - L3,dynamic,L3,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B6 Core - L4,dynamic,L4,B6 Core,Zone A,Precast Panels,,,
,,Zone A - B8/C5 Core - LG,dynamic,LG,B8/C5 Core,Zone A,Precast Panels,,,
,,Zone A - B8/C5 Core - GF,dynamic,GF,B8/C5 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - GF,dynamic,GF,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L1,dynamic,L1,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L2,dynamic,L2,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L3,dynamic,L3,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L4,dynamic,L4,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L5,dynamic,L5,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B10 Core - L6,dynamic,L6,B10 Core,Zone A,Precast Panels,,,
,,Zone A - B14 Core - GF,dynamic,GF,B14 Core,Zone A,Precast Panels,,,
,,Zone A - B14 Core - L1,dynamic,L1,B14 Core,Zone A,Precast Panels,,,
,,Zone A - Ramp 07 - LG,dynamic,LG,Ramp 07,Zone A,Precast Panels,,,
,,Zone A - Spanish Steps PC - LG,dynamic,LG,Ramp 07,Zone A,Precast Panels,,,
,,Zone A - Additional PC Panels,dynamic,Additional PC Panels,Zone A,Precast Panels,,,,
,,Zone B - Loading Dock Ramp Panels - B1,dynamic,B1,Loading Dock Ramp Panels - B1,Zone B,Precast Panels,,,
,,Zone B - Main Entrance Precast Ramp (Eastern Panels) - LG,dynamic,LG,Main Entrance Precast Ramp (Eastern Panels),Zone B,Precast Panels,,,
,,Zone B - Façade Panels - LG,dynamic,LG,Façade Panels,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - B1,dynamic,B1,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - GF,dynamic,GF,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - L1,dynamic,L1,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - L2,dynamic,L2,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - LG-11,grouping,Zone B - Stair A2 - LG-11,,,,,,
,,LG-11,expanded,LG-11,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A2 - LG,dynamic,LG,Stair A2,Zone B,Precast Panels,,,
,,Zone B - Stair A5 - B1,dynamic,B1,Stair A5,Zone B,Precast Panels,,,
,,Zone B - Stair A5 - LG,dynamic,LG,Stair A5,Zone B,Precast Panels,,,
,,Zone B - Stair A6 - L2,dynamic,L2,Stair A6,Zone B,Precast Panels,,,
,,Zone B - Stair A6 - L3,dynamic,L3,Stair A6,Zone B,Precast Panels,,,
,,Zone B - Stair A6 - L4,dynamic,L4,Stair A6,Zone B,Precast Panels,,,
,,Zone B - Stair A6 - L5 LID,dynamic,L5 LID,Stair A6,Zone B,Precast Panels,,,
,,Zone B - Loading Dock Ramp Panels - LG,dynamic,Loading Dock Ramp Panels - LG,Zone B,Precast Panels,,,,
,,Zone B - Feature Precast Panels,dynamic,Feature Precast Panels,Zone B,Precast Panels,,,,
,,Zone C - E2 Stair - GF,dynamic,GF,E2 Stair,Zone C,Precast Panels,,,
,,Zone C - E2 Stair - L1,dynamic,L1,E2 Stair,Zone C,Precast Panels,,,
,,Zone C - E2 Stair - L2,dynamic,L2,E2 Stair,Zone C,Precast Panels,,,
,,Zone C - E2 Stair - L3,dynamic,L3,E2 Stair,Zone C,Precast Panels,,,
,,Zone C - E2 Stair - L4,dynamic,L4,E2 Stair,Zone C,Precast Panels,,,
,,Zone C - C Lids,dynamic,C Lids,Zone C,Precast Panels,,,,
,,Zone C - Building C feature precast ,dynamic,Building C feature precast ,Precast Panels,,,,,
,,Zone C - D1 Lids,dynamic,D1 Lids,Precast Panels,,,,,
,,Zone C - Building D Feature Precast,dynamic,Building D Feature Precast,Precast Panels,,,,,
,Columns,,,,,,,,,
,,Acceptance / Installation,,Acceptance / Installation,,,,,,
,,Base Grouting,,Base Grouting,,,,,,
,,Tube Grouting,,Tube Grouting,,,,,,
,,Grout Strength,,Grout Strength,,,,,,
,,Welding of Stitch Plates,,Welding of Stitch Plates,,,,,,
,,,,,,,,,,
Zone A (Building B) - Slab Pours,,,,,,,,,,
,Scope,,,Structure,Concrete Pours,,,,,
,Rows,,,,,,,,,
,,Podium - LG,dynamic,LG,Slab,Podium,Zone A (Building B),Concrete Pours,Structure,
,,Podium - Ground,dynamic,Ground,Slab,Podium,Zone A (Building B),Concrete Pours,Structure,
,,Podium - B01,dynamic,B01,Slab,Podium,Zone A (Building B),Concrete Pours,Structure,
,,Level 01,dynamic,Slab,Level 01,Zone A (Building B),Concrete Pours,Structure,,
,,Level 02,dynamic,Level 02,Zone A (Building B),Concrete Pours,Structure,,,
