"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Block D - Basement 1/Lower Ground","grouping","basement 1/lower ground","block d"
,,"internal drainage","expanded","internal drainage","basement 1/lower ground","block d"
,,"internal stormwater","expanded","internal stormwater","basement 1/lower ground","block d"
,,"sewer stacks / storm water stacks","expanded","basement 1/lower ground","block d","sewer stacks / storm water stacks"
,,"lobby","expanded","basement 1/lower ground","block d","lobby"
,,"dlg.01","expanded","basement 1/lower ground","block d","dlg.01"
,,"dlg.02","expanded","basement 1/lower ground","block d","dlg.02"
,,"dlg.03","expanded","dlg.03","basement 1/lower ground","block d"
,,"dlg.04","expanded","basement 1/lower ground","dlg.04","block d"
,,"dlg.05","expanded","basement 1/lower ground","block d","dlg.05"
,,"dlg.06","expanded","basement 1/lower ground","block d","dlg.06"
,,"Block D - Ground Floor","grouping","ground floor","block d"
,,"corridor","expanded","ground floor","block d","corridor"
,,"dg.01","expanded","ground floor","dg.01","block d"
,,"dg.02","expanded","ground floor","block d","dg.02"
,,"dg.03","expanded","ground floor","block d","dg.03"
,,"dg.04","expanded","ground floor","block d","dg.04"
,,"dg.05","expanded","dg.05","ground floor","block d"
,,"dg.06","expanded","ground floor","dg.06","block d"
,,"dg.07","expanded","ground floor","block d","dg.07"
,,"dg.08","expanded","ground floor","block d","dg.08"
,,"dg.09","expanded","dg.09","ground floor","block d"
,,"dg.10","expanded","ground floor","block d","dg.10"
,,"dg.11","expanded","ground floor","block d","dg.11"
,,"dg.12","expanded","ground floor","dg.12","block d"
,,"Block D - Level 1","grouping","block d","level 1"
,,"corridor","expanded","block d","level 1","corridor"
,,"d1.01","expanded","block d","level 1","d1.01"
,,"d1.02","expanded","block d","level 1","d1.02"
,,"d1.03","expanded","d1.03","block d","level 1"
,,"d1.04","expanded","block d","level 1","d1.04"
,,"d1.05","expanded","block d","level 1","d1.05"
,,"d1.06","expanded","block d","level 1","d1.06"
,,"d1.07","expanded","d1.07","block d","level 1"
,,"d1.08","expanded","d1.08","block d","level 1"
,,"d1.09","expanded","block d","level 1","d1.09"
,,"d1.10","expanded","d1.10","block d","level 1"
,,"d1.11","expanded","block d","d1.11","level 1"
,,"d1.12","expanded","block d","level 1","d1.12"
,,"Block D - Level 2","grouping","block d","level 2"
,,"corridor","expanded","block d","corridor","level 2"
,,"d2.01","expanded","block d","d2.01","level 2"
,,"d2.02","expanded","block d","d2.02","level 2"
,,"d2.03","expanded","block d","level 2","d2.03"
,,"d2.04","expanded","d2.04","block d","level 2"
,,"d2.05","expanded","block d","d2.05","level 2"
,,"d2.06","expanded","block d","level 2","d2.06"
,,"d2.07","expanded","block d","level 2","d2.07"
,,"d2.08","expanded","d2.08","block d","level 2"
,,"d2.09","expanded","d2.09","block d","level 2"
,,"d2.10","expanded","block d","level 2","d2.10"
,,"d2.11","expanded","d2.11","block d","level 2"
,,"d2.12","expanded","block d","d2.12","level 2"
,,"Block D - Level 3","grouping","block d","level 3"
,,"corridor","expanded","block d","corridor","level 3"
,,"d3.01","expanded","block d","d3.01","level 3"
,,"d3.02","expanded","d3.02","block d","level 3"
,,"d3.03","expanded","block d","d3.03","level 3"
,,"d3.04","expanded","block d","d3.04","level 3"
,,"d3.05","expanded","block d","d3.05","level 3"
,,"d3.06","expanded","d3.06","block d","level 3"
,,"d3.07","expanded","block d","level 3","d3.07"
,,"d3.08","expanded","block d","d3.08","level 3"
,,"d3.09","expanded","d3.09","block d","level 3"
,,"d3.10","expanded","block d","d3.10","level 3"
,,"d3.11","expanded","block d","d3.11","level 3"
,,"Block D - Level 4","grouping","level 4","block d"
,,"corridor","expanded","level 4","block d","corridor"
,,"d4.01","expanded","level 4","block d","d4.01"
,,"Block E - Basement 1/Lower Ground","grouping","basement 1/lower ground","block e"
,,"internal drainage","expanded","internal drainage","basement 1/lower ground","block e"
,,"internal stormwater","expanded","internal stormwater","basement 1/lower ground","block e"
,,"sewer stacks / storm water stacks","expanded","basement 1/lower ground","block e","sewer stacks / storm water stacks"
,,"lobby","expanded","basement 1/lower ground","block e","lobby"
,,"elg.01","expanded","basement 1/lower ground","elg.01","block e"
,,"elg.02","expanded","basement 1/lower ground","block e","elg.02"
,,"elg.03","expanded","basement 1/lower ground","block e","elg.03"
,,"elg.04","expanded","elg.04","basement 1/lower ground","block e"
,,"elg.05","expanded","basement 1/lower ground","elg.05","block e"
,,"elg.06","expanded","basement 1/lower ground","block e","elg.06"
,,"Block E - Ground Floor","grouping","ground floor","block e"
,,"corridor","expanded","ground floor","corridor","block e"
,,"eg.01","expanded","ground floor","block e","eg.01"
,,"eg.02","expanded","eg.02","ground floor","block e"
,,"eg.03","expanded","ground floor","eg.03","block e"
,,"eg.04","expanded","ground floor","block e","eg.04"
,,"eg.05","expanded","ground floor","block e","eg.05"
,,"eg.06","expanded","ground floor","eg.06","block e"
,,"eg.07","expanded","ground floor","eg.07","block e"
,,"eg.08","expanded","ground floor","block e","eg.08"
,,"eg.09","expanded","ground floor","block e","eg.09"
,,"eg.10","expanded","ground floor","eg.10","block e"
,,"eg.11","expanded","ground floor","eg.11","block e"
,,"Block E - Level 1","grouping","level 1","block e"
,,"corridor","expanded","level 1","corridor","block e"
,,"e1.01","expanded","e1.01","level 1","block e"
,,"e1.02","expanded","level 1","e1.02","block e"
,,"e1.03","expanded","level 1","block e","e1.03"
,,"e1.10","expanded","level 1","block e","e1.10"
,,"e1.11","expanded","e1.11","level 1","block e"
,,"e1.12","expanded","e1.12","level 1","block e"
,,"e1.04","expanded","e1.04","level 1","block e"
,,"e1.05","expanded","e1.05","level 1","block e"
,,"e1.06","expanded","level 1","block e","e1.06"
,,"e1.07","expanded","level 1","block e","e1.07"
,,"e1.08","expanded","e1.08","level 1","block e"
,,"e1.09","expanded","level 1","e1.09","block e"
,,"Block E - Level 2","grouping","block e","level 2"
,,"e2.01","expanded","e2.01","block e","level 2"
,,"e2.02","expanded","e2.02","block e","level 2"
,,"e2.03","expanded","e2.03","block e","level 2"
,,"e2.04","expanded","block e","level 2","e2.04"
,,"e2.05","expanded","e2.05","block e","level 2"
,,"e2.06","expanded","e2.06","block e","level 2"
,,"e2.07","expanded","block e","level 2","e2.07"
,,"e2.08","expanded","block e","level 2","e2.08"
,,"e2.09","expanded","e2.09","block e","level 2"
,,"e2.10","expanded","e2.10","block e","level 2"
,,"e2.11","expanded","block e","level 2","e2.11"
,,"e2.12","expanded","e2.12","block e","level 2"
,,"Block E - Level 3","grouping","block e","level 3"
,,"corridor","expanded","corridor","block e","level 3"
,,"e3.01","expanded","e3.01","block e","level 3"
,,"e3.02","expanded","e3.02","block e","level 3"
,,"e3.03","expanded","e3.03","block e","level 3"
,,"e3.04","expanded","block e","e3.04","level 3"
,,"e3.05","expanded","e3.05","block e","level 3"
,,"e3.06","expanded","e3.06","block e","level 3"
,,"e3.07","expanded","e3.07","block e","level 3"
,,"e3.08","expanded","block e","level 3","e3.08"
,,"e3.09","expanded","block e","e3.09","level 3"
,,"e3.10","expanded","e3.10","block e","level 3"
,,"e3.11","expanded","block e","e3.11","level 3"
,,"Block E - Level 4","grouping","level 4","block e"
,,"corridor","expanded","level 4","corridor","block e"
,,"e4.01","expanded","level 4","block e","e4.01"
,,"e4.02","expanded","level 4","e4.02","block e"
,,"e4.03","expanded","level 4","e4.03","block e"
