resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Lounge,,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.6,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 32,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.7,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 24,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 33,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.8,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 34,,,,,,,,,,
S - S - Ventilation - Corridors Ventilation,checklist,,,,Ventilation 0.9,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 35,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.10,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 36,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.11,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 37,,,,,,,,,,
S - S - Ventilation - Apartment Ventilation,checklist,,,,Ventilation 0.12,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 38,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 39,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 40,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 41,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 42,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 43,,,,,,,,,,
,step,,,Nurse,,,,,,,,,,,
S - S - Air conditioning,checklist,,,,Air Conditioning 0.25,,,,,,,,,,
