"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ae306ca8-343c-5a8b-893d-643c634f84e7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Installation","Air seal - sealant width/depth ratio"
"450073c9-9999-5a46-8062-837110fb672e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Installation","Fit rainshield angle"
"d7c3882f-589a-5119-9f93-712005fd5f47","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Final QA"
"104dd6f9-4312-5f3c-a490-f2f6e573ac19","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Final QA","Hardware fitted and functioning"
"478e03ce-395b-5b6d-b365-0626e9273075","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Final QA","All complete and no visible defects"
"76b65a15-4bc7-58ec-ab12-76fc2b291e66","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA102-02","Sliding Door Final QA","Remedial Works"
"9eef5f30-b596-4b82-a0fb-f7b78dffb903","","checklist-sectioned","not-started","Sliding Door QA","checklist","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A107-02"
"b6f7aa29-8020-570c-ad93-bae88b81cba9","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation"
"4f99e158-01ad-5494-800b-fc57095c74ec","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Acceptance of opening"
"fefd8f66-ec7d-5fb3-8aad-748ff88ddfff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Opening prep."
"e4e708b9-f8a9-5bb5-abaa-76b11a16e064","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Door frame check"
"3683a71b-1b90-513e-aca7-36db58215092","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Install wanz bar"
"d5d287b2-1f86-5088-85ba-b032483007e7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Door frame installed"
"10a66b7e-9a8a-5372-a31f-17d58b8d8319","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Fixing types"
"8a5869a1-8d52-5256-8fa2-c095c6cdbcff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Fixing centres as per shop drawings"
"b2ddf7b6-e3b0-5f75-a4ae-d1e4a86227fc","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Embedment length as per shop drawings"
"911e3931-d2f1-5811-a559-53325d8ecaa7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Edge distance as per shop drawings"
"05aa26cd-cdaf-5ea0-bed2-b8c6d9f31f8d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Air seal - PEF rod continuous"
"15509162-3769-564d-a051-38f4c6c8c0c4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Air seal - sealant width/depth ratio"
"177d26ff-ceaf-57e4-aa6f-3491be7c9735","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Installation","Fit rainshield angle"
"c2846c6e-f369-54eb-9c08-bd70442517ed","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Final QA"
"18a333c1-dde4-5beb-b712-55072468a206","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Final QA","Hardware fitted and functioning"
"35589770-f950-52d8-af60-a6cf1d77c95f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Final QA","All complete and no visible defects"
"bd281bc8-4b47-5fff-892b-4226ef9e6438","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A107-02","Sliding Door Final QA","Remedial Works"
"7fadd74c-abe9-4522-8cf4-f4c9d9b3b7f2","","checklist-sectioned","not-started","Sliding Door QA","checklist","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A108-02"
"1a3e3f4a-beac-54c6-abba-e96135789039","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation"
"59a64787-edc8-50aa-854a-40af31c0af7a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Acceptance of opening"
"f8357a85-f160-5a06-bcc4-fac8c944495b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Opening prep."
"535df4c8-ad7c-569d-a844-430080718469","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Door frame check"
"233bd2c4-796c-5f09-b76a-21f11fca90b4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Install wanz bar"
"aeab1a4c-af55-56c8-83b3-157509fd2580","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Door frame installed"
"19301e76-148b-59c2-bf05-fd94ff0f4daf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Fixing types"
"d55ef203-5fab-534a-9a1a-1c3b4d969321","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Fixing centres as per shop drawings"
"2ecd35ca-5c0d-5334-9eae-62340fa576a4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Embedment length as per shop drawings"
"df59ed30-d353-5d3a-ba21-36147cefa03a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Edge distance as per shop drawings"
"ba2af027-4a35-5643-bb1e-fb0964a4d9e4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Air seal - PEF rod continuous"
"01dd1747-5d59-534f-81a2-82919ae940f6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Air seal - sealant width/depth ratio"
"26f183cb-eca3-5955-b300-4b36a82461d4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Installation","Fit rainshield angle"
"f3b347c3-2005-5269-a9f7-f931267d4014","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Final QA"
"026b2270-6bb2-5571-b1b1-8166f9da9388","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Final QA","Hardware fitted and functioning"
"d8104344-ba99-5b3d-8c0c-d4806ab95c11","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Final QA","All complete and no visible defects"
"adb04561-dbf9-527e-be4f-e1a6bc417948","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","W.A108-02","Sliding Door Final QA","Remedial Works"
"82ffad86-8e01-4e85-a8af-750c63f5a807","","checklist-sectioned","not-started","Sliding Door QA","checklist","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","WA101-03"
"106b06b9-40e3-5720-ad6c-991ea2196aff","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation"
"31b36240-f670-5bea-8945-f476182f86a0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Acceptance of opening"
"84128d32-e067-5e17-8425-08a313c39fe4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Opening prep."
"7bbdaa6c-852e-5ef2-8e3d-45f86e629d26","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Door frame check"
"1f2bbbd9-2303-50ee-aae4-7487e3074efd","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Install wanz bar"
"78c36f57-fa70-5fa6-8cca-046137afb7cf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Door frame installed"
"386267be-8f77-509a-94a0-9922158b8416","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Fixing types"
"288eeb74-0f57-5d73-b1b1-d608760a9780","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Fixing centres as per shop drawings"
"6b379ceb-27e7-5299-b269-e49c9e20597f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Embedment length as per shop drawings"
"869a04fa-c828-5df8-b482-0aca79cf56c2","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Edge distance as per shop drawings"
"b25b62cf-c3bb-59f1-9bb0-6fdb8af8b4a7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Apartment A","Level 1 - SL","WA101-03","Sliding Door Installation","Air seal - PEF rod continuous"
