Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,
23b233f6-df32-4497-beb5-fa8617abdf28,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 3,West,Columns,C8,Electrical Services
f8f524b1-2a24-4c2f-bbad-5ddfd603f32e,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 3,North,Columns,C2,Electrical Services
ea0098f5-977e-42cf-a270-0030de47e076,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 3,North,Columns,C4,Electrical Services
1ca8712d-a089-4687-af35-fd1a714b9296,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 3,North,Columns,C6,Electrical Services
f10d3ed1-346c-4352-90e7-cf7044afbd94,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,South,Columns,C9,Electrical Services
25b601ff-aea2-46c7-aa32-96956e5f3dcd,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,South,Columns,C10,Electrical Services
b8201081-ff98-4ca0-bdd3-fe49778e664f,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,South,Columns,C11,Electrical Services
42f1fa1c-56e7-4bad-b3c8-8b162eec4014,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,South,Columns,C13,Electrical Services
27ba94be-5026-4064-95e4-eb48b50e25ee,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,West,Columns,C8,Electrical Services
bc073e8d-4ef7-4f61-b53e-2d968fb991bf,,checklist-sectioned,not-started,ITP-001 - Conduit Installation (V.100321),checklist,FALSE,FALSE,Site QA,Slabs & Columns,Level 7,North,Columns,C2,Electrical Services
