resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,step,,,Delivery Dockets,,,,,,,,
Delivery Docket,,,,,,checklist,,,,Delivery Docket,,,,,,,
,,,,,,step,,,Builders Works & Site Issues,,,,,,,,
1. Builders Works & Site Issues,,,,,,checklist,,,,Builders Works & Site Issues,,,,,,,
,,,,,,step,,,Drafting & Design Issues,,,,,,,,
3. Drafting & Design Issues,,,,,,checklist,,,,Drafting & Design Issues,,,,,,,
,,,,,,step,,,Defects ,,,,,,,,
Defect,,,,,,checklist,,,,Defect,,,,,,,
,,,,,,step,,,AS Built Markups,,,,,,,,
4. As Built Markups,,,,,,checklist,,,,As Built Markups,,,,,,,
,,,,,,step,,,QA,,,,,,,,
,,,,,,step,,,,Demo ,,,,,,,
,,,,,,step,,,,,Level 9 ,,,,,,
Demo ,,,,,,checklist,,,,,,"Equipment, Ductwork, Flexi & Grilles",,,,,
,,,,,,step,,,,,Level 10,,,,,,
Demo ,,,,,,checklist,,,,,,"Equipment, Ductwork, Flexi & Grilles ",,,,,
,,,,,,step,,,,Level 9,,,,,,,
,,,,,,step,,,,,PAC,,,,,,
PAC Rough In,PAC Pipework & Drains,PAC Ductwork,PAC Flex & Cushion Boxes,PAC Fit Off,PAC Commissioning,folder-with-checklists,,,,,,PAC-09-07,,,,,
PAC Rough In,PAC Pipework & Drains,PAC Ductwork,PAC Flex & Cushion Boxes,PAC Fit Off,PAC Commissioning,folder-with-checklists,,,,,,PAC-09-08,,,,,
PAC Rough In,PAC Pipework & Drains,PAC Ductwork,PAC Flex & Cushion Boxes,PAC Fit Off,PAC Commissioning,folder-with-checklists,,,,,,PAC-09-09,,,,,
,,,,,,step,,,,,Pipework Main Run ,,,,,,
CHW & HHW Pipework ,,,,,,checklist,,,,,,Main Run ,,,,,
CHW & HHW Pipework ,,,,,,checklist,,,,,,Pac-09-07,,,,,
CHW & HHW Pipework ,,,,,,checklist,,,,,,Pac-09-08,,,,,
CHW & HHW Pipework ,,,,,,checklist,,,,,,Pac-09-09,,,,,
,,,,,,step,,,,,VAV,,,,,,
VAV,Ductwork Rough - In ,Flex & Cushion Boxes Rough - In,Grille Fit Off,,,folder-with-checklists,,,,,,VAV-09-IE-10,,,,,
Ductwork Rough - In ,Flex & Cushion Boxes Rough - In,Grille Fit Off,,,,folder-with-checklists,,,,,,VAV-09-IE-10,,,,,
Ductwork Rough - In ,Flex & Cushion Boxes Rough - In,Grille Fit Off,,,,folder-with-checklists,,,,,,VAV-09-E-04,,,,,
Flex & Cushion Boxes Rough - In,Grille Fit Off,,,,,folder-with-checklists,,,,,,VAV-09-E-03,,,,,
,,,,,,step,,,,,FAN,,,,,,
Fans Rough In,Fan Ductwork,Fan Flex & Cushion Boxes,Fan Fit Off,Fan Commissioning,,folder-with-checklists,,,,,,OAF-09-02,,,,,
,,,,,,step,,,,,DUCTWORK ,,,,,,
Ductwork Rough - In ,,,,,,checklist,,,,,,Transfer Ductwork ,,,,,
,,,,,,step,,,,Level 10,,,,,,,
,,,,,,step,,,,,PAC,,,,,,
