"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf0ede9d-e731-43f5-b0e2-460cc0836f40","","folder-normal","","","step","TRUE","FALSE","Site QA"
"230a30d5-e260-4644-8efe-efe05d8eae36","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"a02f6e4f-8273-4647-b08b-a62ca5c4cf79","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A1.W1 - 5900 - 3577 - CW"
"ee8e8980-b506-451d-bc05-69f0406e03be","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A1.W2 - 6000 - 1032 - CW"
"e3a9def8-42a5-427c-9c74-3f61dd5f32ae","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A10.W1, A10.W2 - 6000 - 6310 - CW"
"ac9b2e27-bb22-46db-aee5-67da23a62df1","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A11.W1, A11.W2 - 5900 - 6310 - CW"
"5b2fd304-0b0a-47be-a5f4-698209a71076","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W1 - 5900 - 2735 - CW"
"fdb044c6-0202-43d1-b98d-b80b0801c114","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W2 - 5900 - 4550 - CW"
"f4f04f65-dfa2-4912-88ce-f198c56494af","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W3 - 2950 - 900 - PW"
"af2ff509-378b-4d66-9451-7a67e52aeca8","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W4 - 2600 - 900 - PW"
"8d650c01-903a-4d80-bb41-ab2818eddb57","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W5 - 2600 - 900 - PW"
"95b05bb1-7390-4876-8253-2bec08dcbc48","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","A12.W6 - 2600 - 900 - PW"
"d7101f4d-58cc-4f9a-9892-16d998ace0d4","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A2.1.W1, A2.1.W2 - 6000 - 5800 - CW"
"f1f8529c-c4a8-40e0-9ab9-957d5d6b96d1","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A2.W1, A2.W2 - 5950 - 5800 - CW"
"aa19237b-4c77-4727-a46c-1e284a98f34d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A3.W1, A3.W2 - 6000 - 6290 - CW"
"aadff975-5e24-4599-95c8-9554b261d239","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A4.W1, A4.W2 - 5900 - 5155 - CW"
"68ee53d2-bf06-4b0d-8221-670ce72512ae","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A5.W1, A5.W2 - 5900 - 6300 - CW"
"4f2ef480-2f66-4049-96df-84f465e7ad66","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A6.W1, A6.W2 - 6000 - 6310 - CW"
"b596896a-1ebf-4ca1-9229-194f29705501","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A7.W1, A7.W2 - 5900 - 6310 - CW"
"150f71f8-2c58-469e-a037-8c2e56d56d0c","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A8.W1, A8.W2 - 6000 - 6310 - CW"
"c13f4ff0-7518-4acd-a6b9-e07f540fdc5a","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","A9.W1, A9.W2 - 5900 - 6310 - CW"
"57266874-2e8f-4a3b-99f0-6cad3627f583","","folder-normal","","","step","TRUE","FALSE","Site QA","Block B"
"817bd274-3ba5-447d-a0e1-bae3cb7cff22","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B13.W1 - 6000 - 1070 - CW"
"479628af-4f6b-4fe7-ba77-9b259a678852","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B13.W2 - 6000 - 900 - CW"
"86d17dd6-54f3-46b0-a183-253e3258a532","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B13.W3 - 3900 - 4000 - CW"
"4fccf913-0a20-43e5-82ec-1bf6e9967fa5","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B13.W3 - 2800 - 1210 - PW"
"f7f66f8c-043a-4b90-9b76-3665ba5dfcc3","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B14.1.W1, B14.1.W2 - 5900 - 5960 - CW"
"8723a734-2c99-4f3b-bf10-6bdb242c7da2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B14.1.W3 - 2800 - 900 - PW"
"2d248850-ecd4-4d8b-9503-9d4a8396d2fd","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B14.W1,B14.W2 - 6000 - 4825 - CW"
"dd0067ac-cdd3-4534-9949-b770c64abdc3","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B14.W3 - 2800 - 900 - PW"
"d10510b4-ef50-4d0e-9640-9c7898fab3aa","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B15.W1 - 5900 - 3364 - CW"
"dd8b74cc-5ea9-4aff-9222-805130541d78","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B15.W2 - 6000 - 1070 - CW"
"24ee83d7-4b6d-4011-8d40-72783cdd777d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B15.W3 - 2800 - 900 - PW"
"29c29703-406c-4e86-902c-b711360e2b03","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B16.W1 - 5900 - 4310 - CW"
"3253c2d8-a217-4b5b-aa7e-c49e7bca3adf","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B16.W3 - 2800 - 850 - PW"
"f16025bc-6f7b-479d-a5e4-92f86a5b7fe0","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B17.W1, B17.W2 - 5900 - 4410 - CW"
"7e572725-aace-467a-aeba-5e4301e65127","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B17.W3 - 2800 - 900 - PW"
"0f7d45b2-70f7-4d3c-b897-19484baa9ddf","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B18.W1, B18.W2 - 6000 - 4410 - CW"
"728ac192-a201-4f00-b3a1-f7033db6fc03","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block B","B18.W3 - 2500 - 900 - PW"
"a52c7c09-f68c-4bef-bd27-67af3d28097d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block B","B19.W1, B19.W2 - 5850 - 5855 - CW"
"35d4a74a-2072-47ae-bba5-054b076df2de","","folder-normal","","","step","TRUE","FALSE","Site QA","Block C"
"af7d09b2-61e5-48e7-a8dd-4f6b9388303c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C129.W4 - 2885 - 900 - PW"
"01ef437d-e0d1-4eba-b4b6-5451e7a71069","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.1.W1 - 5900 - 3910 - CW"
"b9a45602-8ceb-4134-94ed-af709913d406","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.1.W2 - 2885 - 900 - PW"
"f033744d-7e78-4b3b-8fcd-f76ba5fc3347","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.1.W3 - 2885 - 900 - PW"
"8695f1fe-9540-46f6-bbc3-43f947ed0b64","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.W1 - 5900 - 3910 - CW"
"1a3d4fc8-60e0-44eb-ab56-f8f7c87ddfbe","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.W2 - 2885 - 900 - PW"
"674498ef-35d1-41ad-9bdd-2ae0e11e6b42","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C20.W3 - 2885 - 900 - PW"
"4b8183ca-73f1-4d37-a3cf-edf25ba1e3d9","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.1.W1 - 5900 - 3910 - CW"
"60cd609c-cf53-4c88-acf4-92ed19acbb4c","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.1.W2 - 2885 - 900 - PW"
"f1fb98c7-40ea-4d75-b2b2-4aeeb3fbe387","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.1.W3 - 2885 - 900 - PW"
"e489759c-db3a-428d-9a45-8b248a9f3021","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.2 - 2885 - 900 - PW"
"47449b6e-07bd-4d9e-9a83-e3bacefa1d7b","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.3 - 2885 - 900 - PW"
"ced85ff3-5308-4c7c-9171-4547576a1326","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C21.W1 - 5900 - 3910 - CW"
"38a9e526-2687-45e2-92c6-1d59cd7b4c80","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C22.W1, C22.W2 - 5900 - 5820 - CW"
"b702d8da-c5cf-4a0b-ae3b-99f6547fd748","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C22.W3 - 2885 - 900 - PW"
"d3ad1977-cbf6-4345-82cc-ddcd056ef2d3","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C22.W4 - 2885 - 900 - PW"
"5d1ed55c-1674-4082-9943-7f1de4502a73","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C23.W1, C23.W2 - 5900 - 5820 - CW"
"4f2bb3e1-2b5f-4931-a8de-5204af65ccf2","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C23.W3 - 2885 - 900 - PW"
"d7c0b0ec-b846-497d-87cd-a0862b2a6ff8","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block C","C23.W4 - 2885 - 900 - PW"
"8ed25e0a-ab53-4bd4-af5e-7c8c11e2200e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block C","C24.W2 - 5900 - 5820 - CW"
