"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f35bbbe4-1827-471a-8063-c0edfaa6441a","","folder-normal","","","step","TRUE","FALSE","Site QA"
"b5531cab-1d34-45d6-9e68-7afdf204e0d2","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"75fa6b53-430a-41ae-bf30-8034fbcb9dea","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.1 - 2700 - 2200 - CW"
"af5a5b4d-0715-43b8-87d9-27c7faaa5d4c","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.2 - 2700 - 1450 - CW"
"77791f53-a757-4ca3-9d40-4f024d520681","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.3 - 2700 - 3230 - CW"
"1720cbff-90d2-49c6-b8a4-2b03a3dd6d0d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.4 - 2700 - 1450 - CW"
"94cf839f-ccc8-471b-9da5-b717a84f075f","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.5 - 2700 - 1450 - CW"
"88e9b3bb-920d-4bef-a8da-a43da015cf40","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.6 - 2700 - 2260 - CW"
"278149a4-056a-4085-a3a7-a78e8e74b993","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.7 - 2700 - 1240 - CW"
"40fc880a-75cb-41d8-9bed-5a8e837352d1","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.8 - 2700 - 650 - CW"
"efa36542-1876-45ff-b1b7-77a93171acd7","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.9 - 2700 - 850 - CW"
"2e97aa00-6450-413a-abf9-9a9adc04c8b3","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.10 - 2700 - 1400 - CW"
"a8f4ef9a-0582-4824-a999-75d3eceed4c1","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.11 - 2700 - 1400 - CW"
"6dc1f681-042a-475c-ac9f-febe952e869e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.12 - 2400 - 3350 - CW"
"04863147-dd35-4ab7-a9c0-e97498a5ce32","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.16 - 2700 - 1445 - CW"
"dd965ba7-f74c-4b98-b3cf-245a2d2110ee","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.17 - 2700 - 1350 - CW"
"bc47498a-53d8-49f7-9599-210fc08f25fa","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.18 - 2700 - 750 - CW"
"3a3193a4-9444-41fb-9344-efa4d706099e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.19 - 2700 - 850 - CW"
"b630c3d9-6a2f-4464-9414-cd3efbb26e97","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.21 - 2700 - 850 - CW"
"a63c0cef-6ec0-45eb-8172-4c3d1916106e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.22 - 2700 - 700 - CW"
"1b87d628-01cf-4521-835f-2f88e2d8342b","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.23 - 2700 - 1267 - CW"
"486428bd-696a-4036-b812-bae4d9dabb5d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.24 - 2700 - 2230 - CW"
"0c2dc754-23c5-4e39-8bf4-9df347df2f4b","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.26 - 2400 - 2699 - CW"
"91a44fd7-b71d-4896-8bce-f25985a75795","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.25 - 2700 - 1450 - CW"
"69d5cd8a-1575-45e8-9adb-9f4e5a9b9061","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.27 - 2400 - 1400 - CW"
"6a531af0-28d9-40b9-9dfa-dea3f0ca2d51","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.28 - 2700 - 2265 - CW"
"1776269b-e23b-4010-8885-a1704258e5af","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.32 - 2700 - 787 - CW"
"862e6679-cc97-4612-9401-ba7846e27468","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.33 - 2700 - 1200 - CW"
"6126cedf-607f-4ab6-b2cd-0c42dbeb80d3","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.35 - 2700 - 2664 - CW"
"64f5ca3e-ecbe-4f43-84a2-ea150621033e","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.13 - 2700 - 1500 - CW"
"f1434ce6-b81e-4df9-ae06-0f865a4cd349","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.36 - 2700 - 2648 - CW"
"b6d0daee-954e-40b8-bc85-b84fefb8931b","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.37 - 2700 - 600 - CW"
"4206fce9-7d73-4030-a539-cb29b0736c3d","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W.39 - 2700 - 850 - CW"
"a74fa091-3d52-47b1-9f79-989f11fcc396","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.40 - 2700 - 750 - CW"
"fa58679b-24ad-4dbd-9b5d-648116899957","","checklist-flat","","CW","checklist-flat","FALSE","FALSE","Site QA","Block A","W0.41 - 2700 - 1243 - CW"
"8d9fdc5b-def1-45ed-bf0e-95871579677d","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.7 - 850 - 800 - PW"
"73e40bcc-a639-49bc-94bb-ccb48ed9fb65","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.12 - 1450 - 700 - PW"
"5dd34f31-ce68-4b22-8125-ddb1d15a08a9","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.15 - 1450 - 700 - PW"
"009b9bc4-b41e-4987-a7cb-5049da84f822","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.13 - 850 - 800 - PW"
"7205b804-3fdf-4879-8f9c-eae5fd2ef1bf","","checklist-flat","","PW","checklist-flat","FALSE","FALSE","Site QA","Block A","W1.14 - 850 - 800 - PW"
