"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"649c149e-5b93-4bd9-ac97-392327973950","","checklist-sectioned","pass","77af6697294b98a49ea8c2cd08c0ba843ec0f28c792f5b2d466ff60d3d71c15d","checklist","FALSE","FALSE","Project QA","Cold Planing","221116-PB-007 ITP005"
"2cfe3ff4-ceef-4fd5-81ee-1a2d784b9777","","checklist-sectioned","work-in-progress","ITP005 - Cold Planing - Main Works","checklist","FALSE","FALSE","Project QA","Cold Planing","221117-PB-008 ITP005"
"8821a568-6185-4326-8994-b1f7bc055088","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Asphalt Placement"
"0ed62770-4730-407c-8334-dae0df7a4a40","","checklist-sectioned","pass","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221027-PB-TRIAL ITP012 - Asphalt Placement"
"9b382b33-3f98-46c3-86b1-7a8e8c1e2411","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221105-PB-000 ITP012 - Asphalt Placement"
"1804a6dd-6ffe-4cf5-a190-58ba862d6043","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221106-PB-001 ITP012 - Asphalt Placement"
"f7018e64-bf8f-4f2e-a714-0c3933f14e4b","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221107-PB-002 ITP012 - Asphalt Placement"
"921d8396-7256-491a-bef3-79ef1380aef9","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221108-PB-003 ITP012 - Asphalt Placement"
"355335d5-dee8-4aa6-b91c-57e57ddabb31","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221109-PB-004 ITP012 - Asphalt Placement"
"edf68a57-416a-4891-a5e1-5087e6cb0351","","checklist-sectioned","fail","484b1bfb13e4532ba378188f6a9a648993ae92f3e8a2c2c2f633ca5ae01d3cf0","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221114-PB-005 ITP012 - Asphalt Placement"
"3e11c045-e119-453d-a1d7-ba4ea244c504","","checklist-sectioned","pass","1b646f2c7db592a3d99e4e21c523929df2e056e7329177e5f64d3024379558c8","checklist","FALSE","FALSE","Project QA","Asphalt Placement","221115-PB-006 ITP012 - Asphalt Placement"
