Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Building B05,dynamic,Building B05,,,
,Columns,,,,,,
,,Ground Floor,,Ground Floor,,,
,,Level 1,,Level 1,,,
,,,,,,,
,,,,,,,
Building B05 Progress,,,,,,,
,Scope,,,Building B05,,,
,Rows,,,,,,
,,Ground Floor - Common Areas,dynamic,Common Areas,Ground Floor,Fitout ,Building B05
,,Ground Floor - Apartments,dynamic,Apartments,Ground Floor,Fitout ,Building B05
,,Level 1 - Common Areas,dynamic,Common Areas,Level 1,Fitout ,Building B05
,,Level 1 - Apartments,dynamic,Apartments,Level 1,Fitout ,Building B05
,Columns,,,,,,
,,Pre-line - Insulation ,,Insulation ,Pre-line,,
,,Post-line - Internal Lining - Ceilings,,Internal Lining - Ceilings,Post-line,,
,,Post-line - Internal Lining - Walls,,Internal Lining - Walls,Post-line,,
