type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Structural Frame - Ply Catwalk T250,,,,,,Structural Frame - Ply Catwalk T250
checkpoint,Area is clean ready for install,,,,,,
checkpoint,"Framing is plumb and Level, ready to review floor / wall finishes",,,,,,
checkpoint,Framing is Installed as per AS requirements,,,,,,
checkpoint,"Framing reflects, shop drawings, engineering reports",,,,,,
checkpoint,Plywood floor substrate joins lapped and caulked including sealing over fixings,,,,,,
checkpoint,Edges of floor sealed and caulked,,,,,,
checkpoint,Plywood plat substrate joins lapped and caulked including sealing over fixings,,,,,,
checkpoint,"All junctions into surrounding walls, floor and services caulked and sealed",,,,,,
checkpoint,Access given back to WWX for plenum pretest inspection and review,,,,,,
textbox,Aconex Reference Number,,,,,,
checkpoint,WWX Work damage free from other trades,,,,,,
checkpoint,Is the plenum visually approved for testing,,,,,,
signoff,"HOLD POINT - Following parties to sign off prior to any tests - Woodworx, ARC, Entire Mech, Lendlease",,,,,,
