type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-sectioned,"KA-FRM-076 - CFA, CSP and Displacement Pile Record",,,,,Yes,"KA-FRM-076 - CFA, CSP and Displacement Pile Record",83cdae8a-5c2c-46be-9743-cb722289b19e
checkpoint-group,Pile Drilling Sequence,,,,,,,
checkpoint-status,Platform Cert,,,,,,,
checkpoint-status,Services Cleared,,,,,,,
text,Date Installed,,,,,,,
text,Platform Level (RLm),,,,,,,
text,Dia. (mm),,,,,,,
text,Conc. Grade (MPa),,,,,,,
text,Drill Depth (m),,,,,,,
text,Socket Length (m),,,,,,,
text,Top of Concrete (RL m),,,,,,,
text,Concrete Volume (m3),,,,,,,
checkpoint-group,Reinforcement,,,,,,,
checkpoint-status,Cage - Attach any relevant photos or documents,,,,,,,
text,Cage Type,,,,,,,
text,Top of Cage (RL m),,,,,,,
text,Bars xNyy,,,,,,,
text,Spiral Size-Pitch (mm) Nxx-yyy,,,,,,,
text,Length (m),,,,,,,
checkpoint-status,Bundle Bars - Attach any relevant photos or documents,,,,,,,
text,Bars xNyy,,,,,,,
text,Length (m),,,,,,,
text,Verticality mm / m,,,,,,,
text,Offsets mm/direction,,,,,,,
checkpoint-status,Concrete Test (Nominal Location),,,,,,,
checkpoint-group,Grade Usage,,,,,,,
checkpoint-status,10,,,,,,,
text,Vol. Today (m3),,,,,,,
text,Vol. Total (m3),,,,,,,
text,Concrete Tests Today,,,,,,,
checkpoint-status,50,,,,,,,
text,Vol. Today (m3),,,,,,,
text,Vol. Total (m3),,,,,,,
text,Concrete Tests Today,,,,,,,
checkpoint-group,Sign Off,,,,,,,
checkpoint,Supervisor Sign off,,,,,,,
holdpoint,Signed off by Keller Foundations & Client,,,,,,,
