"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a9d63ab6-58e3-4d0f-af05-ad3643e5e646","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"26e43135-f6c2-4402-b3a2-9e05b21c7e6b","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-P01"
"dba08269-9725-40ae-80a9-b75d8f08adac","","checklist-sectioned","fail","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-P01-2"
"9707162f-ebe3-4f67-8c35-c30da98bf6cb","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-P02"
"544385b1-9141-4731-9c72-92dc55954731","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-P03"
"e6cfcfb3-33ea-45d2-a25d-dd3c913274e7","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Ground Floor","G-P04"
"ab8349c4-0377-4605-9d82-fc3e18a6941d","","folder-normal","pass","","step","TRUE","FALSE","Level 1"
"2bd4610b-6d27-4a5f-8771-0e8b6e41ef24","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 1","L1-P01"
"8698341f-20e8-4b6c-a3be-817a91e44066","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 1","L1-P02"
"c5d8c16b-d9a8-4a2c-a349-ec499b81897f","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 1","L1-P03"
"212d9a66-49c3-4a47-af62-2d91e15e7ca2","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 1","L1-P04"
"e592a51b-28b0-414f-901d-d30516f23b27","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Level 1","L1-P05"
"9b80ce57-92fd-45ab-8dce-19d5aadf4fed","","folder-normal","pass","","step","TRUE","FALSE","Level 2"
"957dcd44-ed54-4be4-80b2-2a61a1f55c01","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P01"
"da17b8b6-3148-4b58-9911-c6dced028661","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P02"
"aa145788-969f-46af-82e5-d05f515a6035","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P03"
"95dc52f8-2818-448d-b8e5-fa211a27fb59","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P04"
"893627fb-9660-43ff-8f1b-eb65d56342a2","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-P05"
"427ff9cc-7391-46f8-a2a9-e75d6815114b","","folder-normal","pass","","step","TRUE","FALSE","Level 3"
"3b3b69e4-dc06-4d4f-ac7e-c8a4828a8828","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P01"
"cf5df02e-9598-4a97-ba19-d79cf283051d","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P02"
"3e958aec-acc4-479e-be59-94f282a0a283","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P03"
"8a26c212-1c21-44f3-b1b4-af0d51ae4766","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P04"
"c0893b90-786c-4bd7-a7fd-01c5464d1924","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P05"
"9020e721-7008-4841-b6ea-49bf13f9e802","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"168b9865-7bf3-4aaa-a817-cc55309324c8","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Roof","RF-LD01"
"ffd0c7bf-174e-4a2f-b047-c9050d719b42","","checklist-sectioned","pass","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Roof","RF-LD02"
