resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Level 0,,,,,,,,
,,,step,,,,GL01,,,,,,,
Testing - Waste / Stacks,,,checklist,,,,,Testing - Waste / Stacks,,,,,,
Testing - Cold Water Main ,,,checklist,,,,,Testing - Cold Water Main ,,,,,,
Apartment Waste Test Sheet,,,checklist,,,,,Apartment Waste Test Sheet,,,,,,
Apartment Water Test Sheet,,,checklist,,,,,Apartment Water Test Sheet,,,,,,
,,,step,,,,GL02,,,,,,,
Testing - Waste / Stacks,,,checklist,,,,,Testing - Waste / Stacks,,,,,,
Testing - Cold Water Main ,,,checklist,,,,,Testing - Cold Water Main ,,,,,,
Apartment Waste Test Sheet,,,checklist,,,,,Apartment Waste Test Sheet,,,,,,
Apartment Water Test Sheet,,,checklist,,,,,Apartment Water Test Sheet,,,,,,
,,,step,,,,GL03,,,,,,,
Testing - Waste / Stacks,,,checklist,,,,,Testing - Waste / Stacks,,,,,,
Testing - Cold Water Main ,,,checklist,,,,,Testing - Cold Water Main ,,,,,,
Apartment Waste Test Sheet,,,checklist,,,,,Apartment Waste Test Sheet,,,,,,
Apartment Water Test Sheet,,,checklist,,,,,Apartment Water Test Sheet,,,,,,
