"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"46f4d4c0-166c-4e3e-b674-47caeb86225c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"4217008b-2a8f-423d-95dd-65e74940e8c7","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 10 North Tower Roof"
"2c3c2c40-3ba7-4faf-b039-550c084f3bd2","","checklist-flat","pass","d903175273a16905476940bd592642c9f44f02fc3d24b8d8c3c58d3d327ab7f0","checklist-flat","FALSE","FALSE","Site QA","Level 10 North Tower Roof","Polyurea Spray"
"5ad6b855-2e2e-4e43-a731-e516ec085bb9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 16 South Tower Roof"
"34424349-d08b-454e-8889-15a8b7025784","","checklist-flat","not-started","Polyurea Spray Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16 South Tower Roof","Polyurea Spray"
