"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Building North Progress"
,"Scope",,
,"Rows"
,,"Level 2","grouping","building north","level 2"
,,"201-200L7 Lobby",,"building north","level 2","201-200l7 lobby"
,,"201-200L8 Lobby",,"building north","201-200l8 lobby","level 2"
,,"201-200L9 Lobby",,"201-200l9 lobby","building north","level 2"
,,"201-200S6 Stair 6",,"building north","level 2","201-200s6 stair 6"
,,"201-265 POOL TEACHING 80p",,"201-265 pool teaching 80p","building north","level 2"
,,"201-270 Plantroom",,"building north","201-270 plantroom","level 2"
,,"Level 3","grouping","building north","level 3"
,,"201-300L7 Lobby",,"201-300l7 lobby","building north","level 3"
,,"201-300S6 Stair 6",,"201-300s6 stair 6","building north","level 3"
,,"201-360 Riser 7",,"201-360 riser 7","building north","level 3"
,,"201-365 CALS-Small",,"201-365 cals-small","building north","level 3"
,,"201-367 CALS-Large",,"building north","201-367 cals-large","level 3"
,,"201-370 Breakout",,"building north","level 3","201-370 breakout"
,,"201-375 CALS-Large",,"building north","201-375 cals-large","level 3"
,,"201-377 Virtual Learning",,"201-377 virtual learning","building north","level 3"
,,"201-378 Riser 9",,"building north","201-378 riser 9","level 3"
,,"201-390 Comms",,"201-390 comms","building north","level 3"
,,"Level 4","grouping","level 4","building north"
,,"201-400C10 CIRCULATION",,"level 4","201-400c10 circulation","building north"
,,"201-400C11 CIRCULATION",,"level 4","201-400c11 circulation","building north"
,,"201-400L6 Lobby",,"level 4","building north","201-400l6 lobby"
,,"201-400L7 Lobby",,"level 4","201-400l7 lobby","building north"
,,"201-400S6 Stair 6",,"level 4","201-400s6 stair 6","building north"
,,"201-460 Riser 7",,"level 4","201-460 riser 7","building north"
,,"201-463 Materials Workshop",,"level 4","building north","201-463 materials workshop"
,,"201-465 Visual Arts & Technology Teaching",,"level 4","201-465 visual arts & technology teaching","building north"
,,"201-467 Store",,"level 4","201-467 store","building north"
,,"201-471 SCI HUB",,"level 4","building north","201-471 sci hub"
,,"201-471A Dry Prep",,"level 4","201-471a dry prep","building north"
,,"201-471B Wet Prep",,"level 4","building north","201-471b wet prep"
,,"201-473 Café BOH",,"level 4","201-473 café boh","building north"
,,"201-473A Rubbish Store",,"level 4","building north","201-473a rubbish store"
,,"201-473B Office",,"level 4","building north","201-473b office"
,,"201-473C Dry Store",,"level 4","201-473c dry store","building north"
,,"201-473D Cool Store",,"level 4","building north","201-473d cool store"
,,"201-475 Store",,"level 4","201-475 store","building north"
,,"201-477 Technology Teaching",,"level 4","building north","201-477 technology teaching"
,,"201-478 Riser 9",,"level 4","201-478 riser 9","building north"
,,"201-479 Food Tech",,"level 4","201-479 food tech","building north"
,,"201-479A W/M",,"level 4","building north","201-479a w/m"
,,"201-479B ST",,"level 4","201-479b st","building north"
,,"201-479C Pantry",,"level 4","building north","201-479c pantry"
,,"201-490 DB",,"level 4","201-490 db","building north"
,,"201-490A COMMS",,"level 4","201-490a comms","building north"
,,"201-496A AV C/BD",,"level 4","building north","201-496a av c/bd"
,,"201-496B Riser 8",,"level 4","building north","201-496b riser 8"
