type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,H&S - Daily Prestart Fitout (V2),,,,,Yes,H&S - Daily Prestart Fitout (V2),d900dab8-cc68-4f20-9398-0de0bbce598f
checkpoint,Daily Prestart Attendees,,,,,,,
note,Attendees to Sign In or Photo of Meeting in progress with Everyone involved,,,,,,,
checkpoint,New Inductions,,,,,,,
note,"Company, Quantity ",,,,,,,
checkpoint,New MEWP's to onsite,,,,,,,
label,"Company, Quantity, Downer Checklist to Complete",,,,,,,
checkpoint,Hot Works Permits Required,,,,,,,
note,"Company, Site Contact/Holder",,,,,,,
checkpoint,Expected Visitors,,,,,,,
checkpoint,Daily Tasks by SDI,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Cake,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Contract Coatings,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Thermosash,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Woods Glass,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Insite,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Quix,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Bishman,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Triangle,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Chubb,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Aquaheat,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Alpha,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Tasks by Miscellaneous,,,,,,,
note,Site Numbers to be Recorded,,,,,,,
checkpoint,Daily Critical Risks,,,,,,,
button,Critical Risks Discussed,"Yes,No",,,,,,
checkpoint,Site Deliveries - Recorded,,,,,,,
checkpoint,Weather Conditions,,,,,,,
note,Photos / Evidence attached as relevant,,,,,,,
checkpoint,"Health, Safety & Environmental",,,,,,,
checkpoint,Incidents Recorded,,,,,,,
checkpoint,"General Notes, Issues & Housekeeping",,,,,,,
